// ListId,SkillId,CharaId,RecordId,QueName,DelayTime
329,3036,2,"CH_ASU_BTL_167","ch_asu",50
330,1060,9,"CH_YUU_BTL_168","ch_yuu",160
331,1062,11,"CH_ALI_BTL_168","ch_ali",160
332,3037,2,"CH_ASU_BTL_168","ch_asu",160
333,8026,10,"CH_ARG_BTL_067","ch_arg",50
334,8026,6,"CH_SIL_BTL_066","ch_sil",50
335,8026,4,"CH_SIN_BTL_066","ch_sin",50
336,8026,5,"CH_LIS_BTL_066","ch_lis",50
337,8026,8,"CH_AGI_BTL_065","ch_agi",50
338,8026,9,"CH_YUU_BTL_066","ch_yuu",50
339,9005,9,"CH_YUU_BTL_065","ch_yuu",50
340,9014,9,"CH_YUU_BTL_066","ch_yuu",160
341,1022,2,"CH_ASU_SEA_001","ch_asu",160
342,3019,11,"CH_ALI_BTL_164","ch_ali",160
343,3005,18,"CH_RAI_BTL_066","ch_rai",50
345,3015,18,"CH_RAI_BTL_067","ch_rai",160
346,1063,9,"CH_YUU_BTL_164","ch_yuu",160
347,4019,10,"CH_ARG_BTL_164","ch_sil",160
348,2034,18,"CH_RAI_BTL_163","ch_rai",160
349,1020,9,"CH_YUU_BTL_163","ch_yuu",50
350,29012,9,"CH_YUU_BTL_163","ch_yuu",50
351,29012,10,"CH_ARG_BTL_163","ch_sil",50
352,29012,18,"CH_RAI_BTL_164","ch_rai",50
353,2005,18,"CH_RAI_BTL_304","ch_rai",160
354,1027,4,"CH_SIN_BTL_066","ch_sin",50
355,1028,4,"CH_SIN_BTL_067","ch_sin",160
356,14008,11,"CH_ALI_BTL_065","ch_ali",50
357,14009,11,"CH_ALI_BTL_067","ch_ali",160
358,14019,11,"CH_ALI_BTL_135","ch_ali",160
359,29012,4,"CH_SIN_BTL_163","ch_sin",50
360,2004,5,"CH_LIS_BTL_066","ch_lis",50
361,2004,6,"CH_SIL_BTL_066","ch_sil",50
362,2004,10,"CH_ARG_BTL_067","ch_arg",50
363,2004,2,"CH_ASU_BTL_065","ch_asu",50
364,2005,5,"CH_LIS_BTL_067","ch_lis",160
365,2005,6,"CH_SIL_BTL_067","ch_sil",160
366,2005,10,"CH_ARG_BTL_065","ch_arg",160
367,2005,2,"CH_ASU_BTL_067","ch_asu",160
368,3005,1,"CH_KIR_BTL_065","ch_kir",50
369,3015,1,"CH_KIR_BTL_067","ch_kir",160
370,29006,18,"CH_RAI_BTL_165","ch_rai",50
371,29006,6,"CH_SIL_BTL_165","ch_sil",50
372,29006,10,"CH_ARG_BTL_165","ch_arg",50
373,2036,18,"CH_RAI_BTL_166","ch_rai",160
374,4027,6,"CH_SIL_BTL_166","ch_sil",160
375,8028,10,"CH_ARG_BTL_166","ch_arg",160
376,3039,2,"CH_ASU_BTL_174","ch_asu",50
377,3040,2,"CH_ASU_BTL_173","ch_asu",160
378,14020,4,"CH_SIN_BTL_173","ch_sin",50
379,14021,4,"CH_SIN_BTL_174","ch_sin",160
380,10022,5,"CH_LIS_BTL_173","ch_lis",50
381,10023,5,"CH_LIS_BTL_174","ch_lis",160
382,1065,11,"CH_ALI_BTL_173","ch_ali",50
383,1066,11,"CH_ALI_BTL_174","ch_ali",160
384,10014,18,"CH_RAI_BTL_066","ch_rai",50
385,10015,18,"CH_RAI_BTL_067","ch_rai",160
386,14008,9,"CH_YUU_BTL_065","ch_yuu",50
387,14009,9,"CH_YUU_BTL_066","ch_yuu",160
388,14022,9,"CH_YUU_BTL_131","ch_yuu",160
389,1067,9,"CH_YUU_BTL_173","ch_yuu",50
390,1068,9,"CH_YUU_BTL_174","ch_yuu",160
391,2041,18,"CH_RAI_BTL_173","ch_rai",50
392,2042,18,"CH_RAI_BTL_174","ch_rai",160
393,2043,18,"CH_RAI_BTL_167","ch_rai",50
394,2044,18,"CH_RAI_BTL_168","ch_rai",160
395,4028,6,"CH_SIL_BTL_167","ch_sil",50
396,4029,6,"CH_SIL_BTL_168","ch_sil",160
397,4030,6,"CH_SIL_BTL_173","ch_sil",50
398,4031,6,"CH_SIL_BTL_174","ch_sil",160
399,6027,3,"CH_LEA_BTL_173","ch_lea",50
400,6028,3,"CH_LEA_BTL_174","ch_lea",160
401,6029,3,"CH_LEA_BTL_167","ch_lea",50
402,6030,3,"CH_LEA_BTL_168","ch_lea",160
403,10024,5,"CH_LIS_BTL_167","ch_lis",50
404,10025,5,"CH_LIS_BTL_168","ch_lis",160
405,2045,1,"CH_KIR_BTL_132","ch_kir",160
406,3041,2,"CH_ASU_BTL_134","ch_asu",160
407,1069,3,"CH_LEA_BTL_067","ch_lea",160
408,14023,4,"CH_SIN_BTL_067","ch_sin",160
409,1070,9,"CH_YUU_BTL_131","ch_yuu",160
410,1071,11,"CH_ALI_BTL_135","ch_ali",160
411,8026,1,"CH_KIR_BTL_065","ch_kir",50
412,8026,2,"CH_ASU_BTL_066","ch_asu",50
413,8026,11,"CH_ALI_BTL_065","ch_ali",50
414,8005,11,"CH_ALI_BTL_067","ch_ali",160
