// PlayerRankId,TotalExp,Storage,TeamPreset
114,324300,2000,6
115,332100,2000,6
116,340000,2000,6
117,348000,2000,6
118,356100,2000,6
119,364300,2000,6
120,372600,2000,6
121,381000,2000,6
122,389500,2000,6
123,398100,2000,6
124,406800,2000,6
125,415600,2000,6
126,424500,2000,6
127,433500,2000,6
128,442600,2000,6
129,451800,2000,6
130,461100,2000,6
131,470500,2000,6
132,480000,2000,6
133,489600,2000,6
134,499300,2000,6
135,509100,2000,6
136,519000,2000,6
137,529000,2000,6
138,539100,2000,6
139,549300,2000,6
140,559600,2000,6
141,570000,2000,6
142,580500,2000,6
143,591100,2000,6
144,601800,2000,6
145,612600,2000,6
146,623500,2000,6
147,634500,2000,6
148,645600,2000,6
149,656800,2000,6
150,668100,2000,6
151,679500,2000,6
152,691000,2000,6
153,702600,2000,6
154,714300,2000,6
155,726100,2000,6
156,738000,2000,6
157,750000,2000,6
158,762100,2000,6
159,774300,2000,6
160,786600,2000,6
161,799000,2000,6
162,811500,2000,6
163,824100,2000,6
164,836800,2000,6
165,849600,2000,6
166,862500,2000,6
167,875500,2000,6
168,888600,2000,6
169,901800,2000,6
170,915100,2000,6
171,928500,2000,6
172,942000,2000,6
173,955600,2000,6
174,969300,2000,6
175,983100,2000,6
176,997000,2000,6
177,1011000,2000,6
178,1025100,2000,6
179,1039300,2000,6
180,1053600,2000,6
181,1068000,2000,6
182,1082500,2000,6
183,1097100,2000,6
184,1111800,2000,6
185,1126600,2000,6
186,1141500,2000,6
187,1156500,2000,6
188,1171600,2000,6
189,1186800,2000,6
190,1202100,2000,6
191,1217500,2000,6
192,1233000,2000,6
193,1248600,2000,6
194,1264300,2000,6
195,1280100,2000,6
196,1296000,2000,6
197,1312000,2000,6
198,1328100,2000,6
199,1344300,2000,6
200,1360600,2000,6
201,1377000,2000,6
202,1393500,2000,6
203,1410100,2000,6
204,1426800,2000,6
205,1443600,2000,6
206,1460500,2000,6
207,1477500,2000,6
208,1494600,2000,6
209,1511800,2000,6
210,1529100,2000,6
211,1546500,2000,6
212,1564000,2000,6
213,1581600,2000,6
214,1599300,2000,6
215,1617100,2000,6
216,1635000,2000,6
217,1653000,2000,6
218,1671100,2000,6
219,1689300,2000,6
220,1707600,2000,6
221,1726000,2000,6
222,1744500,2000,6
223,1763100,2000,6
224,1781800,2000,6
225,1800600,2000,6
226,1819500,2000,6
227,1838500,2000,6
228,1857600,2000,6
229,1876800,2000,6
230,1896100,2000,6
231,1915500,2000,6
232,1935000,2000,6
233,1954600,2000,6
234,1974300,2000,6
235,1994100,2000,6
236,2014000,2000,6
237,2034000,2000,6
238,2054100,2000,6
239,2074300,2000,6
240,2094600,2000,6
241,2115000,2000,6
242,2135500,2000,6
243,2156100,2000,6
244,2176800,2000,6
245,2197600,2000,6
246,2218500,2000,6
247,2239500,2000,6
248,2260600,2000,6
249,2281800,2000,6
250,2303100,2000,6
251,2324500,2000,6
252,2346000,2000,6
253,2367600,2000,6
254,2389300,2000,6
255,2411100,2000,6
256,2433000,2000,6
257,2455000,2000,6
258,2477100,2000,6
259,2499300,2000,6
260,2521600,2000,6
261,2544000,2000,6
262,2566500,2000,6
263,2589100,2000,6
264,2611800,2000,6
265,2634600,2000,6
266,2657500,2000,6
267,2680500,2000,6
268,2703600,2000,6
269,2726800,2000,6
270,2750100,2000,6
271,2773500,2000,6
272,2797000,2000,6
273,2820600,2000,6
274,2844300,2000,6
275,2868100,2000,6
276,2892000,2000,6
277,2916000,2000,6
278,2940100,2000,6
279,2964300,2000,6
280,2988600,2000,6
281,3013000,2000,6
282,3037500,2000,6
283,3062100,2000,6
284,3086800,2000,6
285,3111600,2000,6
286,3136500,2000,6
287,3161500,2000,6
288,3186600,2000,6
289,3211800,2000,6
290,3237100,2000,6
291,3262500,2000,6
292,3288000,2000,6
293,3313600,2000,6
294,3339300,2000,6
295,3365100,2000,6
296,3391000,2000,6
297,3417000,2000,6
298,3443100,2000,6
299,3469300,2000,6
300,3495600,2000,6
