// EpisodeId,EpisodeChapterId,ReleaseEpisodeId,EpisodeNum,Title,CommentSummary,CommentIntroduction,RecommendLv,ExBonusTableSubId,QuestSceneId,StartAdvName,EndAdvName,UnlockStillId,RequiredReleaseEpisodeAppendId,RequiredReleaseEpisodeAppendNum,ReleaseRewardVp
20008,10002,20007,8,"銃の街","新たに見付かったフィールドは馴染みの街だった","出会いを振り返ると、彼女は何かに気付いたようで…",33,1026,1026,"CH02_08_ADV_01",,0,10001,1,0
20009,10002,20008,9,"世界の正体","この世界の正体が分かったかもしれない　その仮説に","呼応するように、想定外の相手が襲い掛かってきて…",34,1027,1027,"CH02_09_ADV_01","CH02_09_ADV_02",102002,10001,1,0
20010,10002,20009,10,"囚われの記憶","《Unknown》の元となったのは、記憶かもしれない","その記憶は、楽しい思い出ばかりでないと気付かされる",35,1028,1028,"CH02_10_ADV_01",,0,10001,1,0
20011,10002,20010,11,"束の間の安寧","仮説が提唱されてから、気を抜けない状況が続く","そんな中、変わらず涼しい顔をしている者もおり…",36,1029,1029,,"CH02_11_ADV_01",0,10001,1,0
20012,10002,20011,12,"沈黙の暗殺者","思い出と照らし合わせれば、予測も可能かもしれない","ここは、第3回BoBの特設フィールドだったはずだ",37,1030,1030,"CH02_12_ADV_01","CH02_12_ADV_02",102003,10001,1,0
20013,10002,20012,13,"調査意志","異常な状況が続き、緊張感が高まっていく一行","改めてこの調査への意志を確認し合う",38,1031,1031,,"CH02_13_ADV_01",0,10001,1,0
20014,10002,20013,14,"チャンクキーパー2","今回のチャンクも末端まで到達出来たようだ","次のチャンクでは、一体何が待ち受けているだろうか",39,1032,1032,"CH02_14_ADV_01","CH02_14_ADV_02",0,10001,1,0
30001,10003,0,1,"第三チャンク","―","―",0,0,0,"CH03_01_ADV_01",,0,10001,1,50
30002,10003,0,2,"温もりの思い出","―","―",0,0,0,"CH03_02_ADV_01",,103001,10001,1,50
30003,10003,0,3,"忘れがたき襲撃者","―","―",0,0,0,"CH03_03_ADV_01",,0,10001,1,50
30004,10003,0,4,"AIの心緒","―","―",0,0,0,"CH03_04_ADV_01",,0,10001,1,50
30005,10003,0,5,"深雪の聖夜","―","―",0,0,0,"CH03_05_ADV_01",,0,10001,1,50
30006,10003,0,6,"信頼の学び","―","―",0,0,0,"CH03_06_ADV_01",,0,10001,1,50
30007,10003,0,7,"意図","―","―",0,0,0,"CH03_07_ADV_01",,0,10001,1,50
30008,10003,0,8,"Unknownの亡霊","―","―",0,0,0,"CH03_08_ADV_01",,0,10001,1,50
30009,10003,0,9,"惑える迷い子","―","―",0,0,0,"CH03_09_ADV_01",,0,10001,1,50
30010,10003,0,10,"失踪","―","―",0,0,0,"CH03_10_ADV_01",,0,10001,1,50
30011,10003,0,11,"切言と氷解","―","―",0,0,0,"CH03_11_ADV_01",,0,10001,1,50
30012,10003,0,12,"追憶の甘味","―","―",0,0,0,"CH03_12_ADV_01",,103002,10001,1,50
30013,10003,0,13,"風切る両輪","―","―",0,0,0,"CH03_13_ADV_01",,0,10001,1,50
30014,10003,0,14,"見栄と配慮","―","―",0,0,0,"CH03_14_ADV_01",,0,10001,1,50
30015,10003,0,15,"砂浜の戯れ","―","―",0,0,0,"CH03_15_ADV_01",,103003,10001,1,50
30016,10003,0,16,"共にある幸福","―","―",0,0,0,"CH03_16_ADV_01",,0,10001,1,50
30017,10003,0,17,"チャンクキーパー3","―","―",0,0,0,"CH03_17_ADV_01",,0,10001,1,50
40001,10004,0,1,"荒野の分身","―","―",0,0,0,"CH04_01_ADV_01",,104001,10001,1,50
40002,10004,0,2,"夢遊の迷い子","―","―",0,0,0,"CH04_02_ADV_01",,0,10001,1,50
40003,10004,0,3,"虚脱の発端","―","―",0,0,0,"CH04_03_ADV_01",,0,10001,1,50
40004,10004,0,4,"巷の被害","―","―",0,0,0,"CH04_04_ADV_01",,0,10001,1,50
40005,10004,0,5,"浜辺の想い出","―","―",0,0,0,"CH04_05_ADV_01",,0,10001,1,50
40006,10004,0,6,"運命の馴れ初め","―","―",0,0,0,"CH04_06_ADV_01",,0,10001,1,50
40007,10004,0,7,"リコの覚醒","―","―",0,0,0,"CH04_07_ADV_01",,0,10001,1,50
40008,10004,0,8,"疑念の身状","―","―",0,0,0,"CH04_08_ADV_01",,0,10001,1,50
40009,10004,0,9,"コンフリクト","―","―",0,0,0,"CH04_09_ADV_01",,0,10001,1,50
40010,10004,0,10,"不正アクセス","―","―",0,0,0,"CH04_10_ADV_01",,0,10001,1,50
40011,10004,0,11,"マスター","―","―",0,0,0,"CH04_11_ADV_01",,0,10001,1,50
40012,10004,0,12,"リコの正体","―","―",0,0,0,"CH04_12_ADV_01",,0,10001,1,50
40013,10004,0,13,"黒幕の所業","―","―",0,0,0,"CH04_13_ADV_01",,0,10001,1,50
40014,10004,0,14,"リコ救出作戦1","―","―",0,0,0,"CH04_14_ADV_01",,0,10001,1,50
40015,10004,0,15,"ユイの想い","―","―",0,0,0,"CH04_15_ADV_01",,104002,10001,1,50
40016,10004,0,16,"リコ救出作戦2","―","―",0,0,0,"CH04_16_ADV_01",,0,10001,1,50
40017,10004,0,17,"敵意の顕現","―","―",0,0,0,"CH04_17_ADV_01",,104003,10001,1,50
40018,10004,0,18,"新たな主","―","―",0,0,0,"CH04_18_ADV_01",,0,10001,1,50
40019,10004,0,19,"苦悩の胸奥","―","―",0,0,0,"CH04_19_ADV_01",,0,10001,1,50
40020,10004,0,20,"自己犠牲","―","―",0,0,0,"CH04_20_ADV_01",,0,10001,1,50
40021,10004,0,21,"作戦開始","―","―",0,0,0,"CH04_21_ADV_01",,0,10001,1,50
40022,10004,0,22,"闖入者の置き土産","―","―",0,0,0,"CH04_22_ADV_01",,104004,10001,1,50
40023,10004,0,23,"リコの願い","―","―",0,0,0,"CH04_23_ADV_01",,104005,10001,1,50
50001,10005,0,1,"第五チャンク","―","―",0,0,0,"CH05_01_ADV_01",,0,10001,1,50
50002,10005,0,2,"黒幕を名乗る者","―","―",0,0,0,"CH05_02_ADV_01",,0,10001,1,50
50003,10005,0,3,"第一コンソール","―","―",0,0,0,"CH05_03_ADV_01",,0,10001,1,50
50004,10005,0,4,"美味なる記憶","―","―",0,0,0,"CH05_04_ADV_01",,105001,10001,1,50
50005,10005,0,5,"第二コンソール","―","―",0,0,0,"CH05_05_ADV_01",,0,10001,1,50
50006,10005,0,6,"女性と黒猫","―","―",0,0,0,"CH05_06_ADV_01",,0,10001,1,50
50007,10005,0,7,"掴んだ尻尾","―","―",0,0,0,"CH05_07_ADV_01",,0,10001,1,50
50008,10005,0,8,"第三コンソール","―","―",0,0,0,"CH05_08_ADV_01",,0,10001,1,50
50009,10005,0,9,"デュエルを経て","―","―",0,0,0,"CH05_09_ADV_01",,0,10001,1,50
50010,10005,0,10,"ブリーゼの正体","―","―",0,0,0,"CH05_10_ADV_01",,105002,10001,1,50
50011,10005,0,11,"逆転の一手","―","―",0,0,0,"CH05_11_ADV_01",,0,10001,1,50
50012,10005,0,12,"全力でぶつかって","―","―",0,0,0,"CH05_12_ADV_01",,0,10001,1,50
50013,10005,0,13,"星宮風音","―","―",0,0,0,"CH05_13_ADV_01",,0,10001,1,50
50014,10005,0,14,"風音の望み","―","―",0,0,0,"CH05_14_ADV_01",,0,10001,1,50
50015,10005,0,15,"黒猫の謀反","―","―",0,0,0,"CH05_15_ADV_01",,0,10001,1,50
50016,10005,0,16,"対等な勝負","―","―",0,0,0,"CH05_16_ADV_01",,0,10001,1,50
50017,10005,0,17,"決着","―","―",0,0,0,"CH05_17_ADV_01",,0,10001,1,50
50018,10005,0,18,"AIの矜持","―","―",0,0,0,"CH05_18_ADV_01",,0,10001,1,50
50019,10005,0,19,"新しき友人","―","―",0,0,0,"CH05_19_ADV_01",,105003,10001,1,50
