// MonsterActionId,Name,UnitId,Slot,UsableLv,UseCount,NotAngry,IsAngry,CanSealed,MultiPlayOnly,AngleMin,AngleMax,RangeMin,RangeMax,AttackTime,DelayTime,CoolTime,State,SubState
90,"ジークフリートアクション２（回転切り）",15040100,1,1,-1,True,False,False,False,0,360,0,4,1,0,3,"Action.02","MO_504_01_ACT_02"
91,"ジークフリートアクション３（ソニックブーム）",15040100,2,1,-1,True,False,False,False,-90,90,4,100,0.5,0,5,"Action.03","MO_504_01_ACT_03"
93,"ジークフリートアクション４（突進）",15040100,3,1,-1,True,False,False,False,-50,50,4,50,0.01,0,5,"Action.04","MO_504_01_ACT_04"
94,"ジークフリートアクション２（怒り・回転切り）",15040100,7,1,-1,False,True,False,False,0,360,0,4,0.1,0,2,"Action.08","MO_504_01_ACT_02b"
95,"ジークフリートアクション４（怒り・突進B）",15040100,8,1,-1,False,True,False,False,0,360,0,50,1,0,2,"Action.09","MO_504_01_ACT_04b"
96,"ジークフリートアクション３（怒り・ソニックブーム）",15040100,9,1,-1,False,True,True,False,-20,20,8,50,0.01,0,5,"Action.10","MO_504_01_ACT_03b"
97,"ジークフリートアクション５（怒り・レーザー）",15040100,17,1,-1,False,True,True,False,-45,45,5,20,0.01,0,15,"Action.18","MO_504_01_ACT_18"
98,"ジークフリートアクション６_（怒り・２連撃）",15040100,5,1,-1,False,True,True,False,-60,60,12,25,0.01,0,2,"Action.06","MO_504_01_ACT_06"
99,"ジークフリート20_マルチ吹き飛ばし",15040100,19,1,-1,True,True,False,True,0,360,0,8,0,10,10,"Action.20","MO_504_01_ACT_20"
100,"ジークフリート攻撃２１_コンボ1：始動",15040100,20,1,-1,False,True,True,False,0,360,4,10,0.01,0,5,"Action.21","MO_504_01_ACT_21"
101,"ジークフリート攻撃２２_コンボ2：縦切り",15040100,21,1,-1,False,True,True,False,0,0,0,0,0,0,0,"Action.22","MO_504_01_ACT_22"
102,"ジークフリート攻撃２３_コンボ3：両手水平斬り内向き",15040100,22,1,-1,False,True,True,False,0,0,0,0,0,0,0,"Action.23","MO_504_01_ACT_23"
103,"ジークフリート攻撃２４_コンボ4：両手水平斬り底向き＞斬り下ろし",15040100,23,1,-1,False,True,True,False,0,0,0,0,0,0,0,"Action.24","MO_504_01_ACT_24"
104,"ジークフリート攻撃２５_コンボ5：回転斬り",15040100,24,1,-1,False,True,True,False,0,0,0,0,0,0,0,"Action.25","MO_504_01_ACT_25"
105,"ジークフリート攻撃２６_コンボ6：ソニック",15040100,25,1,-1,False,True,True,False,0,0,0,0,0,0,0,"Action.26","MO_504_01_ACT_26"
106,"ジークフリート攻撃２７_コンボ7：咆哮",15040100,26,1,-1,False,True,True,False,0,0,0,0,0,0,0,"Action.27","MO_504_01_ACT_27"
107,"ジークフリート攻撃２８_エンチャントファイア",15040100,27,1,-1,False,True,False,False,0,360,0,1000,0,0,0,"Action.28","MO_504_01_ACT_28"
108,"ジークフリート攻撃２９_背面用回転攻撃",15040100,28,1,-1,True,True,False,False,110,250,0,50,0.01,0,2,"Action.29","MO_504_01_ACT_29"
109,"ジークフリート攻撃３０_バックステップ",15040100,29,1,-1,True,True,False,False,0,360,0,100,0.5,0,1,"Action.30","MO_504_01_ACT_30"
110,"ジークムントアクション１（通常ゴーレム召喚）",15040700,16,1,-1,True,False,True,False,0,360,0,30,1,10,20,"Action.17","MO_504_07_ACT_17"
111,"ジークムントアクション１（振り下ろし）",15040700,0,1,-1,True,False,False,False,-50,50,0,6,0.1,0,1,"Action.01","MO_504_07_ACT_01"
112,"ジークムントアクション２（回転切り）",15040700,1,10,-1,True,False,True,False,0,360,0,4,1,0,3,"Action.02","MO_504_07_ACT_02"
113,"ジークムントアクション13（怒りゴーレム召喚）",15040700,12,1,-1,False,True,True,False,-90,90,5,30,1,0,16,"Action.13","MO_504_07_ACT_13"
114,"ジークムントアクション15（特殊移動）",15040700,14,1,-1,False,True,True,False,0,90,0,13,0.1,5,5,"Action.15","MO_504_07_ACT_15"
115,"ジークムントアクション16（特殊移動）",15040700,15,1,-1,False,True,True,False,-90,0,0,13,0.1,5,5,"Action.16","MO_504_07_ACT_16"
116,"ジークムントアクション14（怒り・地面攻撃）",15040700,13,1,-1,False,True,False,False,-45,45,0,10,0.01,0,1,"Action.14","MO_504_07_ACT_14"
117,"ジークムントアクション8（怒り・回転切り）",15040700,7,10,-1,False,True,True,False,0,360,0,5,0.01,0,1,"Action.08","MO_504_07_ACT_08"
118,"ジークムントアクション21_隕石群",15040700,37,70,-1,False,True,True,False,0,360,0,30,0,0,20,"Action.38","MO_504_07_ACT_21"
123,"ジークムントト20_マルチ吹き飛ばし",15040700,19,1,-1,True,True,False,True,0,360,0,8,0,10,10,"Action.20","MO_504_07_ACT_20"
124,"ファフニール攻撃１0_近距離噛みつき",15010000,9,1,-1,True,True,False,False,-30,30,0,10,0.1,0,5,"Action.10","MO_501_00_ACT_10"
125,"ファフニール攻撃１１_尻尾背後攻撃",15010000,10,1,-1,True,True,False,False,110,250,0,10,0.01,0,10,"Action.11","MO_501_00_ACT_11"
126,"ファフニール攻撃１２_咆哮1",15010000,11,1,-1,True,True,True,False,-90,90,0,20,0.1,0,5,"Action.12","MO_501_00_ACT_12"
128,"ファフニール攻撃１４_地上ブレス",15010000,13,1,-1,True,False,True,False,0,0,0,0,0,0,0,"Action.14","MO_501_00_ACT_14"
130,"ファフニール攻撃１６_地上ブレス始動用",15010000,15,1,-1,True,False,True,False,0,360,0,10,0.01,0,4,"Action.16","MO_501_00_ACT_16"
131,"ファフニール攻撃１７_左ステップ",15010000,16,1,-1,True,True,False,False,-120,-30,0,10,0.05,0,4,"Action.17","MO_501_00_ACT_17"
132,"ファフニール攻撃１８_右ステップ",15010000,17,1,-1,True,True,False,False,30,120,0,10,0.05,0,4,"Action.18","MO_501_00_ACT_18"
133,"ファフニール攻撃１９_地上ブレス始動用2",15010000,18,1,-1,True,True,True,False,-30,30,0,50,0.1,10,10,"Action.19","MO_501_00_ACT_19"
134,"ファフニール攻撃２０_地上ブレス2",15010000,19,1,-1,True,True,True,False,0,0,0,0,0,0,0,"Action.20","MO_501_00_ACT_20"
135,"ファフニール攻撃２１_地上ブレス3",15010000,20,1,-1,True,True,True,False,0,0,0,0,0,0,0,"Action.21","MO_501_00_ACT_21"
136,"ファフニール攻撃２２_地上ブレス4",15010000,21,1,-1,True,True,True,False,0,0,0,0,0,0,0,"Action.22","MO_501_00_ACT_22"
137,"ファフニール攻撃２３_地上走り2",15010000,22,1,-1,True,True,False,False,-60,60,5,50,0.1,0,2,"Action.23","MO_501_00_ACT_23"
138,"ファフニール攻撃２４_マルチ吹き飛ばし",15010000,23,1,-1,True,True,False,True,0,360,0,8,0,10,10,"Action.24","MO_501_00_ACT_24"
139,"ファフニール攻撃２５_離陸",15010000,24,1,-1,True,False,True,False,-90,90,0,10,0,0,30,"Action.25","MO_501_00_ACT_25"
140,"ファフニール攻撃２６_突進",15010000,25,1,-1,True,False,True,False,0,0,0,0,0,0,0,"Action.26","MO_501_00_ACT_26"
141,"ファフニール攻撃２７_着陸",15010000,26,1,-1,True,False,True,False,0,0,0,0,0,0,0,"Action.27","MO_501_00_ACT_27"
142,"ファフニール攻撃２８_離陸2",15010000,27,1,-1,False,True,True,False,-90,90,0,50,0,0,30,"Action.28","MO_501_00_ACT_28"
143,"ファフニール攻撃２９_突進2＆ブレス",15010000,28,1,-1,False,True,True,False,0,0,0,0,0,0,0,"Action.29","MO_501_00_ACT_29"
144,"ファフニール攻撃３０_着陸2",15010000,29,1,-1,False,True,True,False,0,0,0,0,0,0,0,"Action.30","MO_501_00_ACT_30"
145,"ファフニール攻撃３１_反転",15010000,30,1,-1,True,False,False,False,110,250,0,50,0.05,0,4,"Action.31","MO_501_00_ACT_31"
146,"ファフニール攻撃３２_離陸3",15010000,31,1,-1,False,True,True,False,-90,90,0,8,0,0,10,"Action.32","MO_501_00_ACT_32"
147,"ファフニール攻撃３３_ブレス",15010000,32,1,-1,False,True,True,False,0,0,0,0,0,0,0,"Action.33","MO_501_00_ACT_33"
148,"ファフニール攻撃３４_着陸3",15010000,33,1,-1,False,True,True,False,0,0,0,0,0,0,0,"Action.34","MO_501_00_ACT_34"
149,"ファフニール攻撃３５_反転2",15010000,34,1,-1,False,True,False,False,110,250,0,50,0.2,0,4,"Action.35","MO_501_00_ACT_35"
150,"ファフニール攻撃３６_地上ブレス始動用3",15010000,35,1,-1,True,True,True,False,-30,30,0,20,0.01,0,4,"Action.36","MO_501_00_ACT_36"
151,"ファフニール攻撃３７_連続ブレス",15010000,36,1,-1,True,True,True,False,0,0,0,0,0,0,0,"Action.37","MO_501_00_ACT_37"
152,"ファフニール攻撃３８_連続ブレス2",15010000,37,1,-1,True,True,True,False,0,0,0,0,0,0,0,"Action.38","MO_501_00_ACT_38"
153,"ヴィゾーヴニル攻撃１0_近距離噛みつき",15010100,9,1,-1,True,True,False,False,-30,30,0,10,0.1,0,5,"Action.10","MO_501_01_ACT_10"
154,"ヴィゾーヴニル攻撃１１_尻尾背後攻撃",15010100,10,1,-1,True,True,False,False,110,250,0,10,0.05,0,10,"Action.11","MO_501_01_ACT_11"
156,"ヴィゾーヴニル攻撃１３_咆哮2",15010100,12,1,-1,False,True,True,False,0,360,0,8,0.01,0,12,"Action.13","MO_501_01_ACT_13"
157,"ヴィゾーヴニル攻撃１４_地上ブレス",15010100,13,1,-1,True,False,True,False,0,0,0,0,0,0,0,"Action.14","MO_501_01_ACT_14"
159,"ヴィゾーヴニル攻撃１６_地上ブレス始動用",15010100,15,1,-1,True,False,True,False,0,360,0,10,0.01,0,4,"Action.16","MO_501_01_ACT_16"
160,"ヴィゾーヴニル攻撃１７_左ステップ",15010100,16,1,-1,True,True,False,False,-120,-30,0,50,0.05,0,2,"Action.17","MO_501_01_ACT_17"
161,"ヴィゾーヴニル攻撃１８_右ステップ",15010100,17,1,-1,True,True,False,False,30,120,0,50,0.05,0,2,"Action.18","MO_501_01_ACT_18"
162,"ヴィゾーヴニル攻撃１９_地上ブレス始動用2",15010100,18,1,-1,False,True,True,False,-30,30,0,50,0.02,10,10,"Action.19","MO_501_01_ACT_19"
163,"ヴィゾーヴニル攻撃２０_地上ブレス2",15010100,19,1,-1,False,True,True,False,0,0,0,0,0,0,0,"Action.20","MO_501_01_ACT_20"
164,"ヴィゾーヴニル攻撃２１_地上ブレス3",15010100,20,1,-1,False,True,True,False,0,0,0,0,0,0,0,"Action.21","MO_501_01_ACT_21"
165,"ヴィゾーヴニル攻撃２２_地上ブレス4",15010100,21,1,-1,False,True,True,False,0,0,0,0,0,0,0,"Action.22","MO_501_01_ACT_22"
166,"ヴィゾーヴニル攻撃２３_地上走り2",15010100,22,1,-1,True,True,False,False,-60,60,5,50,0.01,0,2,"Action.23","MO_501_01_ACT_23"
167,"ヴィゾーヴニル攻撃２４_マルチ吹き飛ばし",15010100,23,1,-1,True,True,False,True,0,360,0,8,0,10,10,"Action.24","MO_501_01_ACT_24"
168,"ヴィゾーヴニル攻撃２５_離陸",15010100,24,1,-1,True,False,False,False,-90,90,0,10,0,0,30,"Action.25","MO_501_01_ACT_25"
169,"ヴィゾーヴニル攻撃２６_突進",15010100,25,1,-1,True,False,False,False,0,0,0,0,0,0,0,"Action.26","MO_501_01_ACT_26"
170,"ヴィゾーヴニル攻撃２７_着陸",15010100,26,1,-1,True,False,False,False,0,0,0,0,0,0,0,"Action.27","MO_501_01_ACT_27"
171,"ヴィゾーヴニル攻撃２８_離陸2",15010100,27,1,-1,False,True,False,False,-90,90,0,50,0,0,30,"Action.28","MO_501_01_ACT_28"
172,"ヴィゾーヴニル攻撃２９_突進2＆ブレス",15010100,28,1,-1,False,True,False,False,0,0,0,0,0,0,0,"Action.29","MO_501_01_ACT_29"
173,"ヴィゾーヴニル攻撃３０_着陸2",15010100,29,1,-1,False,True,False,False,0,0,0,0,0,0,0,"Action.30","MO_501_01_ACT_30"
174,"ヴィゾーヴニル攻撃３１_反転",15010100,30,1,-1,True,False,False,False,110,250,0,50,0.05,0,2,"Action.31","MO_501_01_ACT_31"
175,"ヴィゾーヴニル攻撃３２_離陸3",15010100,31,1,-1,False,True,True,False,-90,90,0,8,0,0,10,"Action.32","MO_501_01_ACT_32"
176,"ヴィゾーヴニル攻撃３３_ブレス",15010100,32,1,-1,False,True,True,False,0,0,0,0,0,0,0,"Action.33","MO_501_01_ACT_33"
177,"ヴィゾーヴニル攻撃３４_着陸3",15010100,33,1,-1,False,True,True,False,0,0,0,0,0,0,0,"Action.34","MO_501_01_ACT_34"
178,"ヴィゾーヴニル攻撃３５_反転2",15010100,34,1,-1,False,True,False,False,110,250,0,50,0.2,0,2,"Action.35","MO_501_01_ACT_35"
179,"ヴィゾーヴニル攻撃３６_地上ブレス始動用3",15010100,35,1,-1,False,True,True,False,-30,30,0,20,0.01,0,4,"Action.36","MO_501_01_ACT_36"
180,"ヴィゾーヴニル攻撃３７_連続ブレス",15010100,36,1,-1,False,True,True,False,0,0,0,0,0,0,0,"Action.37","MO_501_01_ACT_37"
181,"ヴィゾーヴニル攻撃３８_連続ブレス2",15010100,37,1,-1,True,True,True,False,0,0,0,0,0,0,0,"Action.38","MO_501_01_ACT_38"
182,"ヴィゾーヴニル攻撃３９_バフ",15010100,38,1,-1,False,True,True,False,0,360,0,10,0,0,30,"Action.39","MO_501_01_ACT_39"
183,"ヴィゾーヴニル攻撃４０_ブレス打ち上げ3",15010100,39,1,-1,True,True,True,False,-120,120,0,30,0.02,0,5,"Action.40","MO_501_01_ACT_40"
184,"クン・リンドルム攻撃０９_尻尾背後攻撃",15010200,8,1,-1,False,True,False,False,110,250,0,10,0.01,0,10,"Action.09","MO_501_02_ACT_09"
185,"クン・リンドルム攻撃１0_近距離噛みつき",15010200,9,1,-1,True,True,False,False,-30,30,0,10,0.05,0,5,"Action.10","MO_501_02_ACT_10"
186,"クン・リンドルム攻撃１１_尻尾背後攻撃",15010200,10,1,-1,True,False,False,False,110,250,0,10,0.01,0,10,"Action.11","MO_501_02_ACT_11"
187,"クン・リンドルム攻撃１２_咆哮1",15010200,11,1,-1,True,True,True,False,-90,90,0,20,0.1,0,5,"Action.12","MO_501_02_ACT_12"
188,"クン・リンドルム攻撃１３_咆哮2",15010200,12,1,-1,False,True,True,False,0,360,0,10,0.01,0,10,"Action.13","MO_501_02_ACT_13"
189,"クン・リンドルム攻撃１４_地上ブレス",15010200,13,1,-1,True,False,True,False,0,0,0,0,0,0,0,"Action.14","MO_501_02_ACT_14"
191,"クン・リンドルム攻撃１６_地上ブレス始動用",15010200,15,1,-1,True,False,True,False,0,360,0,10,0.01,0,4,"Action.16","MO_501_02_ACT_16"
192,"クン・リンドルム攻撃１７_左ステップ",15010200,16,1,-1,True,True,False,False,-120,-30,0,10,0.05,0,4,"Action.17","MO_501_02_ACT_17"
193,"クン・リンドルム攻撃１８_右ステップ",15010200,17,1,-1,True,True,False,False,30,120,0,10,0.05,0,4,"Action.18","MO_501_02_ACT_18"
194,"クン・リンドルム攻撃１９_地上ブレス始動用2",15010200,18,1,-1,False,True,True,False,-30,30,0,50,0.1,10,10,"Action.19","MO_501_02_ACT_19"
195,"クン・リンドルム攻撃２０_地上ブレス2",15010200,19,1,-1,False,True,True,False,0,0,0,0,0,0,0,"Action.20","MO_501_02_ACT_20"
196,"クン・リンドルム攻撃２１_地上ブレス3",15010200,20,1,-1,False,True,True,False,0,0,0,0,0,0,0,"Action.21","MO_501_02_ACT_21"
197,"クン・リンドルム攻撃２２_地上ブレス4",15010200,21,1,-1,False,True,True,False,0,0,0,0,0,0,0,"Action.22","MO_501_02_ACT_22"
198,"クン・リンドルム攻撃２３_地上走り2",15010200,22,1,-1,True,True,False,False,-60,60,5,50,0.1,0,2,"Action.23","MO_501_02_ACT_23"
199,"クン・リンドルム攻撃２４_マルチ吹き飛ばし",15010200,23,1,-1,True,True,False,True,0,360,0,8,0,10,10,"Action.24","MO_501_02_ACT_24"
200,"クン・リンドルム攻撃２５_離陸",15010200,24,1,-1,True,False,False,False,-90,90,0,10,0,0,30,"Action.25","MO_501_02_ACT_25"
201,"クン・リンドルム攻撃２６_突進",15010200,25,1,-1,True,False,False,False,0,0,0,0,0,0,0,"Action.26","MO_501_02_ACT_26"
202,"クン・リンドルム攻撃２７_着陸",15010200,26,1,-1,True,False,False,False,0,0,0,0,0,0,0,"Action.27","MO_501_02_ACT_27"
203,"クン・リンドルム攻撃２８_離陸2",15010200,27,1,-1,False,True,False,False,-90,90,0,50,0,0,30,"Action.28","MO_501_02_ACT_28"
204,"クン・リンドルム攻撃２９_突進2＆ブレス",15010200,28,1,-1,False,True,False,False,0,0,0,0,0,0,0,"Action.29","MO_501_02_ACT_29"
205,"クン・リンドルム攻撃３０_着陸2",15010200,29,1,-1,False,True,False,False,0,0,0,0,0,0,0,"Action.30","MO_501_02_ACT_30"
206,"クン・リンドルム攻撃３１_反転",15010200,30,1,-1,True,False,False,False,110,250,0,50,0.05,0,4,"Action.31","MO_501_02_ACT_31"
207,"クン・リンドルム攻撃３２_離陸3",15010200,31,1,-1,False,True,True,False,-90,90,0,8,0,0,10,"Action.32","MO_501_02_ACT_32"
208,"クン・リンドルム攻撃３３_ブレス",15010200,32,1,-1,False,True,True,False,0,0,0,0,0,0,0,"Action.33","MO_501_02_ACT_33"
209,"クン・リンドルム攻撃３４_着陸3",15010200,33,1,-1,False,True,True,False,0,0,0,0,0,0,0,"Action.34","MO_501_02_ACT_34"
210,"クン・リンドルム攻撃３５_反転2",15010200,34,1,-1,False,True,False,False,110,250,0,50,0.2,0,4,"Action.35","MO_501_02_ACT_35"
211,"クン・リンドルム攻撃３６_地上ブレス始動用3",15010200,35,1,-1,True,True,True,False,-30,30,0,20,0.01,0,4,"Action.36","MO_501_02_ACT_36"
212,"クン・リンドルム攻撃３７_連続ブレス",15010200,36,1,-1,True,True,True,False,0,0,0,0,0,0,0,"Action.37","MO_501_02_ACT_37"
213,"クン・リンドルム攻撃３８_連続ブレス2",15010200,37,1,-1,True,True,True,False,0,0,0,0,0,0,0,"Action.38","MO_501_02_ACT_38"
214,"クン・リンドルム攻撃３９_バフ",15010200,38,1,-1,False,True,True,False,0,360,0,15,0,0,20,"Action.39","MO_501_02_ACT_39"
215,"オーディン攻撃１_二段振り下ろし",15040000,0,1,-1,True,False,False,False,-20,20,0,15,0.1,1,5,"Action.01","MO_504_00_ACT_01"
216,"オーディン攻撃２_やり回転投げ",15040000,1,1,-1,True,False,False,False,40,320,0,5,1,1,10,"Action.02","MO_504_00_ACT_02"
217,"オーディン攻撃３_連続突き",15040000,2,1,-1,True,False,False,False,-30,30,8,15,0.2,1,10,"Action.03","MO_504_00_ACT_03"
218,"オーディン攻撃４_一撃振り下ろし",15040000,3,1,-1,True,False,True,False,-70,70,8,20,1,1,4,"Action.04","MO_504_00_ACT_04"
219,"オーディン攻撃５_溜めの後、攻撃",15040000,4,1,-1,True,False,True,False,-30,30,10,30,1,1,20,"Action.05","MO_504_00_ACT_05"
220,"オーディン攻撃６a_渾身の突き",15040000,5,1,-1,True,False,True,False,-60,60,5,15,1,1,5,"Action.06","MO_504_00_ACT_06"
221,"オーディン攻撃８_二段振り下ろし",15040000,7,1,-1,False,True,False,False,-20,20,0,15,0.1,1,8,"Action.08","MO_504_00_ACT_08"
222,"オーディン攻撃９_やり回転投げ",15040000,8,1,-1,False,True,False,False,40,320,0,5,1,1,8,"Action.09","MO_504_00_ACT_09"
223,"オーディン攻撃１０_連続突き",15040000,9,1,-1,False,True,False,False,-30,30,8,15,0.2,1,8,"Action.10","MO_504_00_ACT_10"
224,"オーディン攻撃１１_一撃振り下ろし",15040000,10,1,-1,False,True,True,False,-70,70,8,20,1,1,4,"Action.11","MO_504_00_ACT_11"
225,"オーディン攻撃１２_溜めの後、攻撃",15040000,11,1,-1,False,True,True,False,-30,30,10,30,1,1,10,"Action.12","MO_504_00_ACT_12"
226,"オーディン攻撃１３_渾身の突き",15040000,12,1,-1,False,True,True,False,-60,60,5,15,1,1,5,"Action.13","MO_504_00_ACT_13"
227,"オーディン攻撃１４_左ステップ",15040000,13,1,-1,True,True,False,False,-20,90,0,5,0,10,3,"Action.14","MO_504_00_ACT_14"
228,"オーディン攻撃１５_右ステップ",15040000,14,1,-1,True,True,False,False,-90,20,0,5,0,10,3,"Action.15","MO_504_00_ACT_15"
229,"オーディン攻撃１６_クリスタルビット",15040000,15,1,-1,False,False,False,False,0,0,0,0,0,1,0,"Action.16","MO_504_00_ACT_16"
230,"オーディン攻撃１７_召喚",15040000,16,1,-1,False,True,True,False,0,360,0,20,0,1,30,"Action.17","MO_504_00_ACT_17"
233,"オーディン攻撃２０_マルチ吹き飛ばし",15040000,19,1,-1,True,True,False,True,0,360,0,8,0,10,10,"Action.20","MO_504_00_ACT_20"
236,"オーディン_バリア",15040000,22,71,1,False,False,False,False,0,360,0,100,0,0,0,"Action.23","MO_504_00_ACT_23"
237,"オーディン攻撃27_左移動攻撃【Mot05】",15040000,26,110,-1,True,True,False,False,-90,90,0,10,0.8,20,15,"Action.27","MO_504_00_ACT_27"
238,"オーディン攻撃28_右移動攻撃【Mot05】",15040000,27,110,-1,True,True,False,False,0,0,0,0,0,0,0,"Action.28","MO_504_00_ACT_28"
239,"バルドル攻撃１_二段振り下ろし",15040400,0,1,-1,True,False,False,False,-20,20,0,15,0.1,1,5,"Action.01","MO_504_04_ACT_01"
240,"バルドル攻撃２_やり回転投げ",15040400,1,1,-1,True,False,False,False,40,320,0,5,1,1,10,"Action.02","MO_504_04_ACT_02"
241,"バルドル攻撃３_連続突き",15040400,2,1,-1,True,False,False,False,-30,30,8,15,0.2,1,10,"Action.03","MO_504_04_ACT_03"
242,"バルドル攻撃４_一撃振り下ろし",15040400,3,1,-1,True,False,True,False,-70,70,8,20,1,1,4,"Action.04","MO_504_04_ACT_04"
243,"バルドル攻撃５_溜めの後、攻撃",15040400,4,1,-1,True,False,True,False,-30,30,10,30,1,1,20,"Action.05","MO_504_04_ACT_05"
244,"バルドル攻撃６a_渾身の突き",15040400,5,1,-1,True,False,True,False,-60,60,5,15,1,1,5,"Action.06","MO_504_04_ACT_06"
245,"バルドル攻撃８_二段振り下ろし",15040400,7,1,-1,False,True,False,False,-20,20,0,15,0.1,1,8,"Action.08","MO_504_04_ACT_08"
246,"バルドル攻撃９_やり回転投げ",15040400,8,1,-1,False,True,False,False,40,320,0,5,1,1,15,"Action.09","MO_504_04_ACT_09"
247,"バルドル攻撃１０_連続突き",15040400,9,1,-1,False,True,False,False,-30,30,8,15,0.2,1,10,"Action.10","MO_504_04_ACT_10"
248,"バルドル攻撃１１_一撃振り下ろし",15040400,10,1,-1,False,True,True,False,-70,70,8,20,1,1,4,"Action.11","MO_504_04_ACT_11"
249,"バルドル攻撃１２_溜めの後、攻撃",15040400,11,1,-1,False,True,True,False,-30,30,10,30,1,1,10,"Action.12","MO_504_04_ACT_12"
250,"バルドル攻撃１３_渾身の突き",15040400,12,1,-1,False,True,True,False,-60,60,5,15,1,1,5,"Action.13","MO_504_04_ACT_13"
251,"バルドル攻撃１４_左ステップ",15040400,13,1,-1,True,True,False,False,-20,90,0,5,0,10,3,"Action.14","MO_504_04_ACT_14"
252,"バルドル攻撃１５_右ステップ",15040400,14,1,-1,True,True,False,False,-90,20,0,5,0,10,3,"Action.15","MO_504_04_ACT_15"
