// TipsId,TipsText,TipsCategory
11,"<size=150%><color=#FF6699>《水属性攻撃》<color=#FFFFFF><br><size=100%>水属性攻撃は<color=#FFF352>赤い色の敵、金属の身体を持つ敵、<br>土や岩の身体を持つ敵<color=#FFFFFF>の多くにとって<color=#FFF352>弱点<color=#FFFFFF>となるが、<br><color=#FFF352>青い色の敵や水棲生物<color=#FFFFFF>の多くは<color=#FFF352>耐性<color=#FFFFFF>をもつ。",0
12,"<size=150%><color=#FF6699>《風属性攻撃》<color=#FFFFFF><br><size=100%>風属性攻撃は<color=#FFF352>飛行する敵<color=#FFFFFF>の多くにとって<color=#FFF352>弱点<color=#FFFFFF>となるが、<br><color=#FFF352>地を這う敵<color=#FFFFFF>の多くは<color=#FFF352>耐性<color=#FFFFFF>をもつ。",0
13,"<size=150%><color=#FF6699>《土属性攻撃》<color=#FFFFFF><br><size=100%>土属性攻撃は<color=#FFF352>地を這う敵<color=#FFFFFF>や<color=#FFF352>水棲生物<color=#FFFFFF>の<br>多くにとって<color=#FFF352>弱点<color=#FFFFFF>となるが、<br><color=#FFF352>飛行する敵<color=#FFFFFF>の多くは<color=#FFF352>耐性<color=#FFFFFF>をもつ。",0
14,"<size=150%><color=#FF6699>《聖属性攻撃》<color=#FFFFFF><br><size=100%>聖属性攻撃は<color=#FFF352>アンデッド系<color=#FFFFFF>や<color=#FFF352>悪魔系の敵<color=#FFFFFF>の<br>多くにとって<color=#FFF352>弱点<color=#FFFFFF>となる。<br>また、それ以外でも<color=#FFF352>耐性を持つ敵が少ない<color=#FFFFFF>。",0
15,"<size=150%><color=#FF6699>《闇属性攻撃》<color=#FFFFFF><br><size=100%>闇属性攻撃は<color=#FFF352>聖なる力で強化された敵<color=#FFFFFF>の<br>多くにとって<color=#FFF352>弱点<color=#FFFFFF>となる。<br>また、それ以外でも<color=#FFF352>耐性を持つ敵が少ない<color=#FFFFFF>。",0
16,"<size=150%><color=#FF6699>《亜人の弱点》<color=#FFFFFF><br><size=100%>リザードマンやオークなど<color=#FFF352>亜人系<color=#FFFFFF>の敵の多くには、<br><color=#FFF352>聖属性、闇属性のいずれかが弱点<color=#FFFFFF>となる。",0
17,"<size=150%><color=#FF6699>《ボスの弱点》<color=#FFFFFF><br><size=100%>多くのボスは<color=#FFF352>弱点となる体の部位や属性<color=#FFFFFF>を持っている。<br><color=#FFF352>戦闘開始後にメンバーが知らせる<color=#FFFFFF>場合があるため、<br>報告をよく確認し積極的に狙うと良い。",0
18,"<size=150%><color=#FF6699>《ボスのダウン》<color=#FFFFFF><br><size=100%>ボスに攻撃を当て続けていると<br><color=#FFF352>ダウン<color=#FFFFFF>を奪えることがある。この状態のボスには<br><color=#FFF352>一方的に攻撃できる<color=#FFFFFF>ため、積極的に狙うと良い。",0
19,"<size=150%><color=#FF6699>《ジャストガード》<color=#FFFFFF><br><size=100%>敵の攻撃を受ける直前でガードを行うと<br><color=#FFF352>ジャストガード<color=#FFFFFF>となり<color=#FFF352>ダメージを受けない<color=#FFFFFF>。",0
20,"<size=150%><color=#FF6699>《状態異常の回復》<color=#FFFFFF><br><size=100%>毒や混乱等の<color=#FFF352>状態異常<color=#FFFFFF>は、<br><color=#FFF352>時間経過<color=#FFFFFF>、一部<color=#FFF352>補助スキル<color=#FFFFFF>、<color=#FFF352>ヒールスポット<color=#FFFFFF>で<br>回復ができる。",0
21,"<size=150%><color=#FF6699>《状態異常：毒》<color=#FFFFFF><br><size=100%><color=#FFF352>断続的にダメージを受け続ける<color=#FFFFFF>。<br>時間経過で自動的に回復する。",0
22,"<size=150%><color=#FF6699>《状態異常：封印》<color=#FFFFFF><br><size=100%><color=#FFF352>スキルが使用できなくなる<color=#FFFFFF>。<br>時間経過で自動的に回復する。",0
23,"<size=150%><color=#FF6699>《状態異常：混乱》<color=#FFFFFF><br><size=100%>メンバーの通常移動が<br><color=#FFF352>ViSTerからの指示通りにできなくなる<color=#FFFFFF>。<br>時間経過で自動的に回復する。",0
24,"<size=150%><color=#FF6699>《状態異常：地震》<color=#FFFFFF><br><size=100%>よろけてしまい、少しの間<color=#FFF352>行動できなくなる<color=#FFFFFF>。<br>地震を引き起こす敵の近くにいる場合に発生しやすい。",0
25,"<size=150%><color=#FF6699>《ボスの状態異常》<color=#FFFFFF><br><size=100%>ボスは状態異常になりにくく回復も早いが、<br>ボスごとに<color=#FFF352>弱点となる状態異常<color=#FFFFFF>がある。",0
26,"<size=150%><color=#FF6699>《状態異常：麻痺》<color=#FFFFFF><br><size=100%><color=#FFF352>敵にのみ発生<color=#FFFFFF>する状態異常。<br><color=#FFF352>痺れて行動できなくなる<color=#FFFFFF>。<br>時間経過で自動的に回復する。",0
27,"<size=150%><color=#FF6699>《魔法攻撃》<color=#FFFFFF><br><size=100%>魔法攻撃は相手の<color=#FFF352>防御力を無視<color=#FFFFFF>してダメージを与える。",0
28,"<size=150%><color=#FF6699>《パッシブスキル》<color=#FFFFFF><br><size=100%>パッシブスキルはスキルレベルを満たすと、<br>そのクエスト中は<color=#FFF352>常時効果を発揮し続ける<color=#FFFFFF>。",0
29,"<size=150%><color=#FF6699>《スキルレベルの解放》<color=#FFFFFF><br><size=100%>スキルレベルはクエスト中、<br><color=#FFF352>敵を倒す、ミッションクリア<color=#FFFFFF>などの行動で上昇し、<br>レベル毎に設定された<color=#FFF352>スキルが使用可能<color=#FFFFFF>となる。",0
30,"<size=150%><color=#FF6699>《リソースの能力合成》<color=#FFFFFF><br><size=100%>同じリソースを複数所持している場合は、<br><color=#FFF352>能力合成<color=#FFFFFF>を行うことで<br><color=#FFF352>ステータス強化<color=#FFFFFF>と<color=#FFF352>プロパティ引き継ぎ<color=#FFFFFF>ができる。",0
31,"<size=150%><color=#FF6699>《プロパティの引き継ぎ》<color=#FFFFFF><br><size=100%><color=#FFF352>プロパティ<color=#FFFFFF>には、数の制限や相性により<br><color=#FFF352>引き継ぎできないものがある<color=#FFFFFF>ため、<br>能力合成時にしっかり確認を行うと良い。",0
32,"<size=150%><color=#FF6699>《スキルスロット・１》<color=#FFFFFF><br><size=100%><color=#FFF352>スキルスロット<color=#FFFFFF>の数は、<br>ヒーローログのレベル上昇に伴い<br><color=#FFF352>最大5つ<color=#FFFFFF>まで増加する。",0
33,"<size=150%><color=#FF6699>《スキルスロット・２》<color=#FFFFFF><br><size=100%><color=#FFF352>スキルスロット最大のヒーローログが<br>複数種に達したメンバー<color=#FFFFFF>からは、<br><color=#FFF352>個別チャット<color=#FFFFFF>で連絡がもらえるらしい。",0
34,"<size=150%><color=#FF6699>《探索効率上昇》<color=#FFFFFF><br><size=100%>探索効率上昇のプロパティは、クエストで<br>獲得できる<color=#FFF352>ColとEXP<color=#FFFFFF>を増加させる効果があり<br><color=#FFF352>派遣探索の成功率<color=#FFFFFF>も上昇する。",0
35,"<size=150%><color=#FF6699>《武器の装備》<color=#FFFFFF><br><size=100%><color=#FFF352>パーティ編成画面<color=#FFFFFF>で<br>ヒーローログに<color=#FFF352>武器を装備<color=#FFFFFF>すると、<br><color=#FFF352>攻撃力が上昇<color=#FFFFFF>する。",0
36,"<size=150%><color=#FF6699>《二刀流》<color=#FFFFFF><br><size=100%><color=#FFF352>二刀流<color=#FFFFFF>のヒーローログは主装備・副装備に<color=#FFF352>片手剣を<br>1本ずつ<color=#FFFFFF>装備できる。<color=#FFF352>主装備<color=#FFFFFF>の性能は<color=#FFF352>右手<color=#FFFFFF>での攻撃に<br><color=#FFF352>副装備<color=#FFFFFF>の性能は<color=#FFF352>左手<color=#FFFFFF>での攻撃に反映される。",0
37,"<size=150%><color=#FF6699>《覚醒の開放》<color=#FFFFFF><br><size=100%>全てのリソースは<color=#FFF352>カードに印刷<color=#FFFFFF>することで<br><color=#FFF352>覚醒を実行<color=#FFFFFF>できるようになる。",0
38,"<size=150%><color=#FF6699>《覚醒レベル》<color=#FFFFFF><br><size=100%>能力合成または強化合成画面で、<color=#FFF352>覚醒可能なリソースと<br>同じリソースを合成<color=#FFFFFF>すると、<color=#FFF352>覚醒EXPが蓄積<color=#FFFFFF>される。<br>覚醒EXPが一定量に達すると覚醒レベルが上昇する。",0
39,"<size=150%><color=#FF6699>《ヒーローログの覚醒》<color=#FFFFFF><br><size=100%>ヒーローログを覚醒させると<color=#FFF352>新たなスキル<color=#FFFFFF>を覚える。<br>さらに、各スキルの<color=#FFF352>クールタイムが短くなる<color=#FFFFFF>。",0
40,"<size=150%><color=#FF6699>《武器・防具の覚醒》<color=#FFFFFF><br><size=100%><color=#FFF352>武器<color=#FFFFFF>を覚醒させると<color=#FFF352>攻撃力<color=#FFFFFF>が強化され、<br><color=#FFF352>防具<color=#FFFFFF>を覚醒させると<color=#FFF352>防御力<color=#FFFFFF>が強化される。",0
41,"<size=150%><color=#FF6699>《リソースの複製と購入》<color=#FFFFFF><br><size=100%>印刷された<color=#FFF352>リソースカード<color=#FFFFFF>は、ショップで読み込む<br>ことで<color=#FFF352>複製<color=#FFFFFF>され、<color=#FFF352>Col<color=#FFFFFF>や<color=#FFF352>ユイメダル<color=#FFFFFF>で<br><color=#FFF352>誰でも一度ずつ購入<color=#FFFFFF>できるようになる。",0
42,"<size=150%><color=#FF6699>《リソースの再印刷》<color=#FFFFFF><br><size=100%>一度印刷したリソースは以後印刷できなくなるが、<br><color=#FFF352>覚醒レベルを最大まで強化<color=#FFFFFF>したリソースのみ、<br>ターミナルから<color=#FFF352>もう一度印刷することができる。",0
43,"<size=150%><color=#FF6699>《リーダー任命》<color=#FFFFFF><br><size=100%>クエスト準備画面で<color=#FFF352>出撃メンバーと同じカード<color=#FFFFFF>を<br>読み込むと、対象メンバーがリーダーとなる。",0
44,"<size=150%><color=#FF6699>《リーダー任命のメリット》<color=#FFFFFF><br><size=100%>出撃メンバーからリーダーを任命すると、<br>クエスト中<color=#FFF352>常時発動のリーダー任命効果<color=#FFFFFF>を得られ、<br>一度だけ発動できる<color=#FFF352>シンクロスキル<color=#FFFFFF>が使用できる。",0
45,"<size=150%><color=#FF6699>《メンバーのシンクロ率》<color=#FFFFFF><br><size=100%>出撃メンバーの<color=#FFF352>リーダー任命回数を重ねる<color=#FFFFFF>と<br><color=#FFF352>シンクロ率が上昇<color=#FFFFFF>し、<br><color=#FFF352>リーダー任命効果が強化<color=#FFFFFF>される。",0
46,"<size=150%><color=#FF6699>《フレンドスキル》<color=#FFFFFF><br><size=100%>出撃時、<color=#FFF352>他プレイヤーのプロフィールカード<color=#FFFFFF>を<br>読み込むと、<color=#FFF352>フレンドスキル<color=#FFFFFF>が使えるようになる。",0
47,"<size=150%><color=#FF6699>《プロフィールカード》<color=#FFFFFF><br><size=100%>他プレイヤーが<color=#FFF352>自分のプロフィールカード<color=#FFFFFF>を<br>使用する度、<color=#FFF352>VP《ViSTerポイント》<color=#FFFFFF>を入手できる。",0
48,"<size=150%><color=#FF6699>《ミッション》<color=#FFFFFF><br><size=100%>ミッションは敵殲滅、コンボ数達成等、<br>豊富な種類がある。また、<br><color=#FFF352>ミッションクリアでスキル経験値を獲得<color=#FFFFFF>できる。",0
49,"<size=150%><color=#FF6699>《ギミック》<color=#FFFFFF><br><size=100%>フィールドにはトラップやスイッチ等の<color=#FFF352>ギミック<color=#FFFFFF>が<br>存在することがある。一部のギミックは<br>上手く使えば<color=#FFF352>敵を巻き込む<color=#FFFFFF>ことができる。",0
50,"<size=150%><color=#FF6699>《グリード》<color=#FFFFFF><br><size=100%>クエスト中、ランダムな場所に出現するMob。<br><color=#FFF352>大量のフラグメント<color=#FFFFFF>を保有するが、遭遇後一定時間で<br>消滅するため、<color=#FFF352>迅速に倒す必要<color=#FFFFFF>がある。",0
51,"<size=150%><color=#FF6699>《ハニースライム》<color=#FFFFFF><br><size=100%>クエスト中、ランダムな場所に出現するMob。<br><color=#FFF352>大量のスキル経験値<color=#FFFFFF>を保有するが、遭遇後逃げ回る<br>ため、フィールドの端へ<color=#FFF352>追い込むと倒しやすい<color=#FFFFFF>。",0
52,"<size=150%><color=#FF6699>《上位種》<color=#FFFFFF><br><size=100%>Mobには大きく強力な<color=#FFF352>上位種<color=#FFFFFF>が存在する。<br>上位種は<color=#FFF352>周囲のMobを強化する<color=#FFFFFF>能力を持つが、<br>倒すと<color=#FFF352>多くのフラグメント<color=#FFFFFF>を獲得できることがある。",0
53,"<size=150%><color=#FF6699>《レジェンドボス》<color=#FFFFFF><br><size=100%>トライアルタワーのどこかのフロアにいるという。<br>フィールドボスとは異なり<color=#FFF352>クリア条件とは関係ない<color=#FFFFFF>。<br>非常に強力だが倒せば<color=#FFF352>高位のリソースを獲得<color=#FFFFFF>できる。",0
54,"<size=150%><color=#FF6699>《プレイヤートレース》<color=#FFFFFF><br><size=100%>クエスト中、他のプレイヤーの遺品である<br><color=#FFF352>プレイヤートレース<color=#FFFFFF>を発見することがある。<br>回収しクエストから帰還すれば<color=#FFF352>報酬<color=#FFFFFF>を獲得できる。",0
55,"<size=150%><color=#FF6699>《鍵付きモンスター》<color=#FFFFFF><br><size=100%>頭上に<color=#FFF352>鍵アイコン<color=#FFFFFF>の表示されたモンスターを倒すと、<br><color=#FFF352>隠された通路やフラグメント<color=#FFFFFF>が出現することがあるが<br><color=#FFF352>強力なモンスター<color=#FFFFFF>を呼び出してしまうこともある。",0
56,"<size=150%><color=#FF6699>《信頼度》<color=#FFFFFF><br><size=100%>クエストへ<color=#FFF352>出撃する度<color=#FFFFFF>、出撃メンバーの<br><color=#FFF352>信頼度<color=#FFFFFF>が高まっていく。信頼度が一定以上に達すると<br><color=#FFF352>特別なクエスト<color=#FFFFFF>に誘われることも……",0
57,"<size=150%><color=#FF6699>《やる気アップ》<color=#FFFFFF><br><size=100%>時折、メンバーがチャットで<color=#FFF352>出撃への意欲<color=#FFFFFF>を見せてくる<br>ことがある。<color=#FFF352>24時間以内<color=#FFFFFF>に出撃させると、<br>そのクエスト中は<color=#FFF352>能力が上昇<color=#FFFFFF>し<color=#FFF352>信頼度が多く得られる<color=#FFFFFF>。",0
58,"<size=150%><color=#FF6699>《プロパティ》<color=#FFFFFF><br><size=100%><color=#FFF352>リソースに付与される追加効果<color=#FFFFFF>。<br>リソース固有の能力とは別に、<br>能力の増減や属性付与など、様々な効果をもつ。",0
59,"<size=150%><color=#FF6699>《後衛の回復》<color=#FFFFFF><br><size=100%><color=#FFF352>後衛<color=#FFFFFF>に下げたメンバーは、<color=#FFF352>HPが徐々に回復<color=#FFFFFF>する上、<br>敵から<color=#FFF352>攻撃を受けない<color=#FFFFFF>。前衛のHPが残り少ない<br>場合は後衛に下げて回復を待つと良い。",0
60,"<size=150%><color=#FF6699>《修復中のダメージ》<color=#FFFFFF><br><size=100%>耐久値を全損したメンバーが<color=#FFF352>修復中にダメージ<color=#FFFFFF>を<br>受けると<color=#FFF352>活動限界が減少<color=#FFFFFF>する。修復中のメンバーは<br>後衛に下げるか、安全な場所で回復を待つと良い。",0
61,"<size=150%><color=#FF6699>《敵の透明化》<color=#FFFFFF><br><size=100%>一部の敵は時折<color=#FFF352>透明状態<color=#FFFFFF>となり、<color=#FFF352>攻撃を受けなくなる<color=#FFFFFF>。<br>敵の様子をよく観察しながら行動すると良い。",0
62,"<size=150%><color=#FF6699>《魔法の詠唱時間》<color=#FFFFFF><br><size=100%>魔法は<color=#FFF352>効果の発現まで長い時間<color=#FFFFFF>を必要とするが、<br>同レベル帯のスキルと比べると<color=#FFF352>大きな効果<color=#FFFFFF>を持つ。",0
63,"<size=150%><color=#FF6699>《エスケープポイント》<color=#FFFFFF><br><size=100%>フィールド上の<color=#FFF352>エスケープポイント<color=#FFFFFF>から離脱すれば、<br>クエスト中に集めた<color=#FFF352>リワードを獲得できる<color=#FFFFFF>。<br>ボスを倒しきれない場合等に利用すると良い。",0
64,"<size=150%><color=#FF6699>《弱点と耐性》<color=#FFFFFF><br><size=100%>敵は攻撃属性に対し<color=#FFF352>弱点<color=#FFFFFF>や<color=#FFF352>耐性<color=#FFFFFF>を持っている。<br>攻撃した際、弱点属性は<color=#FFF352>「WEAK」<color=#FFFFFF>と表示され、<br>耐性を持つ属性は<color=#FFF352>「RESIST」<color=#FFFFFF>と表示される。",0
65,"<size=150%><color=#FF6699>《エクストラボーナス》<color=#FFFFFF><br><size=100%>クエスト毎に設定された特定条件を満たせば、<br><color=#FFF352>エクストラボーナス<color=#FFFFFF>を獲得できる。それぞれの<br><color=#FFF352>条件・報酬<color=#FFFFFF>はクエスト選択画面で確認できる。",0
66,"<size=150%><color=#FF6699>《リソースの傾向》<color=#FFFFFF><br><size=100%><color=#FFF352>トライアルタワー<color=#FFFFFF>の各層では、ドロップする<br><color=#FFF352>リソースの種類<color=#FFFFFF>に<color=#FFF352>一定の傾向<color=#FFFFFF>があるという……",0
67,"<size=150%><color=#FF6699>《レアドロップ》<color=#FFFFFF><br><size=100%>クエストクリア後、<color=#FFF352>希少なリソースを得られる<color=#FFFFFF><br>ドロップアイテム。特定の敵、またはトライアルタワー<br>のボスから入手できることがある。",0
68,"<size=150%><color=#FF6699>《高位スキルの無敵時間》<color=#FFFFFF><br><size=100%><color=#FFF352>スキルレベル4以上<color=#FFFFFF>の攻撃スキルは、<br><color=#FFF352>発動中は無敵状態<color=#FFFFFF>となり一切ダメージを受けない。",0
69,"<size=150%><color=#FF6699>《ミッション難易度》<color=#FFFFFF><br><size=100%>ミッションは条件によって難易度が異なり、<br><color=#FFF352>難易度が高いほどスキル経験値を多く獲得<color=#FFFFFF>できる。<br>ミッション難易度はマップ上のアイコンで確認できる。",0
70,"<size=150%><color=#FF6699>《ガード》<color=#FFFFFF><br><size=100%>敵の攻撃を<color=#FFF352>ガード<color=#FFFFFF>すると受けるダメージを<color=#FFF352>半減<color=#FFFFFF>でき、<br>よろけ・ダウンをしないためすぐに反撃できる。<br><color=#FFF352>盾<color=#FFFFFF>を装備すればガード中のダメージがさらに<color=#FFF352>減少する<color=#FFFFFF>。",0
71,"<size=150%><color=#FF6699>《VP》<color=#FFFFFF><br><size=100%><color=#FFF352>VP《ViSTerポイント》<color=#FFFFFF>は<color=#FFF352>クエストへの出撃<color=#FFFFFF>等で<br>獲得できる。貯まったVPは<color=#FFF352>VPガシャ<color=#FFFFFF>で使用できる。",0
72,"<size=150%><color=#FF6699>《チャージアタック》<color=#FFFFFF><br><size=100%><color=#FFF352>アクションボタンを押し続けて<color=#FFFFFF>メンバーが光った後<br>ボタンを離すと、<color=#FFF352>チャージアタック<color=#FFFFFF>が発動する。<br>チャージは後衛でもボタンを押し続ければ継続する。",0
73,"<size=150%><color=#FF6699>《ヒーローログ》<color=#FFFFFF><br><size=100%>それぞれのヒーローログには<color=#FFF352>ロール<color=#FFFFFF>が設定されている。<br>アタッカー・タンク・サポーター・バランスの4種類が<br>存在し、<color=#FFF352>ステータス<color=#FFFFFF>や<color=#FFF352>習得するスキル<color=#FFFFFF>の傾向が異なる。",0
74,"<size=150%><color=#FF6699>《ユイメダル》<color=#FFFFFF><br><size=100%>ステーションへの<color=#FFF352>ログイン日数に応じて入手できる<color=#FFFFFF>。<br><color=#FFF352>高レアリティのリソースの複製を購入<color=#FFFFFF>する際に<br>使用する。",0
75,"<size=150%><color=#FF6699>《アダプタブル》<color=#FFFFFF><br><size=100%>適合体。<br><color=#FFF352>トライアルタワー51層以降の特定の階層<color=#FFFFFF>で、<br><color=#FFF352>色つき鍵のついたMob<color=#FFFFFF>を全て倒すことで<br>フィールド内のどこかに出現する。",0
76,"<size=150%><color=#FF6699>《イベント特効効果》<color=#FFFFFF><br><size=100%>各種ログには、<br>イベントポイント獲得量が増加する<br><color=#FFF352>特効効果<color=#FFFFFF>を持つものがある。<br><color=#FFF352>パーティ編成に組み込むことで発揮<color=#FFFFFF>される。",10
77,"<size=150%><color=#FF6699>《イベント報酬》<color=#FFFFFF><br><size=100%>イベントポイントの獲得量に応じて<br>様々な報酬がゲットできる。<br>中には<color=#FFF352>イベント限定のログや称号<color=#FFFFFF>もある。",10
78,"<size=150%><color=#FF6699>《メインタスク》<color=#FFFFFF><br><size=100%>イベント期間内に<color=#FFF352>一度だけ達成可能<color=#FFFFFF>な大型の課題。<br><color=#FFF352>大量のイベントポイント<color=#FFFFFF>を獲得できる。<br>メインタスクは達成されると、<br>さらに新たなメインタスクが開示されていく。",10
79,"<size=150%><color=#FF6699>《リミテッドタスク》<color=#FFFFFF><br><size=100%>イベント期間内の<br>さらに<color=#FFF352>限定された期間<color=#FFFFFF>に達成可能な課題。<br><color=#FFF352>とりわけ大量のイベントポイント<color=#FFFFFF>を獲得できる。",10
80,"<size=150%><color=#FF6699>《サブタスク》<color=#FFFFFF><br><size=100%>イベント期間内に<color=#FFF352>何度でも挑める課題<color=#FFFFFF>。<br><color=#FFF352>特定の階層にのみ設定<color=#FFFFFF>されている。",10
81,"<size=150%><color=#FF6699>《イベントポイント》<color=#FFFFFF><br><size=100%>イベントポイントは、<br><color=#FFF352>各種タスクを達成することで獲得<color=#FFFFFF>できる。",10
83,"<size=150%><color=#FF6699>《狙撃銃のチャージアタック》<color=#FFFFFF><br><size=100%>狙撃銃にはチャージ時間に応じ<color=#FFF352>三段階の<br>チャージアタック<color=#FFFFFF>があり、威力が上昇する他、<br>最大までチャージすると<color=#FFF352>敵の突属性耐性を無視<color=#FFFFFF>できる。<br>また、チャージ中にガードボタンを押すと<br>銃を構えて<color=#FFF352>任意の方向<color=#FFFFFF>に狙いをつけることができる。",0
84,"<size=150%><color=#FF6699>《サポートログ》<color=#FFFFFF><br><size=100%>サポートログは<color=#FFF352>デフラグマッチ専用のリソース<color=#FFFFFF>である。<br>同時に3枚まで編成でき、使用すると<br>デフラグマッチで有効に働く様々なスキルが発動する。<br>ヒーローログと同様に<color=#FFF352>覚醒とリーダー任命<color=#FFFFFF>を行える。",0
85,"<size=150%><color=#FF6699>《状態異常：衰弱》<color=#FFFFFF><br><size=100%><color=#FFF352>耐久値の上限が半分<color=#FFFFFF>になる。<br>時間経過で自動的に回復する。",0
86,"<size=150%><color=#FF6699>《状態異常：氷咲》<color=#FFFFFF><br><size=100%><color=#FFF352>敵にのみ発生<color=#FFFFFF>する状態異常。<br>植え付けられた青薔薇により<color=#FFF352>行動不能<color=#FFFFFF>になり、<br>付与者のINTに応じた<color=#FFF352>継続ダメージ<color=#FFFFFF>を受ける。<br>時間経過で自動的に回復する。",0
87,"<size=150%><color=#FF6699>《フレンドスキルの耐性》<color=#FFFFFF><br><size=100%><color=#FFF352>アダプタブル<color=#FFFFFF>や<color=#FFF352>怒り状態のボス<color=#FFFFFF>は<br>特殊な装甲により<color=#FFF352>フレンドスキルによるダメージ<color=#FFFFFF>を<br>無効化する。ただし、ダメージ以外の効果は受ける。",0
88,"<size=150%><color=#FF6699>《エピソードキー》<color=#FFFFFF><br><size=100%>3章以降のエピソードは、<color=#FFF352>連動サイト<color=#FFFFFF>で<br><color=#FFF352>エピソードキー<color=#FFFFFF>を使用することで閲覧できる。<br>エピソードキーはViSTerステーションで<br><color=#FFF352>クエストをクリア<color=#FFFFFF>すると入手できる。",0
90,"<size=150%><color=#FF6699>《状態異常：魅了》<color=#FFFFFF><br><size=100%><color=#FFF352>Mobにのみ発生<color=#FFFFFF>する状態異常。<br>メンバーに魅了されたMobは、貢献したいあまりに<br><color=#FFF352>他のモンスターを攻撃<color=#FFFFFF>するようになってしまう。<br>時間経過で目が覚め、自動的に回復する。",0
92,"<size=150%><color=#FF6699>《EXタワー》<color=#FFFFFF><br><size=100%><color=#FFF352>期間限定<color=#FFFFFF>で登場する高難易度クエスト群。<br>トライアルタワーでは入手できない報酬が<br>ドロップする場合もある。<br>期間終了時にEXタワーランキングで<color=#FFF352>5位以内<color=#FFFFFF>に入ると<br>そのタワーの<color=#FFF352>殿堂入り<color=#FFFFFF>として名前が残る。",0
93,"<size=150%><color=#FF6699>《状態異常：炎上》<color=#FFFFFF><br><size=100%><color=#FFF352>断続的にダメージを受け続ける<color=#FFFFFF>。<br>更に、攻撃が<color=#FFF352>強制的に火属性攻撃となる<color=#FFFFFF>。<br>時間経過で自動的に回復する。",0
