// Id,Text,Roma,FilepathLightBoy,FilepathLightGirl,FilepathBaseBoy,FilepathBaseGirl
13,"ス","su","star3_moji_tex/m3akt_hikari_13_su","star3_moji_tex/m3bkt_hikari_13_su","star4_moji_tex/m3akt_l_13_su","star4_moji_tex/m3bkt_l_13_su"
14,"セ","se","star3_moji_tex/m3akt_hikari_14_se","star3_moji_tex/m3bkt_hikari_14_se","star4_moji_tex/m3akt_l_14_se","star4_moji_tex/m3bkt_l_14_se"
15,"ソ","so","star3_moji_tex/m3akt_hikari_15_so","star3_moji_tex/m3bkt_hikari_15_so","star4_moji_tex/m3akt_l_15_so","star4_moji_tex/m3bkt_l_15_so"
16,"タ","ta","star3_moji_tex/m3akt_hikari_16_ta","star3_moji_tex/m3bkt_hikari_16_ta","star4_moji_tex/m3akt_l_16_ta","star4_moji_tex/m3bkt_l_16_ta"
17,"チ","ti","star3_moji_tex/m3akt_hikari_17_ti","star3_moji_tex/m3bkt_hikari_17_ti","star4_moji_tex/m3akt_l_17_ti","star4_moji_tex/m3bkt_l_17_ti"
18,"ツ","tu","star3_moji_tex/m3akt_hikari_18_tu","star3_moji_tex/m3bkt_hikari_18_tu","star4_moji_tex/m3akt_l_18_tu","star4_moji_tex/m3bkt_l_18_tu"
19,"テ","te","star3_moji_tex/m3akt_hikari_19_te","star3_moji_tex/m3bkt_hikari_19_te","star4_moji_tex/m3akt_l_19_te","star4_moji_tex/m3bkt_l_19_te"
20,"ト","to","star3_moji_tex/m3akt_hikari_20_to","star3_moji_tex/m3bkt_hikari_20_to","star4_moji_tex/m3akt_l_20_to","star4_moji_tex/m3bkt_l_20_to"
21,"ナ","na","star3_moji_tex/m3akt_hikari_21_na","star3_moji_tex/m3bkt_hikari_21_na","star4_moji_tex/m3akt_l_21_na","star4_moji_tex/m3bkt_l_21_na"
22,"ニ","ni","star3_moji_tex/m3akt_hikari_22_ni","star3_moji_tex/m3bkt_hikari_22_ni","star4_moji_tex/m3akt_l_22_ni","star4_moji_tex/m3bkt_l_22_ni"
23,"ヌ","nu","star3_moji_tex/m3akt_hikari_23_nu","star3_moji_tex/m3bkt_hikari_23_nu","star4_moji_tex/m3akt_l_23_nu","star4_moji_tex/m3bkt_l_23_nu"
24,"ネ","ne","star3_moji_tex/m3akt_hikari_24_ne","star3_moji_tex/m3bkt_hikari_24_ne","star4_moji_tex/m3akt_l_24_ne","star4_moji_tex/m3bkt_l_24_ne"
25,"ノ","no","star3_moji_tex/m3akt_hikari_25_no","star3_moji_tex/m3bkt_hikari_25_no","star4_moji_tex/m3akt_l_25_no","star4_moji_tex/m3bkt_l_25_no"
26,"ハ","ha","star3_moji_tex/m3akt_hikari_26_ha","star3_moji_tex/m3bkt_hikari_26_ha","star4_moji_tex/m3akt_l_26_ha","star4_moji_tex/m3bkt_l_26_ha"
27,"ヒ","hi","star3_moji_tex/m3akt_hikari_27_hi","star3_moji_tex/m3bkt_hikari_27_hi","star4_moji_tex/m3akt_l_27_hi","star4_moji_tex/m3bkt_l_27_hi"
28,"フ","fu","star3_moji_tex/m3akt_hikari_28_fu","star3_moji_tex/m3bkt_hikari_28_fu","star4_moji_tex/m3akt_l_28_fu","star4_moji_tex/m3bkt_l_28_fu"
29,"ヘ","he","star3_moji_tex/m3akt_hikari_29_he","star3_moji_tex/m3bkt_hikari_29_he","star4_moji_tex/m3akt_l_29_he","star4_moji_tex/m3bkt_l_29_he"
30,"ホ","ho","star3_moji_tex/m3akt_hikari_30_ho","star3_moji_tex/m3bkt_hikari_30_ho","star4_moji_tex/m3akt_l_30_ho","star4_moji_tex/m3bkt_l_30_ho"
31,"マ","ma","star3_moji_tex/m3akt_hikari_31_ma","star3_moji_tex/m3bkt_hikari_31_ma","star4_moji_tex/m3akt_l_31_ma","star4_moji_tex/m3bkt_l_31_ma"
32,"ミ","mi","star3_moji_tex/m3akt_hikari_32_mi","star3_moji_tex/m3bkt_hikari_32_mi","star4_moji_tex/m3akt_l_32_mi","star4_moji_tex/m3bkt_l_32_mi"
33,"ム","mu","star3_moji_tex/m3akt_hikari_33_mu","star3_moji_tex/m3bkt_hikari_33_mu","star4_moji_tex/m3akt_l_33_mu","star4_moji_tex/m3bkt_l_33_mu"
34,"メ","me","star3_moji_tex/m3akt_hikari_34_me","star3_moji_tex/m3bkt_hikari_34_me","star4_moji_tex/m3akt_l_34_me","star4_moji_tex/m3bkt_l_34_me"
35,"モ","mo","star3_moji_tex/m3akt_hikari_35_mo","star3_moji_tex/m3bkt_hikari_35_mo","star4_moji_tex/m3akt_l_35_mo","star4_moji_tex/m3bkt_l_35_mo"
36,"ラ","ra","star3_moji_tex/m3akt_hikari_36_ra","star3_moji_tex/m3bkt_hikari_36_ra","star4_moji_tex/m3akt_l_36_ra","star4_moji_tex/m3bkt_l_36_ra"
37,"リ","ri","star3_moji_tex/m3akt_hikari_37_ri","star3_moji_tex/m3bkt_hikari_37_ri","star4_moji_tex/m3akt_l_37_ri","star4_moji_tex/m3bkt_l_37_ri"
38,"ル","ru","star3_moji_tex/m3akt_hikari_38_ru","star3_moji_tex/m3bkt_hikari_38_ru","star4_moji_tex/m3akt_l_38_ru","star4_moji_tex/m3bkt_l_38_ru"
39,"レ","re","star3_moji_tex/m3akt_hikari_39_re","star3_moji_tex/m3bkt_hikari_39_re","star4_moji_tex/m3akt_l_39_re","star4_moji_tex/m3bkt_l_39_re"
40,"ロ","ro","star3_moji_tex/m3akt_hikari_40_ro","star3_moji_tex/m3bkt_hikari_40_ro","star4_moji_tex/m3akt_l_40_ro","star4_moji_tex/m3bkt_l_40_ro"
41,"ヤ","ya","star3_moji_tex/m3akt_hikari_41_ya","star3_moji_tex/m3bkt_hikari_41_ya","star4_moji_tex/m3akt_l_41_ya","star4_moji_tex/m3bkt_l_41_ya"
43,"ユ","yu","star3_moji_tex/m3akt_hikari_43_yu","star3_moji_tex/m3bkt_hikari_43_yu","star4_moji_tex/m3akt_l_43_yu","star4_moji_tex/m3bkt_l_43_yu"
45,"ヨ","yo","star3_moji_tex/m3akt_hikari_45_yo","star3_moji_tex/m3bkt_hikari_45_yo","star4_moji_tex/m3akt_l_45_yo","star4_moji_tex/m3bkt_l_45_yo"
46,"ワ","wa","star3_moji_tex/m3akt_hikari_46_wa","star3_moji_tex/m3bkt_hikari_46_wa","star4_moji_tex/m3akt_l_46_wa","star4_moji_tex/m3bkt_l_46_wa"
47,"ヲ","wo","star3_moji_tex/m3akt_hikari_47_wo","star3_moji_tex/m3bkt_hikari_47_wo","star4_moji_tex/m3akt_l_47_wo","star4_moji_tex/m3bkt_l_47_wo"
48,"ー","bos","star3_moji_tex/m3akt_hikari_48_bos","star3_moji_tex/m3bkt_hikari_48_bos","star4_moji_tex/m3akt_l_48_bos","star4_moji_tex/m3bkt_l_48_bos"
49,"ン","nn","star3_moji_tex/m3akt_hikari_49_nn","star3_moji_tex/m3bkt_hikari_49_nn","star4_moji_tex/m3akt_l_49_nn","star4_moji_tex/m3bkt_l_49_nn"
50,"‐","bou","star3_moji_tex/m3akt_hikari_50_bou","star3_moji_tex/m3bkt_hikari_50_bou","star4_moji_tex/m3akt_l_50_bou","star4_moji_tex/m3bkt_l_50_bou"
51,"ガ","ga","star3_moji_tex/m3akt_hikari_51_ga","star3_moji_tex/m3bkt_hikari_51_ga","star4_moji_tex/m3akt_l_51_ga","star4_moji_tex/m3bkt_l_51_ga"
52,"ギ","gi","star3_moji_tex/m3akt_hikari_52_gi","star3_moji_tex/m3bkt_hikari_52_gi","star4_moji_tex/m3akt_l_52_gi","star4_moji_tex/m3bkt_l_52_gi"
53,"グ","gu","star3_moji_tex/m3akt_hikari_53_gu","star3_moji_tex/m3bkt_hikari_53_gu","star4_moji_tex/m3akt_l_53_gu","star4_moji_tex/m3bkt_l_53_gu"
54,"ゲ","ge","star3_moji_tex/m3akt_hikari_54_ge","star3_moji_tex/m3bkt_hikari_54_ge","star4_moji_tex/m3akt_l_54_ge","star4_moji_tex/m3bkt_l_54_ge"
55,"ゴ","go","star3_moji_tex/m3akt_hikari_55_go","star3_moji_tex/m3bkt_hikari_55_go","star4_moji_tex/m3akt_l_55_go","star4_moji_tex/m3bkt_l_55_go"
56,"ザ","za","star3_moji_tex/m3akt_hikari_56_za","star3_moji_tex/m3bkt_hikari_56_za","star4_moji_tex/m3akt_l_56_za","star4_moji_tex/m3bkt_l_56_za"
57,"ジ","zi","star3_moji_tex/m3akt_hikari_57_zi","star3_moji_tex/m3bkt_hikari_57_zi","star4_moji_tex/m3akt_l_57_zi","star4_moji_tex/m3bkt_l_57_zi"
58,"ズ","zu","star3_moji_tex/m3akt_hikari_58_zu","star3_moji_tex/m3bkt_hikari_58_zu","star4_moji_tex/m3akt_l_58_zu","star4_moji_tex/m3bkt_l_58_zu"
59,"ゼ","ze","star3_moji_tex/m3akt_hikari_59_ze","star3_moji_tex/m3bkt_hikari_59_ze","star4_moji_tex/m3akt_l_59_ze","star4_moji_tex/m3bkt_l_59_ze"
60,"ゾ","zo","star3_moji_tex/m3akt_hikari_60_zo","star3_moji_tex/m3bkt_hikari_60_zo","star4_moji_tex/m3akt_l_60_zo","star4_moji_tex/m3bkt_l_60_zo"
61,"ダ","da","star3_moji_tex/m3akt_hikari_61_da","star3_moji_tex/m3bkt_hikari_61_da","star4_moji_tex/m3akt_l_61_da","star4_moji_tex/m3bkt_l_61_da"
62,"ヂ","di","star3_moji_tex/m3akt_hikari_62_di","star3_moji_tex/m3bkt_hikari_62_di","star4_moji_tex/m3akt_l_62_di","star4_moji_tex/m3bkt_l_62_di"
63,"ヅ","du","star3_moji_tex/m3akt_hikari_63_du","star3_moji_tex/m3bkt_hikari_63_du","star4_moji_tex/m3akt_l_63_du","star4_moji_tex/m3bkt_l_63_du"
64,"デ","de","star3_moji_tex/m3akt_hikari_64_de","star3_moji_tex/m3bkt_hikari_64_de","star4_moji_tex/m3akt_l_64_de","star4_moji_tex/m3bkt_l_64_de"
65,"ド","do","star3_moji_tex/m3akt_hikari_65_do","star3_moji_tex/m3bkt_hikari_65_do","star4_moji_tex/m3akt_l_65_do","star4_moji_tex/m3bkt_l_65_do"
66,"バ","ba","star3_moji_tex/m3akt_hikari_66_ba","star3_moji_tex/m3bkt_hikari_66_ba","star4_moji_tex/m3akt_l_66_ba","star4_moji_tex/m3bkt_l_66_ba"
67,"ビ","bi","star3_moji_tex/m3akt_hikari_67_bi","star3_moji_tex/m3bkt_hikari_67_bi","star4_moji_tex/m3akt_l_67_bi","star4_moji_tex/m3bkt_l_67_bi"
68,"ブ","bu","star3_moji_tex/m3akt_hikari_68_bu","star3_moji_tex/m3bkt_hikari_68_bu","star4_moji_tex/m3akt_l_68_bu","star4_moji_tex/m3bkt_l_68_bu"
69,"ベ","be","star3_moji_tex/m3akt_hikari_69_be","star3_moji_tex/m3bkt_hikari_69_be","star4_moji_tex/m3akt_l_69_be","star4_moji_tex/m3bkt_l_69_be"
70,"ボ","bo","star3_moji_tex/m3akt_hikari_70_bo","star3_moji_tex/m3bkt_hikari_70_bo","star4_moji_tex/m3akt_l_70_bo","star4_moji_tex/m3bkt_l_70_bo"
71,"パ","pa","star3_moji_tex/m3akt_hikari_71_pa","star3_moji_tex/m3bkt_hikari_71_pa","star4_moji_tex/m3akt_l_71_pa","star4_moji_tex/m3bkt_l_71_pa"
72,"ピ","pi","star3_moji_tex/m3akt_hikari_72_pi","star3_moji_tex/m3bkt_hikari_72_pi","star4_moji_tex/m3akt_l_72_pi","star4_moji_tex/m3bkt_l_72_pi"
73,"プ","pu","star3_moji_tex/m3akt_hikari_73_pu","star3_moji_tex/m3bkt_hikari_73_pu","star4_moji_tex/m3akt_l_73_pu","star4_moji_tex/m3bkt_l_73_pu"
74,"ペ","pe","star3_moji_tex/m3akt_hikari_74_pe","star3_moji_tex/m3bkt_hikari_74_pe","star4_moji_tex/m3akt_l_74_pe","star4_moji_tex/m3bkt_l_74_pe"
75,"ポ","po","star3_moji_tex/m3akt_hikari_75_po","star3_moji_tex/m3bkt_hikari_75_po","star4_moji_tex/m3akt_l_75_po","star4_moji_tex/m3bkt_l_75_po"
76,"ァ","la","star3_moji_tex/m3akt_hikari_76_la","star3_moji_tex/m3bkt_hikari_76_la","star4_moji_tex/m3akt_l_76_la","star4_moji_tex/m3bkt_l_76_la"
77,"ィ","li","star3_moji_tex/m3akt_hikari_77_li","star3_moji_tex/m3bkt_hikari_77_li","star4_moji_tex/m3akt_l_77_li","star4_moji_tex/m3bkt_l_77_li"
78,"ゥ","lu","star3_moji_tex/m3akt_hikari_78_lu","star3_moji_tex/m3bkt_hikari_78_lu","star4_moji_tex/m3akt_l_78_lu","star4_moji_tex/m3bkt_l_78_lu"
79,"ェ","le","star3_moji_tex/m3akt_hikari_79_le","star3_moji_tex/m3bkt_hikari_79_le","star4_moji_tex/m3akt_l_79_le","star4_moji_tex/m3bkt_l_79_le"
80,"ォ","lo","star3_moji_tex/m3akt_hikari_80_lo","star3_moji_tex/m3bkt_hikari_80_lo","star4_moji_tex/m3akt_l_80_lo","star4_moji_tex/m3bkt_l_80_lo"
81,"ャ","ya","star3_moji_tex/m3akt_hikari_81_ya","star3_moji_tex/m3bkt_hikari_81_ya","star4_moji_tex/m3akt_l_81_ya","star4_moji_tex/m3bkt_l_81_ya"
82,"ュ","yu","star3_moji_tex/m3akt_hikari_82_yu","star3_moji_tex/m3bkt_hikari_82_yu","star4_moji_tex/m3akt_l_82_yu","star4_moji_tex/m3bkt_l_82_yu"
83,"ョ","yo","star3_moji_tex/m3akt_hikari_83_yo","star3_moji_tex/m3bkt_hikari_83_yo","star4_moji_tex/m3akt_l_83_yo","star4_moji_tex/m3bkt_l_83_yo"
84,"ヮ","lw","star3_moji_tex/m3akt_hikari_84_lw","star3_moji_tex/m3bkt_hikari_84_lw","star4_moji_tex/m3akt_l_84_lw","star4_moji_tex/m3bkt_l_84_lw"
85,"ヴ","vu","star3_moji_tex/m3akt_hikari_85_vu","star3_moji_tex/m3bkt_hikari_85_vu","star4_moji_tex/m3akt_l_85_vu","star4_moji_tex/m3bkt_l_85_vu"
86,"ッ","lt","star3_moji_tex/m3akt_hikari_86_lt","star3_moji_tex/m3bkt_hikari_86_lt","star4_moji_tex/m3akt_l_86_lt","star4_moji_tex/m3bkt_l_86_lt"
87,"。","nakaten","star3_moji_tex/m3akt_hikari_87_nakaten","star3_moji_tex/m3bkt_hikari_87_nakaten","star4_moji_tex/m3akt_l_87_nakaten","star4_moji_tex/m3bkt_l_87_nakaten"
88,"・","nakaten","star3_moji_tex/m3akt_hikari_88_nakaten","star3_moji_tex/m3bkt_hikari_88_nakaten","star4_moji_tex/m3akt_l_88_nakaten","star4_moji_tex/m3bkt_l_88_nakaten"
89,"°","nakaten","star3_moji_tex/m3akt_hikari_89_nakaten","star3_moji_tex/m3bkt_hikari_89_nakaten","star4_moji_tex/m3akt_l_89_nakaten","star4_moji_tex/m3bkt_l_89_nakaten"
90,"貫","kan","star3_moji_tex/m3azk_hikarim_04_kan","star3_moji_tex/m3bzk_hikarim_04_kan","star4_moji_tex/m3azk_l_04_kan","star4_moji_tex/m3bzk_l_04_kan"
91,"通","tsu","star3_moji_tex/m3azk_hikarim_05_tsu","star3_moji_tex/m3bzk_hikarim_05_tsu","star4_moji_tex/m3azk_l_05_tsu","star4_moji_tex/m3bzk_l_05_tsu"
92,"投","tou","star3_moji_tex/m3azk_hikarim_06_tou","star3_moji_tex/m3bzk_hikarim_06_tou","star4_moji_tex/m3azk_l_06_tou","star4_moji_tex/m3bzk_l_06_tou"
93,"剣","ken","star3_moji_tex/m3azk_hikarim_07_ken","star3_moji_tex/m3bzk_hikarim_07_ken","star4_moji_tex/m3azk_l_07_ken","star4_moji_tex/m3bzk_l_07_ken"
94,"月","get","star3_moji_tex/m3azk_hikarim_15_get","star3_moji_tex/m3bzk_hikarim_15_get","star4_moji_tex/m3azk_l_15_get","star4_moji_tex/m3bzk_l_15_get"
95,"朧","obr","star3_moji_tex/m3azk_hikarim_20_obr","star3_moji_tex/m3bzk_hikarim_20_obr","star4_moji_tex/m3azk_l_20_obr","star4_moji_tex/m3bzk_l_20_obr"
96,"夜","yot","star3_moji_tex/m3azk_hikarim_22_yor","star3_moji_tex/m3bzk_hikarim_22_yor","star4_moji_tex/m3azk_l_22_yor","star4_moji_tex/m3bzk_l_22_yor"
97,"旋","sen","star3_moji_tex/m3azk_hikarim_23_sen","star3_moji_tex/m3bzk_hikarim_23_sen","star4_moji_tex/m3azk_l_23_sen","star4_moji_tex/m3bzk_l_23_sen"
98,"車","sya","star3_moji_tex/m3azk_hikarim_24_sya","star3_moji_tex/m3bzk_hikarim_24_sya","star4_moji_tex/m3azk_l_24_sya","star4_moji_tex/m3bzk_l_24_sya"
99,"絶","zet","star3_moji_tex/m3azk_hikarim_25_zet","star3_moji_tex/m3bzk_hikarim_25_zet","star4_moji_tex/m3azk_l_25_zet","star4_moji_tex/m3bzk_l_25_zet"
100,"空","kuu","star3_moji_tex/m3azk_hikarim_26_kuu","star3_moji_tex/m3bzk_hikarim_26_kuu","star4_moji_tex/m3azk_l_26_kuu","star4_moji_tex/m3bzk_l_26_kuu"
101,"散","san","star3_moji_tex/m3azk_hikarim_27_san","star3_moji_tex/m3bzk_hikarim_27_san","star4_moji_tex/m3azk_l_27_san","star4_moji_tex/m3bzk_l_27_san"
102,"華","kaa","star3_moji_tex/m3azk_hikarim_28_kaa","star3_moji_tex/m3bzk_hikarim_28_kaa","star4_moji_tex/m3azk_l_28_kaa","star4_moji_tex/m3bzk_l_28_kaa"
103,"羅","raa","star3_moji_tex/m3azk_hikarim_29_raa","star3_moji_tex/m3bzk_hikarim_29_raa","star4_moji_tex/m3azk_l_29_raa","star4_moji_tex/m3bzk_l_29_raa"
104,"生","sei","star3_moji_tex/m3azk_hikarim_30_sei","star3_moji_tex/m3bzk_hikarim_30_sei","star4_moji_tex/m3azk_l_30_sei","star4_moji_tex/m3bzk_l_30_sei"
105,"門","mon","star3_moji_tex/m3azk_hikarim_31_mon","star3_moji_tex/m3bzk_hikarim_31_mon","star4_moji_tex/m3azk_l_31_mon","star4_moji_tex/m3bzk_l_31_mon"
106,"紅","kur","star3_moji_tex/m3azk_hikarim_12_kur","star3_moji_tex/m3bzk_hikarim_12_kur","star4_moji_tex/m3azk_l_12_kur","star4_moji_tex/m3bzk_l_12_kur"
107,"蓮","ren","star3_moji_tex/m3azk_hikarim_21_ren","star3_moji_tex/m3bzk_hikarim_21_ren","star4_moji_tex/m3azk_l_21_ren","star4_moji_tex/m3bzk_l_21_ren"
108,"一","ich","star3_moji_tex/m3azk_hikarim_40_ich","star3_moji_tex/m3bzk_hikarim_40_ich","star4_moji_tex/m3azk_l_40_ich","star4_moji_tex/m3bzk_l_40_ich"
109,"刀","tou","star3_moji_tex/m3azk_hikarim_41_tou","star3_moji_tex/m3bzk_hikarim_41_tou","star4_moji_tex/m3azk_l_41_tou","star4_moji_tex/m3bzk_l_41_tou"
110,"劫","gou","star3_moji_tex/m3azk_hikarim_42_gou","star3_moji_tex/m3bzk_hikarim_42_gou","star4_moji_tex/m3azk_l_42_gou","star4_moji_tex/m3bzk_l_42_gou"
111,"火","kaa","star3_moji_tex/m3azk_hikarim_43_kaa","star3_moji_tex/m3bzk_hikarim_43_kaa","star4_moji_tex/m3azk_l_43_kaa","star4_moji_tex/m3bzk_l_43_kaa"
112,"絢","jun","star3_moji_tex/m3azk_hikarim_44_jun","star3_moji_tex/m3bzk_hikarim_44_jun","star4_moji_tex/m3azk_l_44_jun","star4_moji_tex/m3bzk_l_44_jun"
113,"爛","ran","star3_moji_tex/m3azk_hikarim_45_ran","star3_moji_tex/m3bzk_hikarim_45_ran","star4_moji_tex/m3azk_l_45_ran","star4_moji_tex/m3bzk_l_45_ran"
114,"行","kou","star3_moji_tex/m3azk_hikarim_46_kou","star3_moji_tex/m3bzk_hikarim_46_kou","star4_moji_tex/m3azk_l_46_kou","star4_moji_tex/m3bzk_l_46_kou"
115,"動","dou","star3_moji_tex/m3azk_hikarim_47_dou","star3_moji_tex/m3bzk_hikarim_47_dou","star4_moji_tex/m3azk_l_47_dou","star4_moji_tex/m3bzk_l_47_dou"
116,"拡","kak","star3_moji_tex/m3azk_hikarim_48_kak","star3_moji_tex/m3bzk_hikarim_48_kak","star4_moji_tex/m3azk_l_48_kak","star4_moji_tex/m3bzk_l_48_kak"
117,"張","cho","star3_moji_tex/m3azk_hikarim_49_cho","star3_moji_tex/m3bzk_hikarim_49_cho","star4_moji_tex/m3azk_l_49_cho","star4_moji_tex/m3bzk_l_49_cho"
120,"花","han","star3_moji_tex/m3azk_hikarim_50_han","star3_moji_tex/m3bzk_hikarim_50_han","star4_moji_tex/m3azk_l_50_han","star4_moji_tex/m3bzk_l_50_han"
121,"鳥","tor","star3_moji_tex/m3azk_hikarim_51_tor","star3_moji_tex/m3bzk_hikarim_51_tor","star4_moji_tex/m3azk_l_51_tor","star4_moji_tex/m3bzk_l_51_tor"
122,"風","kaz","star3_moji_tex/m3azk_hikarim_52_kaz","star3_moji_tex/m3bzk_hikarim_52_kaz","star4_moji_tex/m3azk_l_52_kaz","star4_moji_tex/m3bzk_l_52_kaz"
123,"待","tai","star3_moji_tex/m3azk_hikarim_53_tai","star3_moji_tex/m3bzk_hikarim_53_tai","star4_moji_tex/m3azk_l_53_tai","star4_moji_tex/m3bzk_l_53_tai"
124,"！","bikkuri","star3_moji_tex/m3azk_hikarim_54_bikkuri","star3_moji_tex/m3bzk_hikarim_54_bikkuri","star4_moji_tex/m3azk_l_54_bikkuri","star4_moji_tex/m3bzk_l_54_bikkuri"
125,"あ","a","star3_moji_tex/m3ahr_hikari_01_a","star3_moji_tex/m3bhr_hikari_01_a","star4_moji_tex/m3ahr_l_01_a","star4_moji_tex/m3bhr_l_01_a"
126,"い","i","star3_moji_tex/m3ahr_hikari_02_i","star3_moji_tex/m3bhr_hikari_02_i","star4_moji_tex/m3ahr_l_02_i","star4_moji_tex/m3bhr_l_02_i"
127,"う","u","star3_moji_tex/m3ahr_hikari_03_u","star3_moji_tex/m3bhr_hikari_03_u","star4_moji_tex/m3ahr_l_03_u","star4_moji_tex/m3bhr_l_03_u"
128,"え","e","star3_moji_tex/m3ahr_hikari_04_e","star3_moji_tex/m3bhr_hikari_04_e","star4_moji_tex/m3ahr_l_04_e","star4_moji_tex/m3bhr_l_04_e"
129,"お","o","star3_moji_tex/m3ahr_hikari_05_o","star3_moji_tex/m3bhr_hikari_05_o","star4_moji_tex/m3ahr_l_05_o","star4_moji_tex/m3bhr_l_05_o"
130,"か","ka","star3_moji_tex/m3ahr_hikari_06_ka","star3_moji_tex/m3bhr_hikari_06_ka","star4_moji_tex/m3ahr_l_06_ka","star4_moji_tex/m3bhr_l_06_ka"
131,"き","ki","star3_moji_tex/m3ahr_hikari_07_ki","star3_moji_tex/m3bhr_hikari_07_ki","star4_moji_tex/m3ahr_l_07_ki","star4_moji_tex/m3bhr_l_07_ki"
132,"く","ku","star3_moji_tex/m3ahr_hikari_08_ku","star3_moji_tex/m3bhr_hikari_08_ku","star4_moji_tex/m3ahr_l_08_ku","star4_moji_tex/m3bhr_l_08_ku"
133,"け","ke","star3_moji_tex/m3ahr_hikari_09_ke","star3_moji_tex/m3bhr_hikari_09_ke","star4_moji_tex/m3ahr_l_09_ke","star4_moji_tex/m3bhr_l_09_ke"
134,"こ","ko","star3_moji_tex/m3ahr_hikari_10_ko","star3_moji_tex/m3bhr_hikari_10_ko","star4_moji_tex/m3ahr_l_10_ko","star4_moji_tex/m3bhr_l_10_ko"
135,"さ","sa","star3_moji_tex/m3ahr_hikari_11_sa","star3_moji_tex/m3bhr_hikari_11_sa","star4_moji_tex/m3ahr_l_11_sa","star4_moji_tex/m3bhr_l_11_sa"
136,"し","si","star3_moji_tex/m3ahr_hikari_12_si","star3_moji_tex/m3bhr_hikari_12_si","star4_moji_tex/m3ahr_l_12_si","star4_moji_tex/m3bhr_l_12_si"
137,"す","su","star3_moji_tex/m3ahr_hikari_13_su","star3_moji_tex/m3bhr_hikari_13_su","star4_moji_tex/m3ahr_l_13_su","star4_moji_tex/m3bhr_l_13_su"
138,"せ","se","star3_moji_tex/m3ahr_hikari_14_se","star3_moji_tex/m3bhr_hikari_14_se","star4_moji_tex/m3ahr_l_14_se","star4_moji_tex/m3bhr_l_14_se"
139,"そ","so","star3_moji_tex/m3ahr_hikari_15_so","star3_moji_tex/m3bhr_hikari_15_so","star4_moji_tex/m3ahr_l_15_so","star4_moji_tex/m3bhr_l_15_so"
140,"た","ta","star3_moji_tex/m3ahr_hikari_16_ta","star3_moji_tex/m3bhr_hikari_16_ta","star4_moji_tex/m3ahr_l_16_ta","star4_moji_tex/m3bhr_l_16_ta"
141,"ち","ti","star3_moji_tex/m3ahr_hikari_17_ti","star3_moji_tex/m3bhr_hikari_17_ti","star4_moji_tex/m3ahr_l_17_ti","star4_moji_tex/m3bhr_l_17_ti"
142,"つ","tu","star3_moji_tex/m3ahr_hikari_18_tu","star3_moji_tex/m3bhr_hikari_18_tu","star4_moji_tex/m3ahr_l_18_tu","star4_moji_tex/m3bhr_l_18_tu"
