// SubStateMonsterId,Name,UnitId,Pop,Dead,Found,Damage,Angry,Appear
74,"15530000.ゴッズペット",15530000,,,"MO_553_00_Found","MO_553_00_DamState","MO_553_00_Angry",
75,"10000303.守護騎士・狙撃手（高速攻撃）",10000303,,,"MO_000_03_10_Found",,,
76,"10020403.ボム・スフィア（高速攻撃）",10020403,,,"MO_002_04_00_Found",,,
77,"10060404.スカルノイド（高速攻撃）",10060404,,,"MO_006_04_00_Found",,,
78,"10160120.ブラッディ・サイズ超上位種",10160120,,,"MO_016_01_00_Found",,,
79,"10190020.ミミック超上位種",10190020,,,"MO_019_00_00_Found",,,
80,"15020200.アウドムラ",15020200,,,"MO_502_02_Found",,,
81,"15041100.ベルゲルミル",15041100,,,"MO_504_11__Found",,,
82,"15050200.ヤールンサクサ",15050200,,,"MO_505_02_Found",,,
83,"15550000.背教者ニコラス",15550000,,,"MO_555_00_Found","MO_555_00_DamState",,
84,"15570000.メカ型ボス",15570000,,,"MO_557_00_Found","MO_557_00_DamState","MO_557_00_Angry","MO_557_00_Drop"
85,"15521001.サムライロード_アダプタブル（討伐用01）",15521001,,,"MO_552_10_Found",,,"MO_552_10_01_Drop"
86,"10590000.ドローン",10590000,,,"MO_059_00_Found",,,
87,"15570001.メカ型ボス(討伐用01）",15570001,,,"MO_557_00_01_Found","MO_557_00_DamState","MO_557_00_Angry","MO_557_00_01_Drop"
88,"10091000.ショコラ・ドール",10091000,,,"MO_009_10_Found",,,
89,"15511000.スルト",15511000,,,"MO_551_10_Found","MO_515_05_DamState","MO_515_05_Angry","MO_551_10_Drop"
90,"15150500.ファイアスコルパピー",15150500,"MO_515_05_Pop","MO_515_05_Dead","MO_515_05_Found",,,
91,"10020404.ボム・スフィア（大型）",10020404,,"MO_002_04_04_Dead",,,,
92,"10040203.グリーフ・ドール（高速攻撃）",10040203,,,"MO_004_02_03_Found",,,
93,"10050003.リザードマン（高速攻撃）",10050003,,,"MO_005_00_03_Found",,,
94,"10100303.ポイズンシューター(高速攻撃）",10100303,,,"MO_010_03_03_Found",,,
95,"10040220.グリーフ・ドール超上位種",10040220,,,"MO_004_02_20_Found",,,
96,"10100320.ポイズン・シューター超上位種",10100320,,,"MO_010_03_20_Found",,,
97,"10500003.フレンジー・ボア(高速攻撃）",10500003,,,"MO_050_00_03_Found",,,
98,"10030004.シルキー（召喚用2）",10030004,,"MO_003_00_00_Dead",,,,
99,"15312000.ジャイアントスカルリーパー",15312000,,"MO_531_20_Dead","MO_531_20_Found","MO_531_20_DamState","MO_531_20_Angry","MO_531_20_Drop"
100,"15313000.スカルリーパー(召喚用）",15313000,"MO_531_30_Pop","MO_531_30_Dead","MO_531_30_Found","MO_531_30_DamState",,
101,"15300002.デトネイター・ザ・コボルドロード(EX)",15300002,,,"MO_530_00_Found",,,
102,"15041001.ミーミル(EX)",15041001,,,"MO_504_10_01_Found","MO_504_10_01_DamState",,
103,"10250104.ワイト（召喚用2）",10250104,"MO_025_01_04_Pop","MO_025_01_04_Dead",,,,
104,"15050501.アウルボダ(EX)",15050501,,,"MO_505_05_Found",,,
105,"15450004.ラーヴァクリーパー(EX)",15450004,,,"MO_545_00_04_Found","MO_545_00_04_DamState","MO_545_00_04_Angry",
106,"15450005.ラーヴァクリーパーミニ(召喚専用）",15450005,"MO_545_00_05_Pop","MO_545_00_05_Dead",,,,
107,"15180002.ジ・アンブレイカブルEX",15180002,,,"MO_518_00_02_Found",,,
108,"15020102.グリンブルスティEX",15020102,,,"MO_502_01_02_Found",,"MO_502_01_02_Angry",
109,"15560003.スピリッツ・ザ・グースロードEX",15560003,,,"MO_556_00_03_Found","MO_556_00_03_DamState","MO_556_00_03_Angry",
110,"15050002.ヘルEX",15050002,,,"MO_505_00_02_Found","MO_505_00_02_DamState",,
111,"15030000.ラーン",15030000,,,"MO_503_00_Found","MO_503_00_DamState","MO_503_00_Angry","MO_503_00_Drop"
112,"15560002.ヤンググースロード（召喚専用）",15560002,"MO_556_00_02_Pop","MO_556_00_02_Dead","MO_556_00_02_Found",,,
113,"15160000.フェアドレング",15160000,,"MO_516_00_Dead","MO_516_00_Found","MO_516_00_DamState","MO_516_00_Angry","MO_516_00_Drop"
114,"15160001.フェアドレング_左腕",15160001,"MO_516_00_01_Pop","MO_516_00_01_Dead",,,,
115,"15160002.フェアドレング_右腕",15160002,"MO_516_00_02_Pop","MO_516_00_02_Dead",,,,
116,"10560105.ソルジャーダイノアント（召喚用3）",10560105,"MO_056_01_05_Pop","MO_056_01_05_Dead",,,,
117,"15200001.カローンEX",15200001,,,"MO_520_00_Found",,,
118,"15430001.アントクイーンEX",15430001,,,"MO_543_00_01_Found",,"MO_543_00_01_Angry",
119,"15140001.チェルノボグEX",15140001,,,"MO_514_00_Found",,,
120,"15040702.ジークムントEX",15040702,,,"MO_504_07_Found",,,
121,"15170001.ガングレトEX",15170001,,,"MO_517_00_01_Found",,"MO_517_00_01_Angry",
122,"15100002.グレンデルEX",15100002,,,"MO_510_00_02_Found",,"MO_510_00_02_Angry",
123,"15080202.フィヨルズヴァルトニルEX",15080202,,,"MO_508_02_02_Found",,"MO_508_02_02_Angry",
124,"15212001.ディアボロスEX",15212001,,,"MO_521_20_01_Found","MO_521_20_01_DamState","MO_521_20_01_Angry",
125,"15220001.パノプティコンEX",15220001,,,"MO_522_00_01_Found","MO_522_00_01_DamState","MO_522_00_01_Angry",
126,"10230103.ホムンクルス（高速攻撃）",10230103,,,"MO_023_01_03_Found",,,
127,"10280120.ブッカドゥー超上位種",10280120,,,"MO_028_01_20_Found",,,
128,"10090420.ホーリー・ロックドール超上位種",10090420,,,"MO_009_04_20_Found",,,
129,"20020301.スフィアドラコ（お供）",20020301,,"SMO_002_03_01_Dead",,,,
130,"25560001.グースロード（エギルお供）",25560001,,,"SMO_556_00_01_Found",,,
131,"15131000.ベルゼブブ",15131000,,,"MO_513_10_Found","MO_513_10_DamState","MO_513_10_Angry","MO_513_10_Drop"
132,"10160121.ブラッディ・サイズ超上位種（召喚専用）",10160121,"MO_016_01_21_Pop","MO_016_01_21_Dead","MO_016_01_21_Found",,,
133,"10000304.守護騎士・狙撃手（高速攻撃召喚専用）",10000304,,,"MO_000_03_04_Found",,,
134,"15010101.ヴィゾーヴニルEX",15010101,,,"MO_501_01_01_Found",,"MO_501_01_01_Angry",
135,"15200102.デスEX",15200102,,,"MO_520_01_02_Found",,,
136,"15420002.アメディスター・ザ・クイーンEX",15420002,,,"MO_542_00_02_Found",,,
137,"15550001.背教者ニコラスEX",15550001,,,"MO_555_00_01_Found","MO_555_00_DamState",,
138,"15212200.ゴールデン・サタナキア",15212200,,,"MO_521_22_00_Found","MO_521_22_00_DamState","MO_521_22_00_Angry","MO_521_22_00_Drop"
139,"10250200.ハイ・ファントム（召喚専用）",10250200,"MO_025_02_00_Pop","MO_025_02_00_Dead","MO_025_02_00_Found",,,
140,"15050101.スカジ",15050101,,,"MO_505_01_01_Found",,,
141,"15040301.フリュム",15040301,,,"MO_504_03_01_Found",,,
142,"15040102.ジークフリート",15040102,,,"MO_504_01_02_Found",,,
143,"15530001.ゴッズペット",15530001,,,"MO_553_00_01_Found","MO_553_00_01_DamState","MO_553_00_01_Angry",
144,"15502000.ゴーストアイズ",15502000,,,"MO_550_20_00_Found","MO_550_20_00_DamState","MO_550_20_00_Angry","MO_550_20_00_Drop"
145,"15100210.ファールバウティEX",15100210,,,"MO_510_02_10_Found","MO_510_02_10_DamState",,
146,"10250300.ゴースト",10250300,"MO_025_03_00_Pop",,"MO_025_03_00_Found",,,
147,"10020303.スフィアドラコ（大型：ゴーストアイズ召喚用）",10020303,"MO_002_03_04_Pop","MO_002_03_04_Dead","MO_002_03_04_Found",,,
148,"10250105.ワイト（高速攻撃）",10250105,,,"MO_025_01_05_Found",,,
149,"15560004.ヤンググースロードMob",15560004,,,"MO_556_00_04_Found",,,
150,"15170002.ガングレトMob",15170002,,,"MO_517_01_03_Found",,,
151,"15170103.ガングラティMob",15170103,,,"MO_517_01_03_Found",,,
152,"15440001.レイディアンスイーターEX",15440001,,,"MO_544_00_01_Found",,,
153,"15440101.レイディアンMob（地上タイプ）",15440101,,,"MO_544_01_01_Found",,,
154,"15440102.レイディアンMob2（地底タイプ）",15440102,,,"MO_544_01_02_Found",,,
155,"15010202.クン・リンドルムEX",15010202,,,"MO_501_02_02_Found","MO_501_02_02_DamState",,
156,"15110003.ラタトスクEX",15110003,,,"MO_511_00_03_Found",,,
157,"15150102.スコルEX",15150102,,,"MO_515_01_02_Found",,,
158,"10500103.フューリー・ボア（炎）",10500103,"MO_050_01_03_Pop",,,,,
159,"10230200.パイロナイト",10230200,"MO_023_02_00_Pop","MO_023_02_00_Dead","MO_023_02_00_Found",,,
160,"15511001.スルト（熱圏）",15511001,,,"MO_551_10_2_Found","MO_551_10_2_DamState","MO_551_10_2_Angry","MO_551_10_2_Drop"
161,"10240105.エアドレイク（小型_召喚用）",10240105,"MO_024_01_05_Pop","MO_024_01_05_Dead","MO_024_01_05_Found",,,
162,"15212101.サタナキア（熱圏）",15212101,"MO_521_21_01_Pop","MO_521_21_01_Dead","MO_521_21_01_Found","MO_521_21_01_DamState",,
163,"15212102.サタナキア（熱圏）_鎧",15212102,"MO_521_21_02_Pop","MO_521_21_02_Dead","MO_521_21_02_Found",,,
164,"15590002.冥界王ハーデス（21年夏CP）",15590002,,,"MO_559_00_01_Found",,,
165,"15312001.カースド・リーパー（刑場）",15312001,,,"MO_531_20_01_Found","MO_531_20_01_DamState","MO_531_20_01_Angry","MO_531_20_01_Drop"
166,"15520001.カガチ・ザ・サムライロード（刑場）",15520001,"MO_552_00_01_Pop","MO_552_00_01_Dead","MO_552_00_01_Found","MO_552_00_01_DamState",,
167,"10280200.レッドフード",10280200,"MO_028_02_00_Pop",,"MO_028_02_00_Found",,,
168,"10040400.ギロチン・メイデン",10040400,"MO_004_04_00_Pop",,"MO_004_04_00_Found",,,
169,"10510120.ヴェノム・プラント超上位種",10510120,,,"MO_051_01_20_Found",,,
170,"15312002.カースド・リーパー（刑場）_仮面",15312002,"MO_531_20_02_Pop","MO_531_20_02_Dead","MO_531_20_02_Found",,,
171,"15313001.スカルリーパー(召喚用）（刑場）",15313001,"MO_531_30_01_Pop","MO_531_30_01_Dead","MO_531_30_01_Found",,,
172,"10080400.ビッグフット",10080400,,,"MO_008_04_00_Found",,,
173,"10540303.バッファークラブ（大）",10540303,,,"MO_054_03_03_Found",,,
174,"20040401.ギロチン・メイデン（お供）",20040401,"MO_004_04_00_Pop",,"MO_004_04_00_Found",,,
175,"15040203.ロキ（氷河）",15040203,"MO_504_02_03_Pop","MO_504_02_03_Dead","MO_504_02_03_Found","MO_504_02_03_DamState",,
176,"15040204.ロキ_分身（氷河）",15040204,"MO_504_02_04_Pop","MO_504_02_04_Dead","MO_504_02_04_Found",,,
177,"15030001.ラーン（氷河）",15030001,,,"MO_503_00_01_Found","MO_503_00_01_DamState","MO_503_00_01_Angry","MO_503_00_01_Drop"
178,"10280121.ブッカドゥー超上位種（ラーン召喚）",10280121,"MO_028_01_21_Pop","MO_028_01_21_Dead","MO_028_01_21_Found",,,
179,"10000103.重装守護騎士（高速攻撃）",10000103,"MO_000_01_03_Pop",,"MO_000_01_03_Found",,,
180,"15040002.オーディン（楽土）",15040002,"MO_504_00_02_Pop","MO_504_00_02_Dead","MO_504_00_02_Found","MO_504_00_02_DamState",,
181,"15220002.パノプティコンEX（楽土）",15220002,,,"MO_522_00_01_Found","MO_522_00_01_DamState","MO_522_00_01_Angry",
182,"15301002.イルファング・ザ・コボルドロードEX",15301002,,,"MO_530_10_02_Found",,"MO_530_10_02_Angry",
183,"10000104.重装守護騎士（楽土召喚用）",10000104,"MO_000_01_04_Pop","MO_000_01_04_Dead","MO_000_01_04_Found",,,
184,"10000305.守護騎士・狙撃手（楽土召喚用）",10000305,"MO_000_03_05_Pop","MO_000_03_05_Dead","MO_000_03_05_Found",,,
185,"15160003.フェアドレング（楽土）",15160003,,,"MO_516_00_03_Found","MO_516_00_03_DamState","MO_516_00_03_Angry","MO_516_00_03_Drop"
186,"10000306.守護騎士・狙撃手（地形越え反応）",10000306,"MO_000_03_06_Pop",,"MO_000_03_05_Found",,,
187,"10230104.ホムンクルス（地形越え反応）",10230104,"MO_023_01_03_Pop",,"MO_023_01_03_Found",,,
188,"15590004.冥界王ハーデス(無限）",15590004,"MO_559_00_04_Pop",,"MO_559_00_04_Found","MO_559_00_04_DamState",,
189,"10090521.キャノンドール超上位種（無限）",10090521,"MO_009_05_21_Pop",,,,,
190,"10280122.ブッカドゥー超上位種（無限）",10280122,"MO_028_01_22_Pop",,,,,
191,"10572003.ラフコフ(短剣）（無限）",10572003,"MO_057_20_03_Pop",,,"MO_057_20_03_DamState",,
