// DefragMatchRandomBonusId,DefragMatchId,DefragMatchRandomBonusConditionId,Name,ConditionValue1,ConditionValue2,GetLeaguePoint,RandomBonusNum,Memo
91,6,2,"ラストアタック1回",1,0,1000,2,
92,6,3,"指揮官1体",1,0,1000,2,
93,6,4,"モブ50",50,0,1000,2,
94,6,5,"メダル20枚",20,0,1000,2,
95,6,6,"結晶5つ",5,0,1000,2,
96,6,7,"スキルLv5",5,0,1000,2,
97,6,9,"コンボ30",40,0,1000,2,
98,6,4,"モブ25",25,0,500,3,
99,6,5,"メダル10枚",10,0,500,3,
100,6,6,"結晶3つ",3,0,500,3,
101,6,7,"スキルLv4",4,0,500,3,
102,6,9,"コンボ15",15,0,500,3,
103,7,13,"エンドガーディアン討伐",0,0,5000,1,
104,7,1,"ファーストアタック1回",1,0,1000,2,
105,7,2,"ラストアタック1回",1,0,1000,2,
106,7,3,"指揮官1体",1,0,1000,2,
107,7,4,"モブ50",50,0,1000,2,
108,7,5,"メダル20枚",20,0,1000,2,
109,7,6,"結晶5つ",5,0,1000,2,
110,7,7,"スキルLv5",5,0,1000,2,
111,7,9,"コンボ30",40,0,1000,2,
112,7,4,"モブ25",25,0,500,3,
113,7,5,"メダル10枚",10,0,500,3,
114,7,6,"結晶3つ",3,0,500,3,
115,7,7,"スキルLv4",4,0,500,3,
116,7,9,"コンボ15",15,0,500,3,
117,8,13,"エンドガーディアン討伐",0,0,5000,1,
118,8,1,"ファーストアタック1回",1,0,1000,2,
119,8,2,"ラストアタック1回",1,0,1000,2,
120,8,3,"指揮官1体",1,0,1000,2,
121,8,4,"モブ50",50,0,1000,2,
122,8,5,"メダル20枚",20,0,1000,2,
123,8,6,"結晶5つ",5,0,1000,2,
124,8,7,"スキルLv5",5,0,1000,2,
125,8,9,"コンボ30",40,0,1000,2,
126,8,4,"モブ25",25,0,500,3,
127,8,5,"メダル10枚",10,0,500,3,
128,8,6,"結晶3つ",3,0,500,3,
129,8,7,"スキルLv4",4,0,500,3,
130,8,9,"コンボ15",15,0,500,3,
131,9,13,"エンドガーディアン討伐",0,0,5000,1,
132,9,1,"ファーストアタック1回",1,0,1000,2,
133,9,2,"ラストアタック1回",1,0,1000,2,
134,9,3,"指揮官1体",1,0,1000,2,
135,9,4,"モブ50",50,0,1000,2,
136,9,5,"メダル20枚",20,0,1000,2,
137,9,6,"結晶5つ",5,0,1000,2,
138,9,7,"スキルLv5",5,0,1000,2,
139,9,9,"コンボ30",40,0,1000,2,
140,9,4,"モブ25",25,0,500,3,
141,9,5,"メダル10枚",10,0,500,3,
142,9,6,"結晶3つ",3,0,500,3,
143,9,7,"スキルLv4",4,0,500,3,
144,9,9,"コンボ15",15,0,500,3,
145,10,13,"エンドガーディアン討伐",0,0,5000,1,
146,10,1,"ファーストアタック1回",1,0,1000,2,
147,10,2,"ラストアタック1回",1,0,1000,2,
148,10,3,"指揮官1体",1,0,1000,2,
149,10,4,"モブ50",50,0,1000,2,
150,10,5,"メダル20枚",20,0,1000,2,
151,10,6,"結晶5つ",5,0,1000,2,
152,10,7,"スキルLv5",5,0,1000,2,
153,10,9,"コンボ30",40,0,1000,2,
154,10,4,"モブ25",25,0,500,3,
155,10,5,"メダル10枚",10,0,500,3,
156,10,6,"結晶3つ",3,0,500,3,
157,10,7,"スキルLv4",4,0,500,3,
158,10,9,"コンボ15",15,0,500,3,
159,11,13,"エンドガーディアン討伐",0,0,5000,1,
160,11,1,"ファーストアタック1回",1,0,1000,2,
161,11,2,"ラストアタック1回",1,0,1000,2,
162,11,3,"指揮官1体",1,0,1000,2,
163,11,4,"モブ50",50,0,1000,2,
164,11,5,"メダル20枚",20,0,1000,2,
165,11,6,"結晶5つ",5,0,1000,2,
166,11,7,"スキルLv5",5,0,1000,2,
167,11,9,"コンボ30",40,0,1000,2,
168,11,4,"モブ25",25,0,500,3,
169,11,5,"メダル10枚",10,0,500,3,
170,11,6,"結晶3つ",3,0,500,3,
171,11,7,"スキルLv4",4,0,500,3,
172,11,9,"コンボ15",15,0,500,3,
173,12,13,"エンドガーディアン討伐",0,0,5000,1,
174,12,1,"ファーストアタック1回",1,0,1000,2,
175,12,2,"ラストアタック1回",1,0,1000,2,
176,12,3,"指揮官1体",1,0,1000,2,
177,12,4,"モブ50",50,0,1000,2,
178,12,5,"メダル20枚",20,0,1000,2,
179,12,6,"結晶5つ",5,0,1000,2,
180,12,7,"スキルLv5",5,0,1000,2,
181,12,9,"コンボ30",40,0,1000,2,
182,12,4,"モブ25",25,0,500,3,
183,12,5,"メダル10枚",10,0,500,3,
184,12,6,"結晶3つ",3,0,500,3,
185,12,7,"スキルLv4",4,0,500,3,
186,12,9,"コンボ15",15,0,500,3,
187,13,13,"エンドガーディアン討伐",0,0,5000,1,
188,13,1,"ファーストアタック1回",1,0,1000,2,
189,13,2,"ラストアタック1回",1,0,1000,2,
190,13,3,"指揮官1体",1,0,1000,2,
191,13,4,"モブ50",50,0,1000,2,
192,13,5,"メダル20枚",20,0,1000,2,
193,13,6,"結晶5つ",5,0,1000,2,
194,13,7,"スキルLv5",5,0,1000,2,
195,13,9,"コンボ30",40,0,1000,2,
196,13,4,"モブ25",25,0,500,3,
197,13,5,"メダル10枚",10,0,500,3,
198,13,6,"結晶3つ",3,0,500,3,
199,13,7,"スキルLv4",4,0,500,3,
200,13,9,"コンボ15",15,0,500,3,
201,14,13,"エンドガーディアン討伐",0,0,5000,1,
202,14,1,"ファーストアタック1回",1,0,1000,2,
203,14,2,"ラストアタック1回",1,0,1000,2,
204,14,3,"指揮官1体",1,0,1000,2,
205,14,4,"モブ50",50,0,1000,2,
206,14,5,"メダル20枚",20,0,1000,2,
207,14,6,"結晶5つ",5,0,1000,2,
208,14,7,"スキルLv5",5,0,1000,2,
209,14,9,"コンボ30",40,0,1000,2,
210,14,4,"モブ25",25,0,500,3,
211,14,5,"メダル10枚",10,0,500,3,
212,14,6,"結晶3つ",3,0,500,3,
213,14,7,"スキルLv4",4,0,500,3,
214,14,9,"コンボ15",15,0,500,3,
215,15,13,"エンドガーディアン討伐",0,0,5000,1,
216,15,1,"ファーストアタック1回",1,0,1000,2,
217,15,2,"ラストアタック1回",1,0,1000,2,
218,15,3,"指揮官1体",1,0,1000,2,
219,15,4,"モブ50",50,0,1000,2,
220,15,5,"メダル20枚",20,0,1000,2,
221,15,6,"結晶5つ",5,0,1000,2,
222,15,7,"スキルLv5",5,0,1000,2,
223,15,9,"コンボ30",40,0,1000,2,
224,15,4,"モブ25",25,0,500,3,
225,15,5,"メダル10枚",10,0,500,3,
226,15,6,"結晶3つ",3,0,500,3,
227,15,7,"スキルLv4",4,0,500,3,
228,15,9,"コンボ15",15,0,500,3,
229,16,13,"エンドガーディアン討伐",0,0,5000,1,
230,16,1,"ファーストアタック1回",1,0,1000,2,
231,16,2,"ラストアタック1回",1,0,1000,2,
232,16,3,"指揮官1体",1,0,1000,2,
233,16,4,"モブ50",50,0,1000,2,
234,16,5,"メダル20枚",20,0,1000,2,
235,16,6,"結晶5つ",5,0,1000,2,
236,16,7,"スキルLv5",5,0,1000,2,
237,16,9,"コンボ30",40,0,1000,2,
238,16,4,"モブ25",25,0,500,3,
239,16,5,"メダル10枚",10,0,500,3,
240,16,6,"結晶3つ",3,0,500,3,
241,16,7,"スキルLv4",4,0,500,3,
242,16,9,"コンボ15",15,0,500,3,
243,17,13,"エンドガーディアン討伐",0,0,5000,1,
244,17,1,"ファーストアタック1回",1,0,1000,2,
245,17,2,"ラストアタック1回",1,0,1000,2,
246,17,3,"指揮官1体",1,0,1000,2,
247,17,4,"モブ50",50,0,1000,2,
248,17,5,"メダル20枚",20,0,1000,2,
249,17,6,"結晶5つ",5,0,1000,2,
250,17,7,"スキルLv5",5,0,1000,2,
251,17,9,"コンボ30",40,0,1000,2,
252,17,4,"モブ25",25,0,500,3,
253,17,5,"メダル10枚",10,0,500,3,
254,17,6,"結晶3つ",3,0,500,3,
255,17,7,"スキルLv4",4,0,500,3,
256,17,9,"コンボ15",15,0,500,3,
