// UnitPowerId,UnitId,Lv,ParamHp,ParamStr,ParamVit,ParamInt,Exp
196,10030004,99,15552,3456,540,2880,108
197,10030004,999,145152,32256,5040,26880,1008
198,10030100,1,432,217,30,267,10
199,10030100,10,1368,507,95,507,19
200,10030100,99,15552,3456,540,2880,108
201,10030100,999,145152,32256,5040,26880,1008
202,10030101,1,540,238,30,267,10
203,10030101,10,1710,557,95,507,19
204,10030101,99,19440,3802,540,2880,108
205,10030101,999,181440,35482,5040,26880,1008
206,10030102,1,432,217,30,267,10
207,10030102,10,1368,507,95,507,19
208,10030102,99,15552,3456,540,2880,108
209,10030102,999,145152,32256,5040,26880,1008
210,10030200,1,432,217,30,267,10
211,10030200,10,1368,507,95,507,19
212,10030200,99,15552,3456,540,2880,108
213,10030200,999,145152,32256,5040,26880,1008
214,10030201,1,540,238,30,267,10
215,10030201,10,1710,557,95,507,19
216,10030201,99,19440,3802,540,2880,108
217,10030201,999,181440,35482,5040,26880,1008
218,10030202,1,432,217,30,267,10
219,10030202,10,1368,507,95,507,19
220,10030202,99,15552,3456,540,2880,108
221,10030202,999,145152,32256,5040,26880,1008
222,10030300,1,432,217,30,267,10
223,10030300,10,1368,507,95,507,19
224,10030300,99,15552,3456,540,2880,108
225,10030300,999,145152,32256,5040,26880,1008
226,10030301,1,540,238,30,267,10
227,10030301,10,1710,557,95,507,19
228,10030301,99,19440,3802,540,2880,108
229,10030301,999,181440,35482,5040,26880,1008
230,10030302,1,432,217,30,267,10
231,10030302,10,1368,507,95,507,19
232,10030302,99,15552,3456,540,2880,108
233,10030302,999,145152,32256,5040,26880,1008
234,10030400,1,108,217,30,267,10
235,10030400,10,342,507,95,507,19
236,10030400,99,3888,3456,540,2880,108
237,10030400,999,36288,32256,5040,26880,1008
238,10030401,1,108,325,30,267,10
239,10030401,10,342,760,95,507,19
240,10030401,99,3888,5184,540,2880,108
241,10030401,999,36288,48384,5040,26880,1008
242,10030402,1,108,217,30,267,10
243,10030402,10,342,507,95,507,19
244,10030402,99,3888,3456,540,2880,108
245,10030402,999,36288,32256,5040,26880,1008
246,10040000,1,1620,325,45,267,10
247,10040000,10,5130,760,143,507,19
248,10040000,99,58320,5184,810,2880,108
249,10040000,999,544320,48384,7560,26880,1008
250,10040001,1,1620,325,45,267,10
251,10040001,10,5130,760,143,507,19
252,10040001,99,58320,5184,810,2880,108
253,10040001,999,544320,48384,7560,26880,1008
254,10040002,1,1620,325,45,267,10
255,10040002,10,5130,760,143,507,19
256,10040002,99,58320,5184,810,2880,108
257,10040002,999,544320,48384,7560,26880,1008
258,10040100,1,1620,325,45,267,10
259,10040100,10,5130,760,143,507,19
260,10040100,99,58320,5184,810,2880,108
261,10040100,999,544320,48384,7560,26880,1008
262,10040101,1,1620,325,45,267,10
263,10040101,10,5130,760,143,507,19
264,10040101,99,58320,5184,810,2880,108
265,10040101,999,544320,48384,7560,26880,1008
266,10040102,1,1620,325,45,267,10
267,10040102,10,5130,760,143,507,19
268,10040102,99,58320,5184,810,2880,108
269,10040102,999,544320,48384,7560,26880,1008
270,10040200,1,2160,433,45,267,10
271,10040200,10,6840,1013,143,507,19
272,10040200,99,77760,6912,810,2880,108
273,10040200,999,725760,64512,7560,26880,1008
274,10040201,1,2160,433,45,267,10
275,10040201,10,6840,1013,143,507,19
276,10040201,99,77760,6912,810,2880,108
277,10040201,999,725760,64512,7560,26880,1008
278,10040202,1,2160,433,45,267,10
279,10040202,10,6840,1013,143,507,19
280,10040202,99,77760,6912,810,2880,108
281,10040202,999,725760,64512,7560,26880,1008
282,10040300,1,2160,433,45,267,10
283,10040300,10,6840,1013,143,507,19
284,10040300,99,77760,6912,810,2880,108
285,10040300,999,725760,64512,7560,26880,1008
286,10040301,1,2160,433,45,267,10
287,10040301,10,6840,1013,143,507,19
288,10040301,99,77760,6912,810,2880,108
289,10040301,999,725760,64512,7560,26880,1008
290,10040302,1,2160,433,45,267,10
291,10040302,10,6840,1013,143,507,19
292,10040302,99,77760,6912,810,2880,108
293,10040302,999,725760,64512,7560,26880,1008
294,10050000,1,540,217,30,267,10
295,10050000,10,1710,507,95,507,19
296,10050000,99,19440,3456,540,2880,108
297,10050000,999,181440,32256,5040,26880,1008
298,10050001,1,648,238,30,267,10
299,10050001,10,2052,557,95,507,19
300,10050001,99,23328,3802,540,2880,108
301,10050001,999,217728,35482,5040,26880,1008
302,10050002,1,400,217,30,267,10
303,10050002,10,1710,507,95,507,19
304,10050002,99,19440,3456,540,2880,108
305,10050002,999,181440,32256,5040,26880,1008
306,10050100,1,540,217,30,267,10
307,10050100,10,1710,507,95,507,19
308,10050100,99,19440,3456,540,2880,108
309,10050100,999,181440,32256,5040,26880,1008
310,10050101,1,648,238,30,267,10
311,10050101,10,2052,557,95,507,19
312,10050101,99,23328,3802,540,2880,108
313,10050101,999,217728,35482,5040,26880,1008
314,10050102,1,540,217,30,267,10
315,10050102,10,1710,507,95,507,19
316,10050102,99,19440,3456,540,2880,108
317,10050102,999,181440,32256,5040,26880,1008
318,10050200,1,540,217,30,267,10
319,10050200,10,1710,507,95,507,19
320,10050200,99,19440,3456,540,2880,108
321,10050200,999,181440,32256,5040,26880,1008
322,10050201,1,648,238,30,267,10
323,10050201,10,2052,557,95,507,19
324,10050201,99,23328,3802,540,2880,108
325,10050201,999,217728,35482,5040,26880,1008
326,10050202,1,540,217,30,267,10
327,10050202,10,1710,507,95,507,19
328,10050202,99,19440,3456,540,2880,108
329,10050202,999,181440,32256,5040,26880,1008
330,10050300,1,540,217,30,267,10
331,10050300,10,1710,507,95,507,19
332,10050300,99,19440,3456,540,2880,108
333,10050300,999,181440,32256,5040,26880,1008
334,10050301,1,648,238,30,267,10
335,10050301,10,2052,557,95,507,19
336,10050301,99,23328,3802,540,2880,108
337,10050301,999,217728,35482,5040,26880,1008
338,10050302,1,540,217,30,267,10
339,10050302,10,1710,507,95,507,19
340,10050302,99,19440,3456,540,2880,108
341,10050302,999,181440,32256,5040,26880,1008
342,10050400,1,540,217,30,267,10
343,10050400,10,1710,507,95,507,19
344,10050400,99,19440,3456,540,2880,108
345,10050400,999,181440,32256,5040,26880,1008
346,10050401,1,648,238,30,267,10
347,10050401,10,2052,557,95,507,19
348,10050401,99,23328,3802,540,2880,108
349,10050401,999,217728,35482,5040,26880,1008
350,10050402,1,540,217,30,267,10
351,10050402,10,1710,507,95,507,19
352,10050402,99,19440,3456,540,2880,108
353,10050402,999,181440,32256,5040,26880,1008
354,10060000,1,540,217,30,267,10
355,10060000,10,1710,507,95,507,19
356,10060000,99,19440,3456,540,2880,108
357,10060000,999,181440,32256,5040,26880,1008
358,10060001,1,648,238,30,267,10
359,10060001,10,2052,557,95,507,19
360,10060001,99,23328,3802,540,2880,108
361,10060001,999,217728,35482,5040,26880,1008
362,10060002,1,400,217,30,267,10
363,10060002,10,1710,507,95,507,19
364,10060002,99,19440,3456,540,2880,108
365,10060002,999,181440,32256,5040,26880,1008
366,10060003,1,540,217,30,267,10
367,10060003,10,1710,507,95,507,19
368,10060003,99,19440,3456,540,2880,108
369,10060003,999,181440,32256,5040,26880,1008
370,10060004,1,540,217,30,267,10
371,10060004,10,1710,507,95,507,19
372,10060004,99,19440,3456,540,2880,108
373,10060004,999,181440,32256,5040,26880,1008
374,10060100,1,540,217,30,267,10
375,10060100,10,1710,507,95,507,19
376,10060100,99,19440,3456,540,2880,108
377,10060100,999,181440,32256,5040,26880,1008
378,10060101,1,648,238,30,267,10
379,10060101,10,2052,557,95,507,19
380,10060101,99,23328,3802,540,2880,108
381,10060101,999,217728,35482,5040,26880,1008
382,10060102,1,540,217,30,267,10
383,10060102,10,1710,507,95,507,19
384,10060102,99,19440,3456,540,2880,108
385,10060102,999,181440,32256,5040,26880,1008
386,10060200,1,540,217,30,267,10
387,10060200,10,1710,507,95,507,19
388,10060200,99,19440,3456,540,2880,108
389,10060200,999,181440,32256,5040,26880,1008
390,10060201,1,648,238,30,267,10
391,10060201,10,2052,557,95,507,19
392,10060201,99,23328,3802,540,2880,108
393,10060201,999,217728,35482,5040,26880,1008
394,10060202,1,540,217,30,267,10
395,10060202,10,1710,507,95,507,19
396,10060202,99,19440,3456,540,2880,108
397,10060202,999,181440,32256,5040,26880,1008
398,10060203,1,540,217,30,267,10
399,10060203,10,1710,507,95,507,19
400,10060203,99,19440,3456,540,2880,108
401,10060203,999,181440,32256,5040,26880,1008
402,10060300,1,540,217,30,267,10
403,10060300,10,1710,507,95,507,19
404,10060300,99,19440,3456,540,2880,108
405,10060300,999,181440,32256,5040,26880,1008
406,10060301,1,648,238,30,267,10
407,10060301,10,2052,557,95,507,19
408,10060301,99,23328,3802,540,2880,108
409,10060301,999,217728,35482,5040,26880,1008
410,10060302,1,540,217,30,267,10
411,10060302,10,1710,507,95,507,19
412,10060302,99,19440,3456,540,2880,108
413,10060302,999,181440,32256,5040,26880,1008
414,10060400,1,540,217,30,267,10
415,10060400,10,1710,507,95,507,19
416,10060400,99,19440,3456,540,2880,108
417,10060400,999,181440,32256,5040,26880,1008
418,10060401,1,648,238,30,267,10
419,10060401,10,2052,557,95,507,19
420,10060401,99,23328,3802,540,2880,108
421,10060401,999,217728,35482,5040,26880,1008
422,10060402,1,540,217,30,267,10
423,10060402,10,1710,507,95,507,19
424,10060402,99,19440,3456,540,2880,108
425,10060402,999,181440,32256,5040,26880,1008
426,10060403,1,540,217,30,267,10
427,10060403,10,1710,507,95,507,19
428,10060403,99,19440,3456,540,2880,108
429,10060403,999,181440,32256,5040,26880,1008
430,10070000,1,432,217,36,267,10
431,10070000,10,1368,507,114,507,19
432,10070000,99,15552,3456,648,2880,108
433,10070000,999,145152,32256,6048,26880,1008
434,10070001,1,540,238,36,267,10
435,10070001,10,1710,557,114,507,19
436,10070001,99,19440,3802,648,2880,108
437,10070001,999,181440,35482,6048,26880,1008
438,10070002,1,400,217,36,267,10
439,10070002,10,1368,507,114,507,19
440,10070002,99,15552,3456,648,2880,108
441,10070002,999,145152,32256,6048,26880,1008
442,10070003,1,432,217,36,267,10
443,10070003,10,1368,507,114,507,19
444,10070003,99,15552,3456,648,2880,108
445,10070003,999,145152,32256,6048,26880,1008
446,10070100,1,432,217,36,267,10
447,10070100,10,1368,507,114,507,19
448,10070100,99,15552,3456,648,2880,108
449,10070100,999,145152,32256,6048,26880,1008
450,10070101,1,540,238,36,267,10
451,10070101,10,1710,557,114,507,19
452,10070101,99,19440,3802,648,2880,108
453,10070101,999,181440,35482,6048,26880,1008
454,10070102,1,432,217,36,267,10
455,10070102,10,1368,507,114,507,19
456,10070102,99,15552,3456,648,2880,108
457,10070102,999,145152,32256,6048,26880,1008
458,10070200,1,432,217,36,267,10
459,10070200,10,1368,507,114,507,19
460,10070200,99,15552,3456,648,2880,108
461,10070200,999,145152,32256,6048,26880,1008
462,10070201,1,540,238,36,267,10
463,10070201,10,1710,557,114,507,19
464,10070201,99,19440,3802,648,2880,108
465,10070201,999,181440,35482,6048,26880,1008
466,10070202,1,432,217,36,267,10
467,10070202,10,1368,507,114,507,19
468,10070202,99,15552,3456,648,2880,108
469,10070202,999,145152,32256,6048,26880,1008
470,10070300,1,432,217,36,267,10
471,10070300,10,1368,507,114,507,19
472,10070300,99,15552,3456,648,2880,108
473,10070300,999,145152,32256,6048,26880,1008
474,10070301,1,540,238,36,267,10
475,10070301,10,1710,557,114,507,19
476,10070301,99,19440,3802,648,2880,108
477,10070301,999,181440,35482,6048,26880,1008
478,10070302,1,432,217,36,267,10
479,10070302,10,1368,507,114,507,19
480,10070302,99,15552,3456,648,2880,108
481,10070302,999,145152,32256,6048,26880,1008
482,10070303,1,5400,217,36,267,10
483,10070303,10,17100,507,114,507,19
484,10070303,99,194400,3456,648,2880,108
485,10070303,999,1814400,32256,6048,26880,1008
486,10080000,1,648,217,21,267,10
487,10080000,10,2052,507,67,507,19
488,10080000,99,23328,3456,378,2880,108
489,10080000,999,217728,32256,3528,26880,1008
490,10080001,1,756,238,21,267,10
491,10080001,10,2394,557,67,507,19
492,10080001,99,27216,3802,378,2880,108
493,10080001,999,254016,35482,3528,26880,1008
494,10080002,1,648,217,21,267,10
495,10080002,10,2052,507,67,507,19
496,10080002,99,23328,3456,378,2880,108
497,10080002,999,217728,32256,3528,26880,1008
498,10080100,1,648,217,21,267,10
499,10080100,10,2052,507,67,507,19
500,10080100,99,23328,3456,378,2880,108
501,10080100,999,217728,32256,3528,26880,1008
502,10080101,1,756,238,21,267,10
503,10080101,10,2394,557,67,507,19
504,10080101,99,27216,3802,378,2880,108
505,10080101,999,254016,35482,3528,26880,1008
506,10080102,1,648,217,21,267,10
507,10080102,10,2052,507,67,507,19
508,10080102,99,23328,3456,378,2880,108
509,10080102,999,217728,32256,3528,26880,1008
510,10080200,1,648,217,21,267,10
511,10080200,10,2052,507,67,507,19
512,10080200,99,23328,3456,378,2880,108
513,10080200,999,217728,32256,3528,26880,1008
514,10080201,1,756,238,21,267,10
515,10080201,10,2394,557,67,507,19
516,10080201,99,27216,3802,378,2880,108
517,10080201,999,254016,35482,3528,26880,1008
518,10080202,1,648,217,21,267,10
519,10080202,10,2052,507,67,507,19
520,10080202,99,23328,3456,378,2880,108
521,10080202,999,217728,32256,3528,26880,1008
522,10080300,1,648,217,21,267,10
523,10080300,10,2052,507,67,507,19
524,10080300,99,23328,3456,378,2880,108
525,10080300,999,217728,32256,3528,26880,1008
526,10080301,1,756,238,21,267,10
527,10080301,10,2394,557,67,507,19
528,10080301,99,27216,3802,378,2880,108
529,10080301,999,254016,35482,3528,26880,1008
530,10080302,1,648,217,21,267,10
531,10080302,10,2052,507,67,507,19
532,10080302,99,23328,3456,378,2880,108
533,10080302,999,217728,32256,3528,26880,1008
534,10090000,1,1080,260,60,267,10
535,10090000,10,3420,608,190,507,19
536,10090000,99,38880,4147,1080,2880,108
537,10090000,999,362880,38707,10080,26880,1008
538,10090001,1,2700,303,60,267,10
539,10090001,10,8550,709,190,507,19
540,10090001,99,97200,4838,1080,2880,108
541,10090001,999,907200,45158,10080,26880,1008
542,10090002,1,1080,260,60,267,10
543,10090002,10,3420,608,190,507,19
544,10090002,99,38880,4147,1080,2880,108
545,10090002,999,362880,38707,10080,26880,1008
546,10090003,1,1080,260,60,267,10
547,10090003,10,3420,608,190,507,19
548,10090003,99,38880,4147,1080,2880,108
549,10090003,999,362880,38707,10080,26880,1008
550,10090004,1,1080,260,60,267,10
551,10090004,10,3420,608,190,507,19
552,10090004,99,38880,4147,1080,2880,108
553,10090004,999,362880,38707,10080,26880,1008
554,10090005,1,1080,260,60,267,10
555,10090005,10,3420,608,190,507,19
556,10090005,99,38880,4147,1080,2880,108
557,10090005,999,362880,38707,10080,26880,1008
558,10090006,1,1500,217,60,267,10
559,10090006,10,8550,507,190,507,19
560,10090006,99,97200,3456,1080,2880,108
561,10090006,999,907200,32256,10080,26880,1008
562,10090100,1,1080,260,60,267,10
563,10090100,10,3420,608,190,507,19
564,10090100,99,38880,4147,1080,2880,108
565,10090100,999,362880,38707,10080,26880,1008
566,10090101,1,2700,303,60,267,10
567,10090101,10,8550,709,190,507,19
568,10090101,99,97200,4838,1080,2880,108
569,10090101,999,907200,45158,10080,26880,1008
570,10090102,1,1080,260,60,267,10
571,10090102,10,3420,608,190,507,19
572,10090102,99,38880,4147,1080,2880,108
573,10090102,999,362880,38707,10080,26880,1008
574,10090200,1,1080,260,60,267,10
575,10090200,10,3420,608,190,507,19
576,10090200,99,38880,4147,1080,2880,108
577,10090200,999,362880,38707,10080,26880,1008
578,10090201,1,2700,303,60,267,10
579,10090201,10,8550,709,190,507,19
580,10090201,99,97200,4838,1080,2880,108
581,10090201,999,907200,45158,10080,26880,1008
582,10090202,1,1080,260,60,267,10
583,10090202,10,3420,608,190,507,19
584,10090202,99,38880,4147,1080,2880,108
585,10090202,999,362880,38707,10080,26880,1008
586,10090203,1,1080,260,60,267,10
587,10090203,10,3420,608,190,507,19
588,10090203,99,38880,4147,1080,2880,108
589,10090203,999,362880,38707,10080,26880,1008
590,10090300,1,1080,260,60,267,10
591,10090300,10,3420,608,190,507,19
592,10090300,99,38880,4147,1080,2880,108
593,10090300,999,362880,38707,10080,26880,1008
594,10090301,1,2700,303,60,267,10
595,10090301,10,8550,709,190,507,19
596,10090301,99,97200,4838,1080,2880,108
597,10090301,999,907200,45158,10080,26880,1008
598,10090302,1,1080,260,60,267,10
599,10090302,10,3420,608,190,507,19
600,10090302,99,38880,4147,1080,2880,108
601,10090302,999,362880,38707,10080,26880,1008
602,10090303,1,1080,260,60,267,10
603,10090303,10,3420,608,190,507,19
604,10090303,99,38880,4147,1080,2880,108
605,10090303,999,362880,38707,10080,26880,1008
606,10090400,1,1080,260,60,267,10
607,10090400,10,3420,608,190,507,19
608,10090400,99,38880,4147,1080,2880,108
609,10090400,999,362880,38707,10080,26880,1008
610,10090401,1,2700,303,60,267,10
611,10090401,10,8550,709,190,507,19
612,10090401,99,97200,4838,1080,2880,108
613,10090401,999,907200,45158,10080,26880,1008
614,10090402,1,1080,260,60,267,10
615,10090402,10,3420,608,190,507,19
616,10090402,99,38880,4147,1080,2880,108
617,10090402,999,362880,38707,10080,26880,1008
618,10090500,1,1080,260,60,267,10
619,10090500,10,3420,608,190,507,19
620,10090500,99,38880,4147,1080,2880,108
621,10090500,999,362880,38707,10080,26880,1008
622,10090501,1,2700,303,60,320,10
623,10090501,10,8550,709,190,608,19
624,10090501,99,97200,4838,1080,3456,108
625,10090501,999,907200,45158,10080,32256,1008
626,10090502,1,1080,260,60,267,10
627,10090502,10,3420,608,190,507,19
628,10090502,99,38880,4147,1080,2880,108
629,10090502,999,362880,38707,10080,26880,1008
630,10100000,1,1080,217,60,267,10
631,10100000,10,3420,507,190,507,19
632,10100000,99,38880,3456,1080,2880,108
633,10100000,999,362880,32256,10080,26880,1008
634,10100001,1,1080,217,60,267,10
635,10100001,10,3420,507,190,507,19
636,10100001,99,38880,3456,1080,2880,108
637,10100001,999,362880,32256,10080,26880,1008
638,10100002,1,1080,217,60,267,10
639,10100002,10,3420,507,190,507,19
640,10100002,99,38880,3456,1080,2880,108
641,10100002,999,362880,32256,10080,26880,1008
642,10100100,1,1080,217,60,267,10
643,10100100,10,3420,507,190,507,19
644,10100100,99,38880,3456,1080,2880,108
645,10100100,999,362880,32256,10080,26880,1008
646,10100101,1,1080,217,60,267,10
647,10100101,10,3420,507,190,507,19
648,10100101,99,38880,3456,1080,2880,108
649,10100101,999,362880,32256,10080,26880,1008
650,10100102,1,1080,217,60,267,10
651,10100102,10,3420,507,190,507,19
652,10100102,99,38880,3456,1080,2880,108
653,10100102,999,362880,32256,10080,26880,1008
654,10100200,1,1080,217,60,267,10
655,10100200,10,3420,507,190,507,19
656,10100200,99,38880,3456,1080,2880,108
657,10100200,999,362880,32256,10080,26880,1008
658,10100201,1,1080,217,60,267,10
659,10100201,10,3420,507,190,507,19
660,10100201,99,38880,3456,1080,2880,108
661,10100201,999,362880,32256,10080,26880,1008
662,10100202,1,1080,217,60,267,10
663,10100202,10,3420,507,190,507,19
664,10100202,99,38880,3456,1080,2880,108
665,10100202,999,362880,32256,10080,26880,1008
666,10100300,1,1080,217,60,267,10
667,10100300,10,3420,507,190,507,19
668,10100300,99,38880,3456,1080,2880,108
669,10100300,999,362880,32256,10080,26880,1008
670,10100301,1,1080,217,60,267,10
671,10100301,10,3420,507,190,507,19
672,10100301,99,38880,3456,1080,2880,108
673,10100301,999,362880,32256,10080,26880,1008
674,10100302,1,1080,217,60,267,10
675,10100302,10,3420,507,190,507,19
676,10100302,99,38880,3456,1080,2880,108
677,10100302,999,362880,32256,10080,26880,1008
678,10120000,1,648,260,27,267,10
679,10120000,10,2052,608,86,507,19
680,10120000,99,23328,4147,486,2880,108
681,10120000,999,217728,38707,4536,26880,1008
682,10120001,1,648,260,27,267,10
683,10120001,10,2052,608,86,507,19
684,10120001,99,23328,4147,486,2880,108
685,10120001,999,217728,38707,4536,26880,1008
686,10120002,1,648,260,27,267,10
687,10120002,10,2052,608,86,507,19
688,10120002,99,23328,4147,486,2880,108
689,10120002,999,217728,38707,4536,26880,1008
690,10120100,1,648,260,27,267,10
691,10120100,10,2052,608,86,507,19
692,10120100,99,23328,4147,486,2880,108
693,10120100,999,217728,38707,4536,26880,1008
694,10120101,1,648,260,27,267,10
695,10120101,10,2052,608,86,507,19
