// ExBonusTableId,ExBonusTableSubId,ExBonusConditionId,ConditionValue1,ConditionValue2,CommonRewardType,CommonRewardId,CommonRewardNum,Strength,Property1PropertyId,Property1Value1,Property1Value2,Property2PropertyId,Property2Value1,Property2Value2,Property3PropertyId,Property3Value1,Property3Value2,Property4PropertyId,Property4Value1,Property4Value2
20,1007,6,3,0,1,102000020,1,0,1,0,0,1,0,0,2,0,0,99999,0,0
21,1007,7,3,0,1,105000030,1,0,1,0,0,1,0,0,2,0,0,99999,0,0
22,1008,1,240,0,2,111000002,1,8,1,0,0,1,0,0,2,0,0,99999,0,0
23,1008,6,4,0,1,108000020,1,0,1,0,0,1,0,0,2,0,0,99999,0,0
24,1008,9,4,0,1,104000030,1,0,1,0,0,1,0,0,2,0,0,99999,0,0
25,1009,1,240,0,2,101000002,1,9,204300,33,0,204800,5,0,2,0,0,99999,0,0
26,1009,6,4,0,1,107000020,1,0,1,0,0,1,0,0,2,0,0,99999,0,0
27,1009,4,1,0,1,101000030,1,0,1,0,0,1,0,0,2,0,0,99999,0,0
28,1010,1,240,0,2,102000002,1,10,1,0,0,1,0,0,2,0,0,99999,0,0
29,1010,6,3,0,1,104000020,1,0,1,0,0,1,0,0,2,0,0,99999,0,0
30,1010,3,40,0,1,102000030,1,0,1,0,0,1,0,0,2,0,0,99999,0,0
31,1011,1,240,0,1,108000080,1,0,1,0,0,1,0,0,2,0,0,99999,0,0
32,1011,6,3,0,3,170000,1,0,1,0,0,1,0,0,1,0,0,1,0,0
33,1011,10,20,0,2,108000001,1,11,203000,0,0,1,0,0,2,0,0,99999,0,0
34,1012,1,240,0,1,104000080,1,0,1,0,0,1,0,0,2,0,0,99999,0,0
35,1012,6,5,0,3,170000,1,0,1,0,0,1,0,0,1,0,0,1,0,0
36,1012,4,1,0,2,111000001,1,12,203400,0,0,1,0,0,2,0,0,99999,0,0
37,1013,1,240,0,1,106000080,1,0,1,0,0,1,0,0,2,0,0,99999,0,0
38,1013,6,4,0,3,170000,1,0,1,0,0,1,0,0,1,0,0,1,0,0
39,1013,3,50,0,2,120000001,1,13,301500,0,0,1,0,0,2,0,0,99999,0,0
40,1014,1,240,0,1,107000080,1,0,1,0,0,1,0,0,2,0,0,99999,0,0
41,1014,6,5,0,3,170000,1,0,1,0,0,1,0,0,1,0,0,1,0,0
42,1014,9,5,0,2,105000001,1,14,203200,0,0,1,0,0,2,0,0,99999,0,0
43,1015,1,240,0,1,105000080,1,0,1,0,0,1,0,0,2,0,0,99999,0,0
44,1015,5,3,0,3,170000,1,0,1,0,0,1,0,0,1,0,0,1,0,0
45,1015,6,4,0,2,109000001,1,15,203300,0,0,1,0,0,2,0,0,99999,0,0
46,1016,1,240,0,1,102000080,1,0,1,0,0,1,0,0,2,0,0,99999,0,0
47,1016,2,10070200,20,3,170000,1,0,1,0,0,1,0,0,1,0,0,1,0,0
48,1016,6,4,0,2,102000001,1,16,203000,0,0,1,0,0,2,0,0,99999,0,0
49,1017,1,240,0,1,103000080,1,0,1,0,0,1,0,0,2,0,0,99999,0,0
50,1017,4,2,0,3,170000,1,0,1,0,0,1,0,0,1,0,0,1,0,0
51,1017,6,6,0,2,101000001,1,17,203400,0,0,1,0,0,2,0,0,99999,0,0
52,1018,1,240,0,1,101000110,1,0,1,0,0,1,0,0,2,0,0,2,0,0
53,1018,8,0,0,3,170000,1,0,1,0,0,1,0,0,1,0,0,1,0,0
54,1018,6,5,0,2,101000001,1,18,203100,0,0,1,0,0,2,0,0,99999,0,0
55,2001,1,240,0,3,170003,1,0,1,0,0,1,0,0,1,0,0,1,0,0
56,2001,4,2,0,3,170003,1,0,1,0,0,1,0,0,1,0,0,1,0,0
57,2001,11,1,0,1,101000140,1,0,1,0,0,1,0,0,2,0,0,2,0,0
58,2002,1,240,0,3,170003,1,0,1,0,0,1,0,0,1,0,0,1,0,0
59,2002,9,5,0,3,170003,1,0,1,0,0,1,0,0,1,0,0,1,0,0
60,2002,11,2,0,1,102000140,1,0,1,0,0,1,0,0,2,0,0,2,0,0
61,2003,1,240,0,3,170003,1,0,1,0,0,1,0,0,1,0,0,1,0,0
62,2003,7,4,0,3,170003,1,0,1,0,0,1,0,0,1,0,0,1,0,0
63,2003,11,3,0,1,103000130,1,0,1,0,0,1,0,0,2,0,0,2,0,0
64,2004,1,240,0,3,170003,1,0,1,0,0,1,0,0,1,0,0,1,0,0
65,2004,7,4,0,3,170003,1,0,1,0,0,1,0,0,1,0,0,1,0,0
66,2004,11,4,0,1,104000130,1,0,1,0,0,1,0,0,2,0,0,2,0,0
67,2005,1,240,0,3,170003,1,0,1,0,0,1,0,0,1,0,0,1,0,0
68,2005,6,4,0,3,170003,1,0,1,0,0,1,0,0,1,0,0,1,0,0
69,2005,11,5,0,1,105000130,1,0,1,0,0,1,0,0,2,0,0,2,0,0
70,2006,1,240,0,3,170003,1,0,1,0,0,1,0,0,1,0,0,1,0,0
71,2006,10,30,0,3,170003,1,0,1,0,0,1,0,0,1,0,0,1,0,0
72,2006,11,6,0,1,106000130,1,0,1,0,0,1,0,0,2,0,0,2,0,0
73,2007,1,240,0,3,170003,1,0,1,0,0,1,0,0,1,0,0,1,0,0
74,2007,3,60,0,3,170003,1,0,1,0,0,1,0,0,1,0,0,1,0,0
75,2007,11,7,0,1,107000120,1,0,1,0,0,1,0,0,2,0,0,2,0,0
76,2008,1,240,0,3,170003,1,0,1,0,0,1,0,0,1,0,0,1,0,0
77,2008,5,3,0,3,170003,1,0,1,0,0,1,0,0,1,0,0,1,0,0
78,2008,11,8,0,1,108000120,1,0,1,0,0,1,0,0,2,0,0,2,0,0
79,3001,1,300,0,3,170001,1,0,1,0,0,1,0,0,1,0,0,1,0,0
80,3001,6,2,0,2,101000001,1,6,1,0,0,1,0,0,2,0,0,99999,0,0
81,3001,3,40,0,3,170000,1,0,1,0,0,1,0,0,1,0,0,1,0,0
82,3002,1,300,0,2,102000002,1,2,1,0,0,1,0,0,2,0,0,99999,0,0
83,3002,6,2,0,2,112000001,1,7,305000,100,0,1,0,0,2,0,0,99999,0,0
84,3002,10,20,0,3,170000,1,0,1,0,0,1,0,0,1,0,0,1,0,0
85,3003,1,300,0,1,106000070,1,0,1,0,0,1,0,0,2,0,0,99999,0,0
86,3003,6,2,0,2,103000001,1,8,203600,10,0,1,0,0,2,0,0,99999,0,0
87,3003,4,1,0,3,170000,1,0,1,0,0,1,0,0,1,0,0,1,0,0
88,3004,1,240,0,2,111000002,1,4,1,0,0,1,0,0,2,0,0,99999,0,0
89,3004,6,2,0,2,111000001,1,9,1,0,0,1,0,0,2,0,0,99999,0,0
90,3004,7,4,0,3,160000,1,0,1,0,0,1,0,0,1,0,0,1,0,0
91,3005,2,15500000,1,1,103000090,1,0,1,0,0,1,0,0,2,0,0,2,0,0
92,3005,1,240,0,2,105000002,1,5,1,0,0,1,0,0,2,0,0,99999,0,0
93,3005,6,3,0,3,180000,1,0,1,0,0,1,0,0,1,0,0,1,0,0
94,3006,1,240,0,3,120300,1,0,1,0,0,1,0,0,1,0,0,1,0,0
95,3006,6,3,0,2,109000001,1,11,1,0,0,1,0,0,2,0,0,99999,0,0
96,3006,9,5,0,3,160000,1,0,1,0,0,1,0,0,1,0,0,1,0,0
97,3007,1,240,0,3,130150,1,0,1,0,0,1,0,0,1,0,0,1,0,0
98,3007,6,4,0,2,108000001,1,12,1,0,0,1,0,0,2,0,0,99999,0,0
99,3007,3,70,0,3,160000,1,0,1,0,0,1,0,0,1,0,0,1,0,0
100,3008,1,240,0,2,109000002,1,8,1,0,0,1,0,0,2,0,0,99999,0,0
101,3008,6,2,0,2,120000001,1,13,301500,0,0,1,0,0,2,0,0,99999,0,0
102,3008,7,4,0,3,170000,1,0,1,0,0,1,0,0,1,0,0,1,0,0
103,3009,1,240,0,1,104000070,1,0,1,0,0,1,0,0,2,0,0,99999,0,0
104,3009,6,2,0,2,111000001,1,14,203000,0,0,1,0,0,2,0,0,99999,0,0
105,3009,5,3,0,3,160000,1,0,1,0,0,1,0,0,1,0,0,1,0,0
106,3010,1,240,0,1,102000110,1,0,1,0,0,1,0,0,2,0,0,2,0,0
107,3010,2,10080100,10,2,120000002,1,10,300900,50,0,301000,50,0,2,0,0,99999,0,0
108,3010,4,1,0,3,170001,1,0,1,0,0,1,0,0,1,0,0,1,0,0
109,3011,1,240,0,3,140000,1,0,1,0,0,1,0,0,1,0,0,1,0,0
110,3011,6,3,0,2,102000002,1,11,1,0,0,1,0,0,2,0,0,99999,0,0
111,3011,10,20,0,3,110160,1,0,1,0,0,1,0,0,1,0,0,1,0,0
112,3012,1,240,0,1,101000050,1,0,1,0,0,1,0,0,2,0,0,99999,0,0
113,3012,6,4,0,2,112000002,1,12,305000,100,0,1,0,0,2,0,0,99999,0,0
114,3012,3,80,0,3,120390,1,0,1,0,0,1,0,0,1,0,0,1,0,0
115,3013,1,240,0,3,180002,1,0,1,0,0,1,0,0,1,0,0,1,0,0
116,3013,6,4,0,2,103000002,1,13,203700,10,0,1,0,0,2,0,0,99999,0,0
117,3013,2,10230000,16,3,180001,1,0,1,0,0,1,0,0,1,0,0,1,0,0
118,3014,1,240,0,3,170002,1,0,1,0,0,1,0,0,1,0,0,1,0,0
119,3014,6,3,0,2,101000002,1,14,204300,33,0,204800,5,0,2,0,0,2,0,0
120,3014,4,1,0,3,170001,1,0,1,0,0,1,0,0,1,0,0,1,0,0
121,3015,2,15510000,1,1,105000100,1,0,1,0,0,1,0,0,2,0,0,2,0,0
122,3015,1,240,0,2,109000002,1,15,1,0,0,1,0,0,2,0,0,99999,0,0
123,3015,6,5,0,3,130090,1,0,1,0,0,1,0,0,1,0,0,1,0,0
124,3016,1,240,0,3,140000,1,0,1,0,0,1,0,0,1,0,0,1,0,0
125,3016,6,4,0,2,105000002,1,16,203100,0,0,1,0,0,2,0,0,99999,0,0
126,3016,5,3,0,3,120330,1,0,1,0,0,1,0,0,1,0,0,1,0,0
127,3017,1,240,0,1,108000060,1,0,1,0,0,1,0,0,2,0,0,99999,0,0
128,3017,6,3,0,2,108000002,1,17,1,0,0,1,0,0,2,0,0,99999,0,0
129,3017,2,10080100,16,3,170001,1,0,1,0,0,1,0,0,1,0,0,1,0,0
130,3018,1,240,0,2,101000002,1,30,204300,33,0,204800,5,0,2,0,0,99999,0,0
131,3018,6,3,0,2,112000002,1,18,305000,100,0,300900,50,0,2,0,0,99999,0,0
132,3018,10,20,0,3,170001,1,0,1,0,0,1,0,0,1,0,0,1,0,0
133,3019,1,240,0,3,140000,1,0,1,0,0,1,0,0,1,0,0,1,0,0
134,3019,6,4,0,2,102000002,1,19,203100,0,0,1,0,0,2,0,0,99999,0,0
135,3019,3,70,0,3,120310,1,0,1,0,0,1,0,0,1,0,0,1,0,0
136,3020,1,240,0,1,104000100,1,0,1,0,0,1,0,0,2,0,0,2,0,0
137,3020,2,10050100,15,2,120000005,1,20,301600,0,0,301700,0,0,2,0,0,2,0,0
138,3020,5,3,0,3,170002,1,0,1,0,0,1,0,0,1,0,0,1,0,0
139,3021,1,240,0,3,140000,1,0,1,0,0,1,0,0,1,0,0,1,0,0
140,3021,6,3,0,2,111000002,1,21,1,0,0,1,0,0,2,0,0,99999,0,0
141,3021,3,60,0,3,110170,1,0,1,0,0,1,0,0,1,0,0,1,0,0
142,3022,1,240,0,3,170003,1,0,1,0,0,1,0,0,1,0,0,1,0,0
143,3022,6,3,0,2,109000002,1,22,1,0,0,1,0,0,2,0,0,99999,0,0
144,3022,10,30,0,3,170002,1,0,1,0,0,1,0,0,1,0,0,1,0,0
145,3023,1,240,0,1,106000100,1,0,1,0,0,1,0,0,2,0,0,2,0,0
146,3023,6,5,0,2,103000002,1,23,1,0,0,1,0,0,2,0,0,99999,0,0
147,3023,5,3,0,3,130540,1,0,1,0,0,1,0,0,1,0,0,1,0,0
148,3024,1,240,0,3,140000,1,0,1,0,0,1,0,0,1,0,0,1,0,0
149,3024,6,4,0,2,108000002,1,24,1,0,0,1,0,0,2,0,0,99999,0,0
150,3024,3,50,0,3,120300,1,0,1,0,0,1,0,0,1,0,0,1,0,0
151,3025,2,15220000,1,1,103000110,1,0,1,0,0,1,0,0,2,0,0,2,0,0
152,3025,1,240,0,3,170003,1,0,1,0,0,1,0,0,1,0,0,1,0,0
153,3025,6,3,0,3,170002,1,0,1,0,0,1,0,0,1,0,0,1,0,0
154,3026,1,240,0,3,180003,1,0,1,0,0,1,0,0,1,0,0,1,0,0
155,3026,6,4,0,2,109000002,1,26,1,0,0,1,0,0,2,0,0,99999,0,0
156,3026,9,6,0,3,180002,1,0,1,0,0,1,0,0,1,0,0,1,0,0
157,3027,1,240,0,1,107000100,1,0,1,0,0,1,0,0,2,0,0,2,0,0
158,3027,6,3,0,2,105000002,1,27,1,0,0,1,0,0,2,0,0,99999,0,0
159,3027,10,30,0,3,170002,1,0,1,0,0,1,0,0,1,0,0,1,0,0
160,3028,1,240,0,3,140000,1,0,1,0,0,1,0,0,1,0,0,1,0,0
161,3028,6,4,0,2,111000002,1,28,1,0,0,1,0,0,2,0,0,99999,0,0
162,3028,3,70,0,3,110210,1,0,1,0,0,1,0,0,1,0,0,1,0,0
163,3029,1,240,0,3,170003,1,0,1,0,0,1,0,0,1,0,0,1,0,0
164,3029,6,3,0,2,108000002,1,29,1,0,0,1,0,0,2,0,0,99999,0,0
165,3029,7,4,0,3,170002,1,0,1,0,0,1,0,0,1,0,0,1,0,0
166,3030,1,240,0,1,101000090,1,0,1,0,0,1,0,0,2,0,0,2,0,0
167,3030,5,3,0,2,101000008,1,30,1,0,0,1,0,0,2,0,0,2,0,0
168,3030,9,10,0,3,120320,1,0,1,0,0,1,0,0,1,0,0,1,0,0
169,3031,1,240,0,3,150020,1,0,1,0,0,1,0,0,1,0,0,1,0,0
170,3031,6,4,0,2,102000003,1,31,1,0,0,1,0,0,2,0,0,2,0,0
171,3031,2,10250000,6,3,140000,1,0,1,0,0,1,0,0,1,0,0,1,0,0
172,3032,1,240,0,3,150030,1,0,1,0,0,1,0,0,1,0,0,1,0,0
173,3032,4,2,0,2,103000003,1,32,203900,10,0,1,0,0,2,0,0,2,0,0
174,3032,6,5,0,3,140000,1,0,1,0,0,1,0,0,1,0,0,1,0,0
175,3033,1,240,0,3,170004,1,0,1,0,0,1,0,0,1,0,0,1,0,0
176,3033,6,4,0,2,101000008,1,33,1,0,0,1,0,0,2,0,0,2,0,0
177,3033,10,30,0,3,170003,1,0,1,0,0,1,0,0,1,0,0,1,0,0
178,3034,1,240,0,3,150040,1,0,1,0,0,1,0,0,1,0,0,1,0,0
179,3034,6,6,0,2,105000003,1,34,204300,33,0,204800,5,0,2,0,0,2,0,0
180,3034,3,50,0,3,140000,1,0,1,0,0,1,0,0,1,0,0,1,0,0
181,3035,2,15212000,1,1,102000130,1,0,1,0,0,1,0,0,2,0,0,2,0,0
182,3035,1,240,0,2,102000003,1,35,203500,0,0,1,0,0,2,0,0,2,0,0
183,3035,6,5,0,3,140000,1,0,1,0,0,1,0,0,1,0,0,1,0,0
184,3036,1,240,0,1,108000100,1,0,1,0,0,1,0,0,2,0,0,2,0,0
185,3036,4,2,0,2,108000003,1,36,202500,25,0,1,0,0,2,0,0,2,0,0
186,3036,6,4,0,3,170003,1,0,1,0,0,1,0,0,1,0,0,1,0,0
187,3037,1,240,0,3,150010,1,0,1,0,0,1,0,0,1,0,0,1,0,0
188,3037,6,4,0,2,101000008,1,37,1,0,0,1,0,0,2,0,0,2,0,0
189,3037,10,40,0,3,170003,1,0,1,0,0,1,0,0,1,0,0,1,0,0
190,3038,1,240,0,3,180004,1,0,1,0,0,1,0,0,1,0,0,1,0,0
191,3038,6,5,0,2,109000003,1,38,204200,5,0,1,0,0,2,0,0,2,0,0
192,3038,5,3,0,3,180003,1,0,1,0,0,1,0,0,1,0,0,1,0,0
193,3039,1,240,0,1,104000110,1,0,1,0,0,1,0,0,2,0,0,2,0,0
194,3039,6,4,0,2,111000003,1,39,1,0,0,1,0,0,2,0,0,2,0,0
195,3039,2,10000100,25,3,140000,1,0,1,0,0,1,0,0,1,0,0,1,0,0
196,3040,1,240,0,1,105000120,1,0,1,0,0,1,0,0,2,0,0,2,0,0
197,3040,2,10230100,9,2,112000003,1,40,305000,100,0,305200,0,0,2,0,0,2,0,0
198,3040,9,9,0,3,170004,1,0,1,0,0,1,0,0,1,0,0,1,0,0
199,3041,1,240,0,2,101000004,1,41,200400,90,0,200400,85,0,2,0,0,2,0,0
200,3041,4,2,0,2,120000003,1,41,300300,90,0,1,0,0,2,0,0,2,0,0
201,3041,6,5,0,3,180004,1,0,1,0,0,1,0,0,1,0,0,1,0,0
202,3042,1,240,0,2,105000004,1,42,202700,50,0,204700,1,0,2,0,0,2,0,0
203,3042,6,4,0,3,170004,1,0,1,0,0,1,0,0,1,0,0,1,0,0
204,3042,10,40,0,3,170004,1,0,1,0,0,1,0,0,1,0,0,1,0,0
205,3043,1,240,0,2,112000004,1,43,305000,100,0,1,0,0,2,0,0,2,0,0
206,3043,4,2,0,3,130024,1,0,1,0,0,1,0,0,1,0,0,1,0,0
207,3043,6,5,0,3,140000,1,0,1,0,0,1,0,0,1,0,0,1,0,0
208,3044,1,240,0,2,102000004,1,44,1,0,0,1,0,0,2,0,0,2,0,0
209,3044,6,4,0,3,170004,1,0,1,0,0,1,0,0,1,0,0,1,0,0
210,3044,3,70,0,3,170004,1,0,1,0,0,1,0,0,1,0,0,1,0,0
211,3045,2,15311000,1,1,101000130,1,0,1,0,0,1,0,0,2,0,0,2,0,0
212,3045,1,240,0,2,101000004,1,45,200400,90,0,200400,85,0,2,0,0,2,0,0
213,3045,6,4,0,3,180004,1,0,1,0,0,1,0,0,1,0,0,1,0,0
214,3046,1,240,0,2,103000004,1,46,204100,0,0,204800,5,0,2,0,0,2,0,0
215,3046,6,6,0,3,130044,1,0,1,0,0,1,0,0,1,0,0,1,0,0
216,3046,9,9,0,3,150040,1,0,1,0,0,1,0,0,1,0,0,1,0,0
217,3047,1,240,0,2,108000004,1,47,1,0,0,1,0,0,2,0,0,2,0,0
218,3047,4,2,0,3,120034,1,0,1,0,0,1,0,0,1,0,0,1,0,0
219,3047,6,5,0,3,150030,1,0,1,0,0,1,0,0,1,0,0,1,0,0
220,3048,1,240,0,2,111000004,1,48,1,0,0,1,0,0,2,0,0,2,0,0
221,3048,8,0,0,3,110054,1,0,1,0,0,1,0,0,1,0,0,1,0,0
222,3048,6,4,0,3,150020,1,0,1,0,0,1,0,0,1,0,0,1,0,0
223,3049,1,240,0,2,109000004,1,49,1,0,0,1,0,0,2,0,0,2,0,0
224,3049,8,0,0,3,170004,1,0,1,0,0,1,0,0,1,0,0,1,0,0
225,3049,6,4,0,3,170004,1,0,1,0,0,1,0,0,1,0,0,1,0,0
226,3050,1,400,0,1,104000120,1,0,1,0,0,1,0,0,2,0,0,2,0,0
227,3050,10,50,0,3,130530,1,0,1,0,0,1,0,0,1,0,0,1,0,0
228,3050,9,9,0,3,150010,1,0,1,0,0,1,0,0,1,0,0,1,0,0
229,1019,1,340,0,3,170002,1,0,1,0,0,1,0,0,1,0,0,1,0,0
230,1019,8,0,0,3,170001,1,0,1,0,0,1,0,0,1,0,0,1,0,0
231,1019,6,3,0,3,170001,1,0,1,0,0,1,0,0,1,0,0,1,0,0
232,1020,1,280,0,2,101000002,1,20,204300,33,0,204800,5,0,2,0,0,99999,0,0
233,1020,4,2,0,1,109000030,1,0,1,0,0,1,0,0,2,0,0,99999,0,0
234,1020,3,50,0,1,109000010,1,0,1,0,0,1,0,0,99999,0,0,99999,0,0
235,1021,1,300,0,3,170002,1,0,1,0,0,1,0,0,1,0,0,1,0,0
236,1021,10,40,0,3,170001,1,0,1,0,0,1,0,0,1,0,0,1,0,0
237,1021,6,4,0,3,170001,1,0,1,0,0,1,0,0,1,0,0,1,0,0
238,1022,1,290,0,2,112000002,1,22,305000,100,0,1,0,0,2,0,0,99999,0,0
239,1022,8,0,0,3,170001,1,0,1,0,0,1,0,0,1,0,0,1,0,0
240,1022,7,4,0,3,180001,1,0,1,0,0,1,0,0,1,0,0,1,0,0
241,1023,1,290,0,1,109000080,1,0,1,0,0,1,0,0,2,0,0,99999,0,0
242,1023,6,4,0,3,170001,1,0,1,0,0,1,0,0,1,0,0,1,0,0
243,1023,9,5,0,3,180001,1,0,1,0,0,1,0,0,1,0,0,1,0,0
244,2009,1,260,0,3,170003,1,0,1,0,0,1,0,0,1,0,0,1,0,0
245,2009,7,5,0,3,170003,1,0,1,0,0,1,0,0,1,0,0,1,0,0
246,2009,11,9,0,1,109000120,1,0,1,0,0,1,0,0,2,0,0,2,0,0
247,1024,1,250,0,2,107000002,1,24,1,0,0,1,0,0,2,0,0,99999,0,0
248,1024,4,2,0,1,110000030,1,0,1,0,0,1,0,0,2,0,0,99999,0,0
249,1024,3,50,0,1,110000010,1,0,1,0,0,1,0,0,99999,0,0,99999,0,0
250,1025,1,260,0,3,170002,1,0,1,0,0,1,0,0,1,0,0,1,0,0
251,1025,10,30,0,3,170001,1,0,1,0,0,1,0,0,1,0,0,1,0,0
252,1025,6,4,0,3,170001,1,0,1,0,0,1,0,0,1,0,0,1,0,0
253,1026,1,260,0,3,170002,1,0,1,0,0,1,0,0,1,0,0,1,0,0
254,1026,6,4,0,3,170001,1,0,1,0,0,1,0,0,1,0,0,1,0,0
255,1026,7,4,0,3,170001,1,0,1,0,0,1,0,0,1,0,0,1,0,0
256,1027,1,240,0,1,110000080,1,0,1,0,0,1,0,0,2,0,0,99999,0,0
257,1027,8,0,0,3,170001,1,0,1,0,0,1,0,0,1,0,0,1,0,0
258,1027,9,5,0,3,180001,1,0,1,0,0,1,0,0,1,0,0,1,0,0
259,2010,1,250,0,3,170003,1,0,1,0,0,1,0,0,1,0,0,1,0,0
260,2010,7,5,0,3,170003,1,0,1,0,0,1,0,0,1,0,0,1,0,0
261,2010,11,10,0,1,110000120,1,0,1,0,0,1,0,0,2,0,0,2,0,0
262,3051,1,210,0,3,120034,1,0,1,0,0,1,0,0,1,0,0,1,0,0
263,3051,9,5,0,3,120024,1,0,1,0,0,1,0,0,1,0,0,1,0,0
264,3051,7,4,0,3,140000,1,0,1,0,0,1,0,0,1,0,0,1,0,0
265,3052,1,190,0,2,120000004,1,52,1,0,0,1,0,0,2,0,0,2,0,0
266,3052,10,40,0,3,170004,1,0,1,0,0,1,0,0,1,0,0,1,0,0
267,3052,4,2,0,3,170004,1,0,1,0,0,1,0,0,1,0,0,1,0,0
268,3053,1,240,0,3,130140,1,0,1,0,0,1,0,0,1,0,0,1,0,0
269,3053,8,0,0,3,170004,1,0,1,0,0,1,0,0,1,0,0,1,0,0
270,3053,4,2,0,3,170004,1,0,1,0,0,1,0,0,1,0,0,1,0,0
271,3054,1,220,0,3,120054,1,0,1,0,0,1,0,0,1,0,0,1,0,0
272,3054,10,40,0,3,120044,1,0,1,0,0,1,0,0,1,0,0,1,0,0
273,3054,9,5,0,3,140000,1,0,1,0,0,1,0,0,1,0,0,1,0,0
274,3055,1,200,0,1,106000140,1,0,1,0,0,1,0,0,2,0,0,2,0,0
275,3055,6,4,0,3,170004,1,0,1,0,0,1,0,0,1,0,0,1,0,0
276,3055,3,40,0,3,170004,1,0,1,0,0,1,0,0,1,0,0,1,0,0
277,3056,1,220,0,3,130660,1,0,1,0,0,1,0,0,1,0,0,1,0,0
278,3056,8,0,0,3,130540,1,0,1,0,0,1,0,0,1,0,0,1,0,0
279,3056,9,5,0,3,140000,1,0,1,0,0,1,0,0,1,0,0,1,0,0
280,3057,1,210,0,3,110250,1,0,1,0,0,1,0,0,1,0,0,1,0,0
281,3057,7,4,0,3,170004,1,0,1,0,0,1,0,0,1,0,0,1,0,0
282,3057,6,4,0,3,170004,1,0,1,0,0,1,0,0,1,0,0,1,0,0
283,3058,1,240,0,3,110034,1,0,1,0,0,1,0,0,1,0,0,1,0,0
284,3058,3,50,0,3,110024,1,0,1,0,0,1,0,0,1,0,0,1,0,0
285,3058,4,2,0,3,140000,1,0,1,0,0,1,0,0,1,0,0,1,0,0
286,3059,1,200,0,3,130170,1,0,1,0,0,1,0,0,1,0,0,1,0,0
287,3059,9,5,0,3,130160,1,0,1,0,0,1,0,0,1,0,0,1,0,0
288,3059,6,4,0,3,170004,1,0,1,0,0,1,0,0,1,0,0,1,0,0
289,3060,1,240,0,1,110000140,1,0,1,0,0,1,0,0,2,0,0,2,0,0
290,3060,8,0,0,2,107000003,1,60,209900,25,0,1,0,0,2,0,0,2,0,0
291,3060,10,40,0,3,180004,1,0,1,0,0,1,0,0,1,0,0,1,0,0
292,3061,1,200,0,3,121010,1,0,1,0,0,1,0,0,1,0,0,1,0,0
293,3061,9,5,0,3,170004,1,0,1,0,0,1,0,0,1,0,0,1,0,0
294,3061,4,2,0,3,170004,1,0,1,0,0,1,0,0,1,0,0,1,0,0
295,3062,1,240,0,3,140000,1,0,1,0,0,1,0,0,1,0,0,1,0,0
296,3062,8,0,0,3,140000,1,0,1,0,0,1,0,0,1,0,0,1,0,0
297,3062,3,40,0,3,140000,1,0,1,0,0,1,0,0,1,0,0,1,0,0
298,3063,1,200,0,3,110054,1,0,1,0,0,1,0,0,1,0,0,1,0,0
299,3063,10,40,0,3,110044,1,0,1,0,0,1,0,0,1,0,0,1,0,0
300,3063,6,4,0,3,140000,1,0,1,0,0,1,0,0,1,0,0,1,0,0
301,3064,1,200,0,3,121000,1,0,1,0,0,1,0,0,1,0,0,1,0,0
302,3064,9,6,0,3,170004,1,0,1,0,0,1,0,0,1,0,0,1,0,0
303,3064,6,4,0,3,170004,1,0,1,0,0,1,0,0,1,0,0,1,0,0
