// SkillCutinId,SkillId,LevelLimit,SkillName4,SkillName3,Prefab,SubScene,CutInMode,PrefabMulti,SubSceneMulti,CutInModeMulti,SeName,Weapon
12,6011,3,"旋車","旋車","Prefabs/UI/Cutin/skill/skill_3_1line_mojix2","wazacutin_skill_3_ForSubscene","un_1line_mojix2","Prefabs/UI/Cutin/skill/skill_3_1line_mojix2","wazacutin_skill_3_ForSubscene","un_1line_mojix2","SEUI_BTL_CUTIN_LV03",6
13,6012,3,"絶空","絶空","Prefabs/UI/Cutin/skill/skill_3_1line_mojix2","wazacutin_skill_3_ForSubscene","un_1line_mojix2","Prefabs/UI/Cutin/skill/skill_3_1line_mojix2","wazacutin_skill_3_ForSubscene","un_1line_mojix2","SEUI_BTL_CUTIN_LV03",6
14,6014,3,"絶空","絶空","Prefabs/UI/Cutin/skill/skill_3_1line_mojix2","wazacutin_skill_3_ForSubscene","un_1line_mojix2","Prefabs/UI/Cutin/skill/skill_3_1line_mojix2","wazacutin_skill_3_ForSubscene","un_1line_mojix2","SEUI_BTL_CUTIN_LV03",6
15,2014,3,"ナイトメア・〇〇〇レイン","ナイトメア・〇〇〇レイン","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV03",2
16,2015,3,"ヴォーパル・〇〇ストライク","ヴォーパル・〇〇ストライク","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV03",2
17,2016,3,"ライトニング・〇〇フォール","ライトニング・〇〇フォール","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV03",2
18,1004,3,"ヴォーパル・〇〇ストライク","ヴォーパル・〇〇ストライク","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV03",1
19,1013,3,"ライトニング・〇〇フォール","ライトニング・〇〇フォール","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV03",1
20,1014,3,"ヴォーパル・〇〇ストライク","ヴォーパル・〇〇ストライク","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV03",1
21,1015,3,"デッドリー・〇〇〇シンズ","デッドリー・〇〇〇シンズ","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV03",1
22,3004,3,"ペネトレイト","ペネトレイト","Prefabs/UI/Cutin/skill/skill_3_1line_mojix6","wazacutin_skill_3_ForSubscene","un_1line_mojix6","Prefabs/UI/Cutin/skill/skill_3_1line_mojix6","wazacutin_skill_3_ForSubscene","un_1line_mojix6","SEUI_BTL_CUTIN_LV03",3
23,3013,3,"シューティング・〇〇〇スター","シューティング・〇〇〇スター","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV03",3
24,3014,3,"ニュートロン","ニュートロン","Prefabs/UI/Cutin/skill/skill_3_1line_mojix6","wazacutin_skill_3_ForSubscene","un_1line_mojix6","Prefabs/UI/Cutin/skill/skill_3_1line_mojix6","wazacutin_skill_3_ForSubscene","un_1line_mojix6","SEUI_BTL_CUTIN_LV03",3
25,3016,3,"ニュートロン","ニュートロン","Prefabs/UI/Cutin/skill/skill_3_1line_mojix6","wazacutin_skill_3_ForSubscene","un_1line_mojix6","Prefabs/UI/Cutin/skill/skill_3_1line_mojix6","wazacutin_skill_3_ForSubscene","un_1line_mojix6","SEUI_BTL_CUTIN_LV03",3
26,4014,3,"シャドウ・〇〇〇〇ステッチ","シャドウ・〇〇〇〇ステッチ","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV03",4
27,4017,3,"ペネトレイト・〇〇〇スロウ","ペネトレイト・〇〇〇スロウ","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV03",4
28,4015,3,"トリック・〇〇〇〇アクセル","トリック・〇〇〇〇アクセル","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV03",4
29,9004,3,"カタパルト・〇〇トマホーク","カタパルト・〇〇トマホーク","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV03",9
30,9009,3,"シャマル・〇〇〇〇ブルータル","シャマル・〇〇〇〇ブルータル","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV03",9
31,9013,3,"アース・〇〇〇〇クラッシャー","アース・〇〇〇〇クラッシャー","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV03",9
32,10004,3,"ライオット・〇〇スマッシュ","ライオット・〇〇スマッシュ","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV03",10
33,10006,3,"スピリット・〇〇〇ボンバー","スピリット・〇〇〇ボンバー","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV03",10
34,10013,3,"ミョルニル・〇〇〇ハンマー","ミョルニル・〇〇〇ハンマー","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV03",10
35,12007,3,"ダイヤモンド・〇〇〇ダスト","ダイヤモンド・〇〇〇ダスト","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV03",11
36,12008,3,"エクスプロード・〇〇〇アロー","エクスプロード・〇〇〇アロー","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV03",11
37,12009,3,"マルチプル・〇〇〇チェイサー","マルチプル・〇〇〇チェイサー","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV03",11
38,1016,4,"ハウリング・〇〇〇オクターブ","ハウリング・〇〇〇オクターブ","Prefabs/UI/Cutin/skill/skill_4_oha_01_hoc","skill_4_oha_01_hoc_ForSubscene","Wait","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV04",1
39,1019,4,"ハウリング・〇〇〇オクターブ","ハウリング・〇〇〇オクターブ","Prefabs/UI/Cutin/skill/skill_4_oha_02_hoc","skill_4_oha_02_hoc_ForSubscene","Wait","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV04",1
40,3015,5,"フラッシング・〇ペネトレイター","フラッシング・〇ペネトレイター","Prefabs/UI/Cutin/skill/skill_5_rap_01_flb","skill_5_rap_01_flb_ForSubscene","Wait","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV05",3
41,10014,4,"ヴァリアブル・〇〇〇〇ブロウ","ヴァリアブル・〇〇ブロウ","Prefabs/UI/Cutin/skill/skill_4_mac_01_var","skill_4_mac_01_var_ForSubscene","Wait","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV04",10
42,6013,4,"散華","散華","Prefabs/UI/Cutin/skill/skill_4_kat_01_snk","skill_4_kat_01_snk_ForSubscene","Wait","Prefabs/UI/Cutin/skill/skill_3_1line_mojix2","wazacutin_skill_3_ForSubscene","un_1line_mojix2","SEUI_BTL_CUTIN_LV04",6
43,9014,5,"〇ダイナミック・ヴァイオレンス","ダイナミック・〇ヴァイオレンス","Prefabs/UI/Cutin/skill/skill_5_axe_01_div","skill_5_axe_01_div_ForSubscene","Wait","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV05",9
44,12011,5,"ミリオン・〇〇〇〇ハウリング","ミリオン・〇〇〇ハウリング","Prefabs/UI/Cutin/skill/skill_5_bow_01_mlh","skill_5_bow_01_mlh_ForSubscene","Wait","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV05",11
45,4005,5,"ライトニング・〇〇〇リッパー","ライトニング・〇〇リッパー","Prefabs/UI/Cutin/skill/skill_5_dag_01_lir","skill_5_dag_01_lir_ForSubscene","Wait","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV05",4
46,30407,3,"ドラゴニック・〇チャージ","ドラゴニック・〇チャージ","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV03",0
47,1006,5,"マザーズ・〇〇〇〇ロザリオ","マザーズ・〇〇〇〇ロザリオ","Prefabs/UI/Cutin/skill/skill_5_oha_02_mor","skill_5_oha_02_mor_ForSubscene","Wait","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV05",1
48,3006,5,"マザーズ・〇〇〇〇ロザリオ","マザーズ・〇〇〇〇ロザリオ","Prefabs/UI/Cutin/skill/skill_5_oha_02_mor","skill_5_oha_02_mor_ForSubscene","Wait","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV05",3
49,8004,4,"タービュランス・〇〇ラッシュ","タービュランス・ラッシュ","Prefabs/UI/Cutin/skill/skill_4_clw_01_tbr","skill_4_clw_01_tbr_ForSubscene","Wait","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV04",8
50,8005,5,"デッドリー・〇〇〇〇〇ブロウ","デッドリー・〇〇〇ブロウ","Prefabs/UI/Cutin/skill/skill_5_clw_01_ddb","skill_5_clw_01_ddb_ForSubscene","Wait","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV05",8
51,8009,3,"ブレイジング・〇ブロウ","ブレイジング・〇ブロウ","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV03",8
52,8013,3,"フルー・〇〇〇〇スラッシュ","フルー・〇〇〇〇スラッシュ","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV03",8
53,8014,3,"アキュート・〇〇ヴォールト","アキュート・〇〇ヴォールト","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV03",8
54,14008,4,"クイック・〇〇〇ファイヤー","クイック・〇〇〇ファイヤー","Prefabs/UI/Cutin/skill/skill_4_rif_01_qif","skill_4_rif_01_qif_ForSubscene","Wait","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV04",14
55,14007,4,"ウルトラウォーターブラスト","ウルトラウォーターブラスト","Prefabs/UI/Cutin/skill/skill_4_rif_02_wub","skill_4_rif_02_wub_ForSubscene","Wait","Prefabs/UI/Cutin/skill/skill_3_2line_moji96","wazacutin_skill_3_ForSubscene","un_2line_moji96","SEUI_BTL_CUTIN_LV04",14
56,14009,5,"プローン・〇〇〇ペネトレイト","プローン・〇〇〇〇ペネトレイト","Prefabs/UI/Cutin/skill/skill_5_rif_01_prp","skill_5_rif_01_prp_ForSubscene","Wait","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV05",14
57,14005,3,"ピアース・〇〇〇ファイブショット","ピアース・〇〇〇ファイブショット","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV03",8
58,14006,3,"ファントム・〇〇〇バレット","ファントム・〇〇〇バレット","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV03",8
59,1020,4,"ビッグウェーブ・オクターブ","ビッグウェーブ・オクターブ","Prefabs/UI/Cutin/skill/skill_4_oha_03_wbo","skill_4_oha_03_wbo_ForSubscene","Wait","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV04",1
60,3017,4,"サマーバカンス・スプラッシュ","サマーバカンス・スプラッシュ","Prefabs/UI/Cutin/skill/skill_4_rap_02_wss","skill_4_rap_02_wss_ForSubscene","Wait","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV04",3
61,1022,5,"ノヴァ・〇〇〇〇アセンション","ノヴァ・〇〇〇〇アセンション","Prefabs/UI/Cutin/skill/skill_5_oha_01_nva","skill_5_oha_01_nva_ForSubscene","Wait","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV05",1
62,3019,5,"フラッシング・〇ペネトレイター","フラッシング・〇ペネトレイター","Prefabs/UI/Cutin/skill/skill_5_rap_01_flb","skill_5_rap_01_flb_ForSubscene","Wait","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV05",3
63,14011,5,"プローン・〇〇〇ペネトレイト","プローン・〇〇〇〇ペネトレイト","Prefabs/UI/Cutin/skill/skill_5_rif_01_prp","skill_5_rif_01_prp_ForSubscene","Wait","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV05",14
64,14013,3,"スタッフド・〇〇〇ショット","スタッフド・〇〇〇ショット","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV03",14
65,10017,3,"セントリフュガル・フォース","セントリフュガル・フォース","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV03",10
66,1023,4,"フリーズ・〇〇〇〇ウェイブ","フリーズ・〇〇〇ウェイブ","Prefabs/UI/Cutin/skill/skill_4_oha_05_br4","skill_4_oha_05_br4_ForSubscene","Wait","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV04",1
67,1024,5,"ブルーム・〇〇〇リストレイント","ブルーム・〇〇〇リストレイント","Prefabs/UI/Cutin/skill/skill_5_oha_04_br5","skill_5_oha_04_br5_ForSubscene","Wait","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV05",1
68,1027,4,"嵐花裂天","嵐花裂天","Prefabs/UI/Cutin/skill/skill_4_oha_04_km4","skill_4_oha_04_km4_ForSubscene","Wait","Prefabs/UI/Cutin/skill/skill_3_1line_mojix4","wazacutin_skill_3_ForSubscene","un_1line_mojix4","SEUI_BTL_CUTIN_LV04",1
69,1028,5,"散花流転","散花流転","Prefabs/UI/Cutin/skill/skill_5_oha_03_km5","skill_5_oha_03_km5_ForSubscene","Wait","Prefabs/UI/Cutin/skill/skill_3_1line_mojix4","wazacutin_skill_3_ForSubscene","un_1line_mojix4","SEUI_BTL_CUTIN_LV05",1
70,1030,3,"天山烈波","天山烈波","Prefabs/UI/Cutin/skill/skill_3_1line_mojix4","wazacutin_skill_3_ForSubscene","un_1line_mojix4","Prefabs/UI/Cutin/skill/skill_3_1line_mojix4","wazacutin_skill_3_ForSubscene","un_1line_mojix4","SEUI_BTL_CUTIN_LV03",1
71,1034,3,"穿花通貫","穿花通貫","Prefabs/UI/Cutin/skill/skill_3_1line_mojix4","wazacutin_skill_3_ForSubscene","un_1line_mojix4","Prefabs/UI/Cutin/skill/skill_3_1line_mojix4","wazacutin_skill_3_ForSubscene","un_1line_mojix4","SEUI_BTL_CUTIN_LV03",1
72,1035,3,"旋花砕厳","旋花砕厳","Prefabs/UI/Cutin/skill/skill_3_1line_mojix4","wazacutin_skill_3_ForSubscene","un_1line_mojix4","Prefabs/UI/Cutin/skill/skill_3_1line_mojix4","wazacutin_skill_3_ForSubscene","un_1line_mojix4","SEUI_BTL_CUTIN_LV03",1
73,1037,4,"アブゾーブ・〇〇〇ソルスグレイス","アブゾーブ・〇〇〇ソルスグレイス","Prefabs/UI/Cutin/skill/skill_4_oha_06_yz1","skill_4_oha_06_yz1_ForSubscene","Wait","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV04",1
74,29002,3,"インテンス・〇〇〇ガイザー","インテンス・〇〇〇ガイザー","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV03",0
75,29003,4,"オラクルオブ〇〇イグレット","オラクルオブ〇〇イグレット","Prefabs/UI/Cutin/skill/skill_4_xxx_01_zza","skill_4_xxx_01_zza_ForSubscene","Wait","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV04",0
76,1040,5,"散花流転","散花流転","Prefabs/UI/Cutin/skill/skill_5_oha_03_km5","skill_5_oha_03_km5_ForSubscene","Wait","Prefabs/UI/Cutin/skill/skill_3_1line_mojix4","wazacutin_skill_3_ForSubscene","un_1line_mojix4","SEUI_BTL_CUTIN_LV05",1
77,4018,5,"ライトニング・〇〇〇リッパー","ライトニング・〇〇リッパー","Prefabs/UI/Cutin/skill/skill_5_dag_01_lir","skill_5_dag_01_lir_ForSubscene","Wait","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV05",4
78,12012,5,"ミリオン・〇〇〇〇ハウリング","ミリオン・〇〇〇ハウリング","Prefabs/UI/Cutin/skill/skill_5_bow_01_mlh","skill_5_bow_01_mlh_ForSubscene","Wait","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV05",11
79,9015,3,"レックレス・〇〇〇ドライブ","レックレス・〇〇〇ドライブ","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV03",9
80,9016,3,"ヘヴィ・〇〇〇〇〇スレイ","ヘヴィ・〇〇〇〇〇スレイ","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV03",9
81,29006,4,"メリー・メリー・クリスマス！","メリー・メリー・クリスマス！","Prefabs/UI/Cutin/skill/skill_4_xxx_01_zzb","skill_4_xxx_01_zzb_ForSubscene","Wait","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV04",0
