// PropertyTableId,PropertyTableSubId,PropertyId,Value1Min,Value1Max,Value2Min,Value2Max,Rate
74,10012,101600,0,0,0,0,100
75,10012,101700,0,0,0,0,100
76,10012,101900,10,50,0,0,100
77,10012,102000,5,25,0,0,100
78,10012,102100,2,20,0,0,100
79,10012,102200,5,5,0,0,100
80,10012,102300,20,40,0,0,100
81,10012,102400,10,30,0,0,100
82,10012,102500,10,30,0,0,100
83,10012,102600,10,30,0,0,50
84,10012,102700,20,40,0,0,50
86,10013,1,0,0,0,0,2500
87,10013,100200,51,80,0,0,900
88,10013,100300,51,80,0,0,900
89,10013,100400,51,80,0,0,900
90,10013,100500,51,80,0,0,900
91,10013,100600,1,20,0,0,100
92,10013,100700,1,20,0,0,100
93,10013,100800,1,20,0,0,100
94,10013,101500,0,0,0,0,100
95,10013,101600,0,0,0,0,100
96,10013,101700,0,0,0,0,100
97,10013,101900,10,50,0,0,100
98,10013,102000,5,25,0,0,100
99,10013,102100,2,20,0,0,100
100,10013,102200,5,5,0,0,100
101,10013,102300,20,40,0,0,100
102,10013,102400,10,30,0,0,100
103,10013,102500,10,30,0,0,100
104,10013,102600,10,30,0,0,50
105,10013,102700,20,40,0,0,50
107,10014,1,0,0,0,0,2500
108,10014,100200,71,100,0,0,900
109,10014,100300,71,100,0,0,900
110,10014,100400,71,100,0,0,900
111,10014,100500,71,100,0,0,900
112,10014,100600,1,20,0,0,100
113,10014,100700,1,20,0,0,100
114,10014,100800,1,20,0,0,100
115,10014,101500,0,0,0,0,100
116,10014,101600,0,0,0,0,100
117,10014,101700,0,0,0,0,100
118,10014,101900,10,50,0,0,100
119,10014,102000,5,25,0,0,100
120,10014,102100,2,20,0,0,100
121,10014,102200,5,5,0,0,100
122,10014,102300,20,40,0,0,100
123,10014,102400,10,30,0,0,100
124,10014,102500,10,30,0,0,100
125,10014,102600,10,30,0,0,50
126,10014,102700,20,40,0,0,50
128,10020,1,0,0,0,0,2500
129,10020,100200,1,20,0,0,800
130,10020,100300,1,20,0,0,800
131,10020,100400,1,20,0,0,800
132,10020,100500,1,20,0,0,800
133,10020,100600,1,20,0,0,100
134,10020,100700,1,20,0,0,100
135,10020,100800,1,20,0,0,100
136,10020,101500,0,0,0,0,100
137,10020,101600,0,0,0,0,100
138,10020,101700,0,0,0,0,100
139,10020,101900,10,50,0,0,100
140,10020,102000,5,25,0,0,100
141,10020,102100,2,20,0,0,100
142,10020,102200,5,5,0,0,100
143,10020,102300,20,40,0,0,100
144,10020,102400,10,30,0,0,100
145,10020,102500,10,30,0,0,100
146,10020,102600,10,30,0,0,50
147,10020,102700,20,40,0,0,50
148,10020,102900,1,20,0,0,400
150,10021,1,0,0,0,0,2500
151,10021,100200,11,40,0,0,800
152,10021,100300,11,40,0,0,800
153,10021,100400,11,40,0,0,800
154,10021,100500,11,40,0,0,800
155,10021,100600,1,20,0,0,100
156,10021,100700,1,20,0,0,100
157,10021,100800,1,20,0,0,100
158,10021,101500,0,0,0,0,100
159,10021,101600,0,0,0,0,100
160,10021,101700,0,0,0,0,100
161,10021,101900,10,50,0,0,100
162,10021,102000,5,25,0,0,100
163,10021,102100,2,20,0,0,100
164,10021,102200,5,5,0,0,100
165,10021,102300,20,40,0,0,100
166,10021,102400,10,30,0,0,100
167,10021,102500,10,30,0,0,100
168,10021,102600,10,30,0,0,50
169,10021,102700,20,40,0,0,50
170,10021,102900,11,40,0,0,400
172,10022,1,0,0,0,0,2500
173,10022,100200,31,60,0,0,800
174,10022,100300,31,60,0,0,800
175,10022,100400,31,60,0,0,800
176,10022,100500,31,60,0,0,800
177,10022,100600,1,20,0,0,100
178,10022,100700,1,20,0,0,100
179,10022,100800,1,20,0,0,100
180,10022,101500,0,0,0,0,100
181,10022,101600,0,0,0,0,100
182,10022,101700,0,0,0,0,100
183,10022,101900,10,50,0,0,100
184,10022,102000,5,25,0,0,100
185,10022,102100,2,20,0,0,100
186,10022,102200,5,5,0,0,100
187,10022,102300,20,40,0,0,100
188,10022,102400,10,30,0,0,100
189,10022,102500,10,30,0,0,100
190,10022,102600,10,30,0,0,50
191,10022,102700,20,40,0,0,50
192,10022,102900,31,60,0,0,400
194,10023,1,0,0,0,0,2500
195,10023,100200,51,80,0,0,800
196,10023,100300,51,80,0,0,800
197,10023,100400,51,80,0,0,800
198,10023,100500,51,80,0,0,800
199,10023,100600,1,20,0,0,100
200,10023,100700,1,20,0,0,100
201,10023,100800,1,20,0,0,100
202,10023,101500,0,0,0,0,100
203,10023,101600,0,0,0,0,100
204,10023,101700,0,0,0,0,100
205,10023,101900,10,50,0,0,100
206,10023,102000,5,25,0,0,100
207,10023,102100,2,20,0,0,100
208,10023,102200,5,5,0,0,100
209,10023,102300,20,40,0,0,100
210,10023,102400,10,30,0,0,100
211,10023,102500,10,30,0,0,100
212,10023,102600,10,30,0,0,50
213,10023,102700,20,40,0,0,50
214,10023,102900,51,80,0,0,400
216,10024,1,0,0,0,0,2500
217,10024,100200,71,100,0,0,800
218,10024,100300,71,100,0,0,800
219,10024,100400,71,100,0,0,800
220,10024,100500,71,100,0,0,800
221,10024,100600,1,20,0,0,100
222,10024,100700,1,20,0,0,100
223,10024,100800,1,20,0,0,100
224,10024,101500,0,0,0,0,100
225,10024,101600,0,0,0,0,100
226,10024,101700,0,0,0,0,100
227,10024,101900,10,50,0,0,100
228,10024,102000,5,25,0,0,100
229,10024,102100,2,20,0,0,100
230,10024,102200,5,5,0,0,100
231,10024,102300,20,40,0,0,100
232,10024,102400,10,30,0,0,100
233,10024,102500,10,30,0,0,100
234,10024,102600,10,30,0,0,50
235,10024,102700,20,40,0,0,50
236,10024,102900,71,100,0,0,400
238,10030,1,0,0,0,0,2500
239,10030,100200,1,20,0,0,600
240,10030,100300,1,20,0,0,600
241,10030,100400,1,20,0,0,600
242,10030,100500,1,20,0,0,600
243,10030,100600,1,20,0,0,50
244,10030,100700,1,20,0,0,50
245,10030,100800,1,20,0,0,50
246,10030,101500,0,0,0,0,100
247,10030,101600,0,0,0,0,100
248,10030,101700,0,0,0,0,100
249,10030,101900,10,50,0,0,700
250,10030,102000,5,25,0,0,700
251,10030,102100,2,20,0,0,50
252,10030,102200,5,5,0,0,50
253,10030,102300,20,40,0,0,50
254,10030,102400,10,30,0,0,50
255,10030,102500,10,30,0,0,50
256,10030,102600,10,30,0,0,50
257,10030,102700,20,40,0,0,50
258,10030,102900,1,20,0,0,400
260,10031,1,0,0,0,0,2500
261,10031,100200,11,40,0,0,600
262,10031,100300,11,40,0,0,600
263,10031,100400,11,40,0,0,600
264,10031,100500,11,40,0,0,600
265,10031,100600,1,20,0,0,50
266,10031,100700,1,20,0,0,50
267,10031,100800,1,20,0,0,50
268,10031,101500,0,0,0,0,100
269,10031,101600,0,0,0,0,100
270,10031,101700,0,0,0,0,100
271,10031,101900,10,50,0,0,700
272,10031,102000,5,25,0,0,700
273,10031,102100,2,20,0,0,50
274,10031,102200,5,5,0,0,50
275,10031,102300,20,40,0,0,50
276,10031,102400,10,30,0,0,50
277,10031,102500,10,30,0,0,50
278,10031,102600,10,30,0,0,50
279,10031,102700,20,40,0,0,50
280,10031,102900,11,40,0,0,400
282,10032,1,0,0,0,0,2500
283,10032,100200,31,60,0,0,600
284,10032,100300,31,60,0,0,600
285,10032,100400,31,60,0,0,600
286,10032,100500,31,60,0,0,600
287,10032,100600,1,20,0,0,50
288,10032,100700,1,20,0,0,50
289,10032,100800,1,20,0,0,50
290,10032,101500,0,0,0,0,100
291,10032,101600,0,0,0,0,100
292,10032,101700,0,0,0,0,100
293,10032,101900,10,50,0,0,700
294,10032,102000,5,25,0,0,700
295,10032,102100,2,20,0,0,50
296,10032,102200,5,5,0,0,50
297,10032,102300,20,40,0,0,50
298,10032,102400,10,30,0,0,50
299,10032,102500,10,30,0,0,50
300,10032,102600,10,30,0,0,50
301,10032,102700,20,40,0,0,50
302,10032,102900,31,60,0,0,400
304,10033,1,0,0,0,0,2500
305,10033,100200,51,80,0,0,600
306,10033,100300,51,80,0,0,600
307,10033,100400,51,80,0,0,600
308,10033,100500,51,80,0,0,600
309,10033,100600,1,20,0,0,50
310,10033,100700,1,20,0,0,50
311,10033,100800,1,20,0,0,50
312,10033,101500,0,0,0,0,100
313,10033,101600,0,0,0,0,100
314,10033,101700,0,0,0,0,100
315,10033,101900,10,50,0,0,700
316,10033,102000,5,25,0,0,700
317,10033,102100,2,20,0,0,50
318,10033,102200,5,5,0,0,50
319,10033,102300,20,40,0,0,50
320,10033,102400,10,30,0,0,50
321,10033,102500,10,30,0,0,50
322,10033,102600,10,30,0,0,50
323,10033,102700,20,40,0,0,50
324,10033,102900,51,80,0,0,400
326,10034,1,0,0,0,0,2500
327,10034,100200,71,100,0,0,600
328,10034,100300,71,100,0,0,600
329,10034,100400,71,100,0,0,600
330,10034,100500,71,100,0,0,600
331,10034,100600,1,20,0,0,50
332,10034,100700,1,20,0,0,50
333,10034,100800,1,20,0,0,50
334,10034,101500,0,0,0,0,100
335,10034,101600,0,0,0,0,100
336,10034,101700,0,0,0,0,100
337,10034,101900,10,50,0,0,700
338,10034,102000,5,25,0,0,700
339,10034,102100,2,20,0,0,50
340,10034,102200,5,5,0,0,50
341,10034,102300,20,40,0,0,50
342,10034,102400,10,30,0,0,50
343,10034,102500,10,30,0,0,50
344,10034,102600,10,30,0,0,50
345,10034,102700,20,40,0,0,50
346,10034,102900,71,100,0,0,400
348,10040,1,0,0,0,0,2500
349,10040,100200,1,20,0,0,800
350,10040,100300,1,20,0,0,800
351,10040,100400,1,20,0,0,800
352,10040,100500,1,20,0,0,800
353,10040,100600,1,20,0,0,100
354,10040,100700,1,20,0,0,100
355,10040,100800,1,20,0,0,100
356,10040,101500,0,0,0,0,100
357,10040,101600,0,0,0,0,100
358,10040,101700,0,0,0,0,100
359,10040,101900,10,50,0,0,100
360,10040,102000,5,25,0,0,100
361,10040,102100,2,20,0,0,100
362,10040,102200,5,5,0,0,100
363,10040,102300,20,40,0,0,100
364,10040,102400,10,30,0,0,100
365,10040,102500,10,30,0,0,100
366,10040,102600,10,30,0,0,50
367,10040,102700,20,40,0,0,50
368,10040,102800,1,20,0,0,350
369,10040,102900,1,20,0,0,50
371,10041,1,0,0,0,0,2500
372,10041,100200,11,40,0,0,800
373,10041,100300,11,40,0,0,800
374,10041,100400,11,40,0,0,800
375,10041,100500,11,40,0,0,800
376,10041,100600,1,20,0,0,100
377,10041,100700,1,20,0,0,100
378,10041,100800,1,20,0,0,100
379,10041,101500,0,0,0,0,100
380,10041,101600,0,0,0,0,100
381,10041,101700,0,0,0,0,100
382,10041,101900,10,50,0,0,100
383,10041,102000,5,25,0,0,100
384,10041,102100,2,20,0,0,100
385,10041,102200,5,5,0,0,100
386,10041,102300,20,40,0,0,100
387,10041,102400,10,30,0,0,100
388,10041,102500,10,30,0,0,100
389,10041,102600,10,30,0,0,50
390,10041,102700,20,40,0,0,50
391,10041,102800,11,40,0,0,350
392,10041,102900,11,40,0,0,50
394,10042,1,0,0,0,0,2500
395,10042,100200,31,60,0,0,800
396,10042,100300,31,60,0,0,800
397,10042,100400,31,60,0,0,800
398,10042,100500,31,60,0,0,800
399,10042,100600,1,20,0,0,100
400,10042,100700,1,20,0,0,100
401,10042,100800,1,20,0,0,100
402,10042,101500,0,0,0,0,100
403,10042,101600,0,0,0,0,100
404,10042,101700,0,0,0,0,100
405,10042,101900,10,50,0,0,100
406,10042,102000,5,25,0,0,100
407,10042,102100,2,20,0,0,100
408,10042,102200,5,5,0,0,100
409,10042,102300,20,40,0,0,100
410,10042,102400,10,30,0,0,100
411,10042,102500,10,30,0,0,100
412,10042,102600,10,30,0,0,50
413,10042,102700,20,40,0,0,50
414,10042,102800,31,60,0,0,350
415,10042,102900,31,60,0,0,50
417,10043,1,0,0,0,0,2500
418,10043,100200,51,80,0,0,800
419,10043,100300,51,80,0,0,800
420,10043,100400,51,80,0,0,800
421,10043,100500,51,80,0,0,800
422,10043,100600,1,20,0,0,100
423,10043,100700,1,20,0,0,100
424,10043,100800,1,20,0,0,100
425,10043,101500,0,0,0,0,100
426,10043,101600,0,0,0,0,100
427,10043,101700,0,0,0,0,100
428,10043,101900,10,50,0,0,100
429,10043,102000,5,25,0,0,100
430,10043,102100,2,20,0,0,100
431,10043,102200,5,5,0,0,100
432,10043,102300,20,40,0,0,100
433,10043,102400,10,30,0,0,100
434,10043,102500,10,30,0,0,100
435,10043,102600,10,30,0,0,50
436,10043,102700,20,40,0,0,50
437,10043,102800,51,80,0,0,350
438,10043,102900,51,80,0,0,50
440,10044,1,0,0,0,0,2500
441,10044,100200,71,100,0,0,800
442,10044,100300,71,100,0,0,800
443,10044,100400,71,100,0,0,800
444,10044,100500,71,100,0,0,800
445,10044,100600,1,20,0,0,100
446,10044,100700,1,20,0,0,100
447,10044,100800,1,20,0,0,100
448,10044,101500,0,0,0,0,100
449,10044,101600,0,0,0,0,100
450,10044,101700,0,0,0,0,100
451,10044,101900,10,50,0,0,100
452,10044,102000,5,25,0,0,100
453,10044,102100,2,20,0,0,100
454,10044,102200,5,5,0,0,100
455,10044,102300,20,40,0,0,100
456,10044,102400,10,30,0,0,100
457,10044,102500,10,30,0,0,100
458,10044,102600,10,30,0,0,50
459,10044,102700,20,40,0,0,50
460,10044,102800,71,100,0,0,350
461,10044,102900,71,100,0,0,50
463,10050,1,0,0,0,0,2500
464,10050,100200,1,20,0,0,750
465,10050,100300,1,20,0,0,750
466,10050,100400,1,20,0,0,750
467,10050,100500,1,20,0,0,750
468,10050,100600,1,20,0,0,100
469,10050,100700,1,20,0,0,100
470,10050,100800,1,20,0,0,100
471,10050,101500,0,0,0,0,100
472,10050,101600,0,0,0,0,100
473,10050,101700,0,0,0,0,100
474,10050,101900,10,50,0,0,750
475,10050,102000,5,25,0,0,300
476,10050,102100,2,20,0,0,50
477,10050,102200,5,5,0,0,50
478,10050,102300,20,40,0,0,50
479,10050,102400,10,30,0,0,50
480,10050,102500,10,30,0,0,50
481,10050,102600,10,30,0,0,50
482,10050,102700,20,40,0,0,50
484,10051,1,0,0,0,0,2500
485,10051,100200,1,20,0,0,750
486,10051,100300,1,20,0,0,750
487,10051,100400,1,20,0,0,750
488,10051,100500,1,20,0,0,750
489,10051,100600,1,20,0,0,100
490,10051,100700,1,20,0,0,100
491,10051,100800,1,20,0,0,100
492,10051,101500,0,0,0,0,100
493,10051,101600,0,0,0,0,100
494,10051,101700,0,0,0,0,100
495,10051,101900,10,50,0,0,750
496,10051,102000,5,25,0,0,300
497,10051,102100,2,20,0,0,50
498,10051,102200,5,5,0,0,50
499,10051,102300,20,40,0,0,50
500,10051,102400,10,30,0,0,50
501,10051,102500,10,30,0,0,50
502,10051,102600,10,30,0,0,50
503,10051,102700,20,40,0,0,50
505,10052,1,0,0,0,0,2500
506,10052,100200,1,20,0,0,750
507,10052,100300,1,20,0,0,750
508,10052,100400,1,20,0,0,750
509,10052,100500,1,20,0,0,750
510,10052,100600,1,20,0,0,100
511,10052,100700,1,20,0,0,100
512,10052,100800,1,20,0,0,100
513,10052,101500,0,0,0,0,100
514,10052,101600,0,0,0,0,100
515,10052,101700,0,0,0,0,100
516,10052,101900,10,50,0,0,750
517,10052,102000,5,25,0,0,300
518,10052,102100,2,20,0,0,50
519,10052,102200,5,5,0,0,50
520,10052,102300,20,40,0,0,50
521,10052,102400,10,30,0,0,50
522,10052,102500,10,30,0,0,50
523,10052,102600,10,30,0,0,50
524,10052,102700,20,40,0,0,50
526,10053,1,0,0,0,0,2500
527,10053,100200,1,20,0,0,750
528,10053,100300,1,20,0,0,750
529,10053,100400,1,20,0,0,750
530,10053,100500,1,20,0,0,750
531,10053,100600,1,20,0,0,100
532,10053,100700,1,20,0,0,100
533,10053,100800,1,20,0,0,100
534,10053,101500,0,0,0,0,100
535,10053,101600,0,0,0,0,100
536,10053,101700,0,0,0,0,100
537,10053,101900,10,50,0,0,750
538,10053,102000,5,25,0,0,300
539,10053,102100,2,20,0,0,50
540,10053,102200,5,5,0,0,50
541,10053,102300,20,40,0,0,50
542,10053,102400,10,30,0,0,50
543,10053,102500,10,30,0,0,50
544,10053,102600,10,30,0,0,50
545,10053,102700,20,40,0,0,50
547,10054,1,0,0,0,0,2500
548,10054,100200,1,20,0,0,750
549,10054,100300,1,20,0,0,750
550,10054,100400,1,20,0,0,750
551,10054,100500,1,20,0,0,750
552,10054,100600,1,20,0,0,100
553,10054,100700,1,20,0,0,100
554,10054,100800,1,20,0,0,100
555,10054,101500,0,0,0,0,100
556,10054,101600,0,0,0,0,100
557,10054,101700,0,0,0,0,100
558,10054,101900,10,50,0,0,750
559,10054,102000,5,25,0,0,300
560,10054,102100,2,20,0,0,50
561,10054,102200,5,5,0,0,50
562,10054,102300,20,40,0,0,50
563,10054,102400,10,30,0,0,50
564,10054,102500,10,30,0,0,50
565,10054,102600,10,30,0,0,50
566,10054,102700,20,40,0,0,50
568,10060,1,0,0,0,0,3000
569,10060,100200,1,20,0,0,600
570,10060,100300,1,20,0,0,600
571,10060,100400,1,20,0,0,600
572,10060,100500,1,20,0,0,600
573,10060,100600,1,20,0,0,50
574,10060,100700,1,20,0,0,50
575,10060,100800,1,20,0,0,50
576,10060,100900,20,50,0,0,50
577,10060,101000,20,50,0,0,50
578,10060,101100,20,50,0,0,50
579,10060,101200,20,50,0,0,50
580,10060,101300,20,50,0,0,50
581,10060,101400,40,50,0,0,800
582,10060,101500,0,0,0,0,50
583,10060,101600,0,0,0,0,50
584,10060,101700,0,0,0,0,50
585,10060,101800,0,0,0,0,800
586,10060,101900,10,50,0,0,550
587,10060,102000,5,25,0,0,50
588,10060,102100,2,20,0,0,550
589,10060,102200,5,5,0,0,50
590,10060,102300,20,40,0,0,50
591,10060,102400,10,30,0,0,50
592,10060,102500,10,30,0,0,50
593,10060,102600,10,30,0,0,50
594,10060,102700,20,40,0,0,50
596,10061,1,0,0,0,0,3000
597,10061,100200,11,40,0,0,600
598,10061,100300,11,40,0,0,600
599,10061,100400,11,40,0,0,600
600,10061,100500,11,40,0,0,600
601,10061,100600,1,20,0,0,50
602,10061,100700,1,20,0,0,50
603,10061,100800,1,20,0,0,50
604,10061,100900,20,50,0,0,50
605,10061,101000,20,50,0,0,50
606,10061,101100,20,50,0,0,50
607,10061,101200,20,50,0,0,50
608,10061,101300,20,50,0,0,50
609,10061,101400,40,50,0,0,800
610,10061,101500,0,0,0,0,50
611,10061,101600,0,0,0,0,50
612,10061,101700,0,0,0,0,50
613,10061,101800,0,0,0,0,800
614,10061,101900,10,50,0,0,550
615,10061,102000,5,25,0,0,50
616,10061,102100,2,20,0,0,550
617,10061,102200,5,5,0,0,50
618,10061,102300,20,40,0,0,50
619,10061,102400,10,30,0,0,50
620,10061,102500,10,30,0,0,50
621,10061,102600,10,30,0,0,50
622,10061,102700,20,40,0,0,50
624,10062,1,0,0,0,0,3000
625,10062,100200,31,60,0,0,600
626,10062,100300,31,60,0,0,600
627,10062,100400,31,60,0,0,600
628,10062,100500,31,60,0,0,600
629,10062,100600,1,20,0,0,50
630,10062,100700,1,20,0,0,50
631,10062,100800,1,20,0,0,50
632,10062,100900,20,50,0,0,50
633,10062,101000,20,50,0,0,50
634,10062,101100,20,50,0,0,50
635,10062,101200,20,50,0,0,50
636,10062,101300,20,50,0,0,50
637,10062,101400,40,50,0,0,800
638,10062,101500,0,0,0,0,50
639,10062,101600,0,0,0,0,50
640,10062,101700,0,0,0,0,50
641,10062,101800,0,0,0,0,800
642,10062,101900,10,50,0,0,550
643,10062,102000,5,25,0,0,50
644,10062,102100,2,20,0,0,550
645,10062,102200,5,5,0,0,50
646,10062,102300,20,40,0,0,50
647,10062,102400,10,30,0,0,50
648,10062,102500,10,30,0,0,50
649,10062,102600,10,30,0,0,50
650,10062,102700,20,40,0,0,50
652,10063,1,0,0,0,0,3000
653,10063,100200,51,80,0,0,600
654,10063,100300,51,80,0,0,600
655,10063,100400,51,80,0,0,600
656,10063,100500,51,80,0,0,600
657,10063,100600,1,20,0,0,50
658,10063,100700,1,20,0,0,50
659,10063,100800,1,20,0,0,50
660,10063,100900,20,50,0,0,50
661,10063,101000,20,50,0,0,50
662,10063,101100,20,50,0,0,50
663,10063,101200,20,50,0,0,50
664,10063,101300,20,50,0,0,50
665,10063,101400,40,50,0,0,800
666,10063,101500,0,0,0,0,50
667,10063,101600,0,0,0,0,50
668,10063,101700,0,0,0,0,50
669,10063,101800,0,0,0,0,800
670,10063,101900,10,50,0,0,550
671,10063,102000,5,25,0,0,50
672,10063,102100,2,20,0,0,550
673,10063,102200,5,5,0,0,50
674,10063,102300,20,40,0,0,50
675,10063,102400,10,30,0,0,50
676,10063,102500,10,30,0,0,50
677,10063,102600,10,30,0,0,50
678,10063,102700,20,40,0,0,50
680,10064,1,0,0,0,0,3000
681,10064,100200,71,100,0,0,600
682,10064,100300,71,100,0,0,600
683,10064,100400,71,100,0,0,600
684,10064,100500,71,100,0,0,600
685,10064,100600,1,20,0,0,50
686,10064,100700,1,20,0,0,50
687,10064,100800,1,20,0,0,50
688,10064,100900,20,50,0,0,50
689,10064,101000,20,50,0,0,50
690,10064,101100,20,50,0,0,50
691,10064,101200,20,50,0,0,50
692,10064,101300,20,50,0,0,50
693,10064,101400,40,50,0,0,800
694,10064,101500,0,0,0,0,50
695,10064,101600,0,0,0,0,50
696,10064,101700,0,0,0,0,50
697,10064,101800,0,0,0,0,800
698,10064,101900,10,50,0,0,550
699,10064,102000,5,25,0,0,50
700,10064,102100,2,20,0,0,550
701,10064,102200,5,5,0,0,50
702,10064,102300,20,40,0,0,50
703,10064,102400,10,30,0,0,50
704,10064,102500,10,30,0,0,50
705,10064,102600,10,30,0,0,50
706,10064,102700,20,40,0,0,50
708,10070,1,0,0,0,0,3000
709,10070,100200,1,20,0,0,750
710,10070,100300,1,20,0,0,750
711,10070,100400,1,20,0,0,750
712,10070,100500,1,20,0,0,750
713,10070,100600,1,20,0,0,50
714,10070,100700,1,20,0,0,50
715,10070,100800,1,20,0,0,50
716,10070,100900,20,50,0,0,50
717,10070,101000,40,50,0,0,800
718,10070,101100,20,50,0,0,50
719,10070,101200,20,50,0,0,50
720,10070,101300,20,50,0,0,50
721,10070,101400,20,50,0,0,50
722,10070,101500,0,0,0,0,50
723,10070,101600,0,0,0,0,50
724,10070,101700,0,0,0,0,50
725,10070,101800,0,0,0,0,800
726,10070,101900,10,50,0,0,50
727,10070,102000,5,25,0,0,50
728,10070,102100,2,20,0,0,50
729,10070,102200,5,5,0,0,50
730,10070,102300,20,40,0,0,50
731,10070,102400,10,30,0,0,50
732,10070,102500,10,30,0,0,50
733,10070,102600,10,30,0,0,50
734,10070,102700,20,40,0,0,50
735,10070,102900,1,20,0,0,400
737,10071,1,0,0,0,0,3000
738,10071,100200,11,40,0,0,750
739,10071,100300,11,40,0,0,750
740,10071,100400,11,40,0,0,750
741,10071,100500,11,40,0,0,750
742,10071,100600,1,20,0,0,50
743,10071,100700,1,20,0,0,50
744,10071,100800,1,20,0,0,50
745,10071,100900,20,50,0,0,50
746,10071,101000,40,50,0,0,800
747,10071,101100,20,50,0,0,50
748,10071,101200,20,50,0,0,50
749,10071,101300,20,50,0,0,50
750,10071,101400,20,50,0,0,50
751,10071,101500,0,0,0,0,50
752,10071,101600,0,0,0,0,50
753,10071,101700,0,0,0,0,50
754,10071,101800,0,0,0,0,800
755,10071,101900,10,50,0,0,50
756,10071,102000,5,25,0,0,50
757,10071,102100,2,20,0,0,50
758,10071,102200,5,5,0,0,50
759,10071,102300,20,40,0,0,50
760,10071,102400,10,30,0,0,50
761,10071,102500,10,30,0,0,50
762,10071,102600,10,30,0,0,50
763,10071,102700,20,40,0,0,50
764,10071,102900,11,40,0,0,400
766,10072,1,0,0,0,0,3000
767,10072,100200,31,60,0,0,750
768,10072,100300,31,60,0,0,750
769,10072,100400,31,60,0,0,750
770,10072,100500,31,60,0,0,750
771,10072,100600,1,20,0,0,50
772,10072,100700,1,20,0,0,50
773,10072,100800,1,20,0,0,50
774,10072,100900,20,50,0,0,50
775,10072,101000,40,50,0,0,800
776,10072,101100,20,50,0,0,50
777,10072,101200,20,50,0,0,50
778,10072,101300,20,50,0,0,50
779,10072,101400,20,50,0,0,50
780,10072,101500,0,0,0,0,50
781,10072,101600,0,0,0,0,50
782,10072,101700,0,0,0,0,50
783,10072,101800,0,0,0,0,800
784,10072,101900,10,50,0,0,50
785,10072,102000,5,25,0,0,50
786,10072,102100,2,20,0,0,50
787,10072,102200,5,5,0,0,50
788,10072,102300,20,40,0,0,50
789,10072,102400,10,30,0,0,50
790,10072,102500,10,30,0,0,50
791,10072,102600,10,30,0,0,50
792,10072,102700,20,40,0,0,50
793,10072,102900,31,60,0,0,400
795,10073,1,0,0,0,0,3000
796,10073,100200,51,80,0,0,750
797,10073,100300,51,80,0,0,750
798,10073,100400,51,80,0,0,750
799,10073,100500,51,80,0,0,750
800,10073,100600,1,20,0,0,50
801,10073,100700,1,20,0,0,50
802,10073,100800,1,20,0,0,50
803,10073,100900,20,50,0,0,50
804,10073,101000,40,50,0,0,800
805,10073,101100,20,50,0,0,50
806,10073,101200,20,50,0,0,50
807,10073,101300,20,50,0,0,50
808,10073,101400,20,50,0,0,50
809,10073,101500,0,0,0,0,50
810,10073,101600,0,0,0,0,50
811,10073,101700,0,0,0,0,50
812,10073,101800,0,0,0,0,800
813,10073,101900,10,50,0,0,50
814,10073,102000,5,25,0,0,50
815,10073,102100,2,20,0,0,50
816,10073,102200,5,5,0,0,50
817,10073,102300,20,40,0,0,50
818,10073,102400,10,30,0,0,50
819,10073,102500,10,30,0,0,50
820,10073,102600,10,30,0,0,50
