// DefragMatchBossTableId,DefragMatchBossTableSubId,Wave,Type,UnitId,Rate
88,4,3,2,15040001,1
89,4,3,2,15040202,1
90,4,3,2,15200101,1
91,4,3,2,15450003,1
92,4,0,3,15590000,1
93,5,1,0,15100101,3
94,5,1,0,15300001,2
95,5,1,0,15040701,2
96,5,1,0,15090101,2
97,5,1,0,15110101,2
98,5,1,0,15080201,2
99,5,2,0,15020201,3
100,5,2,0,15420001,2
101,5,2,0,15050001,2
102,5,2,0,15041101,2
103,5,2,0,15020101,2
104,5,2,0,15301001,2
105,5,2,0,15170101,2
106,5,2,1,15220101,3
107,5,2,1,15501001,2
108,5,2,1,15521001,1
109,5,2,1,15220101,1
110,5,3,2,15010201,2
111,5,3,2,15040001,1
112,5,3,2,15040202,1
113,5,3,2,15200101,1
114,5,3,2,15450003,1
115,5,0,3,15590000,1
116,6,1,0,15100001,4
117,6,1,0,15110001,4
118,6,1,0,15040101,3
119,6,1,0,15041101,3
120,6,1,0,15050001,2
121,6,1,0,15050201,3
122,6,2,0,15080201,3
123,6,2,0,15090101,4
124,6,2,0,15140101,4
125,6,2,0,15180001,2
126,6,2,0,15300001,3
127,6,2,0,15420001,3
128,6,2,1,15220101,3
129,6,2,1,15501001,2
130,6,2,1,15521001,1
131,6,2,1,15570001,1
132,6,3,2,15010201,2
133,6,3,2,15040001,1
134,6,3,2,15040202,1
135,6,3,2,15200101,1
136,6,3,2,15450003,1
137,6,0,3,15590000,1
138,7,1,0,15100001,4
139,7,1,0,15110001,4
140,7,1,0,15040101,3
141,7,1,0,15041101,3
142,7,1,0,15050001,2
143,7,1,0,15050201,3
144,7,2,0,15080201,3
145,7,2,0,15090101,4
146,7,2,0,15140101,4
147,7,2,0,15180001,2
148,7,2,0,15300001,3
149,7,2,0,15420001,3
150,7,2,1,15220101,3
151,7,2,1,15501001,2
152,7,2,1,15521001,1
153,7,2,1,15570001,1
154,7,3,2,15010201,2
155,7,3,2,15040001,1
156,7,3,2,15040202,1
157,7,3,2,15200101,1
158,7,3,2,15450003,1
159,7,0,3,15590000,1
160,8,1,0,15100001,4
161,8,1,0,15110001,4
162,8,1,0,15040101,3
163,8,1,0,15041101,3
164,8,1,0,15050001,2
165,8,1,0,15050201,3
166,8,2,0,15080201,3
167,8,2,0,15090101,4
168,8,2,0,15140101,4
169,8,2,0,15180001,2
170,8,2,0,15300001,3
171,8,2,0,15420001,3
172,8,2,1,15220101,3
173,8,2,1,15501001,2
174,8,2,1,15521001,1
175,8,2,1,15570001,1
176,8,3,2,15010201,2
177,8,3,2,15040001,1
178,8,3,2,15040202,1
179,8,3,2,15200101,1
180,8,3,2,15450003,1
181,8,0,3,15590000,1
10301,103,1,0,15100101,3
10302,103,1,0,15300001,2
10303,103,1,0,15040701,2
10304,103,1,0,15090101,2
10305,103,1,0,15110101,2
10306,103,1,0,15100001,2
10307,103,1,0,15080201,2
10308,103,2,0,15020201,3
10309,103,2,0,15420001,2
10310,103,2,0,15050001,2
10311,103,2,0,15180001,2
10312,103,2,0,15041101,2
10313,103,2,0,15020101,2
10314,103,2,0,15301001,2
10315,103,2,0,15170101,2
10316,103,2,1,15220101,3
10317,103,2,1,15501001,2
10318,103,2,1,15521001,1
10319,103,2,1,15570001,1
10320,103,3,2,15010201,2
10321,103,3,2,15040001,1
10322,103,3,2,15040202,1
10323,103,3,2,15200101,1
10324,103,3,2,15450003,1
10325,103,0,3,15590002,1
10601,106,1,0,15560001,3
10602,106,1,0,15300001,2
10603,106,1,0,15100101,2
10604,106,1,0,15080201,2
10605,106,1,0,15110101,2
10606,106,1,0,15100001,2
10607,106,1,0,15040701,2
10608,106,2,0,15180001,3
10609,106,2,0,15040101,2
10610,106,2,0,15020201,2
10611,106,2,0,15050001,2
10612,106,2,0,15041101,2
10613,106,2,0,15020101,2
10614,106,2,0,15301001,2
10615,106,2,0,15170101,2
10616,106,2,1,15220101,3
10617,106,2,1,15501001,2
10618,106,2,1,15521001,1
10619,106,2,1,15570001,1
10620,106,3,2,15010201,2
10621,106,3,2,15040001,1
10622,106,3,2,15040202,1
10623,106,3,2,15200101,1
10624,106,3,2,15450003,1
10625,106,0,3,15590002,1
10701,107,1,0,15100101,3
10702,107,1,0,15300001,2
10703,107,1,0,15040701,2
10704,107,1,0,15090101,2
10705,107,1,0,15110101,2
10706,107,1,0,15080201,2
10707,107,2,0,15020201,3
10708,107,2,0,15420001,2
10709,107,2,0,15050001,2
10710,107,2,0,15041101,2
10711,107,2,0,15020101,2
10712,107,2,0,15301001,2
10713,107,2,0,15170101,2
10714,107,2,1,15220101,3
10715,107,2,1,15501001,2
10716,107,2,1,15521001,1
10717,107,2,1,15220101,1
10718,107,3,2,15010201,2
10719,107,3,2,15040001,1
10720,107,3,2,15040202,1
10721,107,3,2,15200101,1
10722,107,3,2,15450003,1
10723,107,0,3,15590002,1
10801,108,1,0,15100001,4
10802,108,1,0,15110001,4
10803,108,1,0,15040101,3
10804,108,1,0,15041101,3
10805,108,1,0,15050001,2
10806,108,1,0,15050201,3
10807,108,2,0,15080201,3
10808,108,2,0,15090101,4
10809,108,2,0,15140101,4
10810,108,2,0,15180001,2
10811,108,2,0,15300001,3
10812,108,2,0,15420001,3
10813,108,2,1,15220101,3
10814,108,2,1,15501001,2
10815,108,2,1,15521001,1
10816,108,2,1,15570001,1
10817,108,3,2,15010201,2
10818,108,3,2,15040001,1
10819,108,3,2,15040202,1
10820,108,3,2,15200101,1
10821,108,3,2,15450003,1
10822,108,0,3,15590002,1
11301,113,1,0,15100101,3
11302,113,1,0,15300001,2
11303,113,1,0,15040701,2
11304,113,1,0,15090101,2
11305,113,1,0,15110101,2
11306,113,1,0,15100001,2
11307,113,1,0,15080201,2
11308,113,2,0,15020201,3
11309,113,2,0,15420001,2
11310,113,2,0,15050001,2
11311,113,2,0,15180001,2
11312,113,2,0,15041101,2
11313,113,2,0,15020101,2
11314,113,2,0,15301001,2
11315,113,2,0,15170101,2
11316,113,2,1,15220101,3
11317,113,2,1,15501001,2
11318,113,2,1,15521001,1
11319,113,2,1,15570001,1
11320,113,3,2,15010201,2
11321,113,3,2,15040001,1
11322,113,3,2,15040202,1
11323,113,3,2,15200101,1
11324,113,3,2,15450003,1
11325,113,0,3,15590003,1
11601,116,1,0,15560001,3
11602,116,1,0,15300001,2
11603,116,1,0,15100101,2
11604,116,1,0,15080201,2
11605,116,1,0,15110101,2
11606,116,1,0,15100001,2
11607,116,1,0,15040701,2
11608,116,2,0,15180001,3
11609,116,2,0,15040101,2
11610,116,2,0,15020201,2
11611,116,2,0,15050001,2
11612,116,2,0,15041101,2
11613,116,2,0,15020101,2
11614,116,2,0,15301001,2
11615,116,2,0,15170101,2
11616,116,2,1,15220101,3
11617,116,2,1,15501001,2
11618,116,2,1,15521001,1
11619,116,2,1,15570001,1
11620,116,3,2,15010201,2
11621,116,3,2,15040001,1
11622,116,3,2,15040202,1
11623,116,3,2,15200101,1
11624,116,3,2,15450003,1
11625,116,0,3,15590003,1
11701,117,1,0,15100101,3
11702,117,1,0,15300001,2
11703,117,1,0,15040701,2
11704,117,1,0,15090101,2
11705,117,1,0,15110101,2
11706,117,1,0,15080201,2
11707,117,2,0,15020201,3
11708,117,2,0,15420001,2
11709,117,2,0,15050001,2
11710,117,2,0,15041101,2
11711,117,2,0,15020101,2
11712,117,2,0,15301001,2
11713,117,2,0,15170101,2
11714,117,2,1,15220101,3
11715,117,2,1,15501001,2
11716,117,2,1,15521001,1
11717,117,2,1,15220101,1
11718,117,3,2,15010201,2
11719,117,3,2,15040001,1
11720,117,3,2,15040202,1
11721,117,3,2,15200101,1
11722,117,3,2,15450003,1
11723,117,0,3,15590003,1
11801,118,1,0,15100001,4
11802,118,1,0,15110001,4
11803,118,1,0,15040101,3
11804,118,1,0,15041101,3
11805,118,1,0,15050001,2
11806,118,1,0,15050201,3
11807,118,2,0,15080201,3
11808,118,2,0,15090101,4
11809,118,2,0,15140101,4
11810,118,2,0,15180001,2
11811,118,2,0,15300001,3
11812,118,2,0,15420001,3
11813,118,2,1,15220101,3
11814,118,2,1,15501001,2
11815,118,2,1,15521001,1
11816,118,2,1,15570001,1
11817,118,3,2,15010201,2
11818,118,3,2,15040001,1
11819,118,3,2,15040202,1
11820,118,3,2,15200101,1
11821,118,3,2,15450003,1
11822,118,0,3,15590003,1
